label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north1_all	80	6494	1616	1656	1093	1110	431	414	264	192	214	167	153	221	113	53	156	68	48	21	32	48	27	29	28	16	16	9	9	11	7	4	6	21	3	5	14	3	1	3	0	4	1	1	1	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	3938	777	1011	653	731	227	238	144	78	114	100	109	153	65	26	93	54	25	9	20	32	13	18	13	9	9	5	5	5	5	1	4	12	2	4	10	2	1	2	0	3	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	6500	1579	1633	1063	1187	404	436	294	192	229	176	141	217	118	55	168	61	53	22	32	54	29	27	27	13	12	8	11	12	7	5	5	14	2	5	15	3	0	3	0	3	1	1	1	0	0	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3886	769	981	634	791	216	250	187	87	127	104	93	145	65	26	83	52	29	10	19	34	15	17	15	7	6	5	7	6	5	2	4	11	0	4	11	2	0	2	0	3	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6479	1561	1622	1024	1163	418	458	294	188	217	151	150	202	110	60	181	62	70	24	28	47	16	23	23	12	8	8	15	14	10	6	6	12	2	2	17	3	2	4	0	0	1	0	1	2	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3847	771	989	613	795	224	253	188	88	126	85	81	128	60	28	85	50	42	9	16	24	7	15	11	6	5	2	10	8	8	3	4	7	0	1	11	2	0	2	0	0	1	0	0	2	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6500	1579	1617	980	1200	407	452	314	182	204	141	152	214	110	74	190	56	70	26	28	63	17	22	20	13	6	8	13	8	10	5	5	15	2	7	12	3	2	2	0	1	0	0	0	3	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3970	749	967	598	810	211	251	186	96	114	76	86	132	60	37	100	40	40	12	17	41	8	14	9	7	4	2	9	6	6	3	3	7	0	4	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6650	1565	1588	1002	1213	390	430	305	179	200	144	158	195	100	68	204	51	76	28	25	73	13	15	12	13	8	8	12	5	10	5	4	23	2	9	11	3	3	2	1	1	0	0	1	6	1	1	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4142	724	960	627	833	200	237	182	88	114	78	86	120	61	35	126	29	45	13	15	47	6	8	5	7	4	2	7	4	7	2	1	8	1	5	7	0	0	0	1	0	0	0	1	5	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
