label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	4246	1953	792	667	368	1155	847	229	127	97	78	199	49	47	83	86	33	22	18	20	16	6	10	12	20	6	5	4	2	2	4	0	1	0	1	1	0	0	2	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	2293	1110	381	348	165	752	564	124	57	47	34	115	17	28	50	41	22	9	8	8	8	2	5	9	15	2	2	1	1	2	0	0	0	0	1	0	0	0	2	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	4175	1976	814	674	368	1156	899	217	123	88	85	210	49	43	85	102	38	26	13	17	17	7	9	8	19	6	4	5	0	2	2	0	0	0	1	0	0	0	0	1	1	13	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2284	1134	382	351	152	758	614	115	58	39	32	120	16	23	53	61	25	10	6	6	5	4	5	6	10	3	1	1	0	2	0	0	0	0	1	0	0	0	0	1	0	12	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4217	1870	824	696	362	1095	850	222	136	90	95	195	56	39	114	81	43	28	15	16	19	6	9	8	26	5	3	5	1	4	1	0	0	0	0	0	1	1	0	1	1	14	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	2313	1072	366	398	158	719	569	119	66	34	39	127	23	19	76	52	27	11	6	9	9	5	6	4	10	3	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	13	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	4275	1776	813	702	354	1160	825	209	138	96	100	195	50	32	119	101	48	29	12	14	17	11	9	11	23	5	3	5	2	4	1	0	1	1	0	1	1	1	0	1	1	13	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2319	999	368	408	152	764	579	101	64	36	48	121	18	14	84	73	26	12	5	7	9	5	7	8	9	3	1	1	0	2	1	0	0	1	0	0	0	0	0	1	0	13	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	4347	1815	802	692	363	1120	816	219	145	97	95	178	53	29	137	90	51	29	13	12	19	10	8	15	28	4	2	5	2	4	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	2365	990	339	369	171	738	576	108	68	45	48	111	19	15	100	69	27	15	6	5	13	4	5	11	12	3	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	4331	1847	756	650	389	1176	835	225	134	104	88	184	44	39	139	79	42	30	14	10	15	12	12	16	16	4	1	9	3	4	2	1	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2348	981	328	333	185	782	555	110	63	45	41	118	16	23	79	66	23	17	7	3	8	5	8	11	13	3	0	4	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4239	1914	744	640	391	1169	843	239	142	94	84	178	47	45	109	77	41	34	13	7	19	12	13	11	15	2	3	9	4	3	3	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2262	990	325	334	190	777	567	127	72	42	37	117	25	25	60	60	24	21	6	2	9	6	4	8	11	1	3	4	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4178	1951	781	635	376	1173	830	232	136	99	79	188	42	44	122	92	33	33	14	12	18	12	14	14	15	3	7	7	7	5	3	2	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	2239	1010	366	343	182	774	566	137	65	43	32	115	24	25	71	73	22	19	6	6	10	8	6	9	10	1	5	4	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	4235	1975	798	650	363	1205	827	232	133	95	82	189	46	43	124	104	33	27	12	15	16	8	14	19	16	3	9	7	7	4	6	2	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	2248	1055	378	358	176	812	548	136	66	35	39	99	27	23	78	81	21	15	4	9	8	5	6	13	10	1	6	5	2	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	4302	1965	804	653	371	1097	859	248	129	85	85	207	48	41	131	100	35	21	10	18	18	4	8	17	14	5	7	4	7	3	5	4	2	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	2297	1056	369	359	178	747	571	148	60	31	41	124	30	21	90	77	24	10	3	11	13	2	6	12	5	3	4	4	3	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
