label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	16572	7919	3828	3660	1212	1117	586	479	474	270	436	228	280	167	145	56	111	114	102	52	40	30	36	25	26	28	14	8	9	9	20	7	10	3	2	5	2	5	0	4	0	3	1	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	10151	5009	2333	2340	611	618	275	244	268	123	271	118	165	100	88	24	76	77	60	32	20	19	24	13	15	21	8	5	5	8	19	2	6	1	2	0	2	2	0	3	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	16865	8050	3955	3782	1246	1153	590	512	493	297	456	227	312	163	132	62	104	96	114	53	39	38	37	26	18	30	14	12	7	10	11	10	7	2	4	4	3	5	0	4	0	2	1	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	10375	5201	2416	2448	648	649	271	252	296	133	290	122	183	100	78	28	69	59	63	30	15	17	27	14	13	23	5	8	5	9	10	5	2	1	3	1	3	2	0	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	17006	7916	3973	3818	1238	1194	584	495	477	285	449	210	282	154	137	67	111	93	99	55	36	34	33	22	26	28	18	12	8	11	11	9	5	3	5	3	2	3	1	4	1	3	1	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10453	5047	2403	2465	631	671	267	243	281	130	293	110	161	86	75	30	70	59	55	28	15	15	23	12	14	22	8	6	7	6	10	6	3	2	2	1	2	1	0	3	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	16613	7922	3918	3831	1255	1219	566	512	493	288	410	210	275	179	151	85	104	91	106	58	34	48	25	18	24	32	16	11	8	11	10	11	5	2	8	2	2	2	2	4	2	4	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10193	5060	2373	2457	634	697	253	265	294	140	255	109	142	99	86	43	73	54	57	29	14	27	16	10	11	26	7	7	6	6	10	7	3	2	3	2	2	1	0	3	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	16454	7809	3820	3801	1216	1174	558	504	496	262	375	209	303	163	162	86	100	98	104	61	29	52	29	9	19	30	12	7	11	10	4	9	5	1	9	3	4	4	2	1	2	3	2	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	10039	4951	2285	2407	617	668	232	274	291	130	239	111	177	80	92	42	71	59	61	30	13	30	18	2	6	24	6	4	5	5	0	6	4	1	3	3	4	2	0	0	1	3	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
