label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	north1_all	80	10523	4705	2421	2826	944	1955	633	395	393	349	731	241	150	114	123	92	57	91	43	106	49	27	17	36	33	29	10	8	8	3	7	5	5	0	4	7	1	2	10	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	6179	2816	1199	2250	264	1684	357	128	201	221	652	162	71	46	80	58	21	61	15	95	39	16	8	27	32	26	6	3	5	0	4	0	0	0	4	6	0	2	10	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	10781	4721	2361	2861	974	2014	631	398	409	348	712	224	139	105	123	101	55	77	43	127	46	24	21	38	31	33	10	8	7	2	9	4	7	1	4	5	0	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	6282	2793	1129	2291	282	1736	354	133	209	222	631	158	56	41	81	64	23	54	14	113	35	16	12	21	30	28	7	3	5	0	5	0	0	0	4	3	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	10710	4678	2357	2813	980	2014	631	417	437	346	675	256	141	120	118	102	60	77	45	109	56	18	26	42	35	25	9	6	4	3	9	3	6	2	3	9	0	2	4	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	6190	2760	1130	2241	283	1733	344	132	221	216	594	179	46	43	71	64	26	51	16	95	47	11	15	22	35	22	6	2	4	0	6	0	0	0	3	8	0	2	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	10704	4691	2316	2811	983	1998	646	397	392	355	696	254	153	105	111	97	60	87	37	111	43	24	31	40	32	26	7	4	1	3	8	2	5	4	2	10	2	2	12	0	2	8	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6154	2742	1086	2244	298	1739	358	133	203	229	613	163	47	38	65	61	21	64	14	96	35	12	16	19	31	23	4	1	0	0	5	0	1	2	2	9	2	2	11	0	2	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10752	4692	2346	2750	1026	1962	638	404	370	352	729	282	150	102	138	79	65	84	34	103	42	24	29	35	37	19	6	4	3	6	7	4	4	4	2	10	3	6	8	0	2	8	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6239	2781	1134	2200	321	1720	348	130	198	237	648	188	51	38	84	48	22	63	15	90	36	12	14	22	34	17	3	2	1	0	4	0	1	2	2	9	2	6	8	0	2	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	10995	4735	2446	2798	1042	2016	698	431	351	345	782	261	134	103	140	85	65	82	32	124	39	19	28	27	28	23	12	9	6	9	7	3	1	3	2	8	3	4	8	0	1	8	0	0	0	3	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	6381	2850	1216	2239	298	1758	368	140	168	253	700	187	52	34	95	47	24	63	15	111	29	10	17	16	24	20	6	4	3	0	3	0	1	2	2	7	2	4	8	0	1	8	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	10974	4799	2483	2848	1074	2019	656	434	374	347	795	261	150	103	136	87	60	56	35	105	51	18	18	24	31	27	11	7	6	9	10	4	3	2	3	14	3	4	7	0	1	3	1	0	1	3	0	2	2	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	6393	2893	1232	2264	298	1760	337	142	192	266	720	193	66	32	90	46	24	36	19	94	38	14	10	18	28	25	5	3	3	0	5	1	1	0	2	12	1	4	7	0	1	3	0	0	1	3	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	10831	4795	2514	2928	1053	2123	618	438	404	335	792	261	158	112	126	94	53	49	39	105	58	18	22	22	36	32	14	7	11	9	10	4	4	1	4	13	1	1	1	1	0	0	1	0	2	2	0	2	3	3	0	0	0	1	0	0	1	0	0	0	0
0.03	north8_active	80	6294	2928	1235	2379	272	1851	316	151	211	255	728	198	66	39	90	51	24	30	17	93	46	11	11	15	33	30	6	3	7	2	6	2	0	0	3	11	0	1	1	0	0	0	0	0	1	2	0	1	2	2	0	0	0	1	0	0	1	0	0	0	0
0.03	north9_all	80	10756	4798	2454	2892	1033	2001	628	421	399	338	764	257	161	126	117	101	51	45	41	102	76	21	14	18	29	31	14	5	12	9	10	6	5	1	3	13	1	0	4	3	0	0	3	0	2	2	0	1	2	2	0	0	0	0	0	1	1	0	0	0	0
0.03	north9_active	80	6197	2954	1152	2345	282	1751	336	146	209	250	702	192	64	48	76	61	23	30	18	91	63	13	2	14	27	30	6	2	7	3	8	3	1	0	2	11	0	0	3	2	0	0	2	0	1	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_all	80	10581	4725	2410	2833	999	1907	653	425	396	343	728	271	143	117	107	97	66	66	44	100	72	26	19	18	57	19	13	8	11	9	13	5	4	2	4	8	1	1	4	6	0	0	2	0	3	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north10_active	80	6133	2875	1152	2297	277	1668	328	141	215	239	666	194	52	49	69	68	23	41	22	91	61	16	3	13	52	18	5	4	6	4	11	2	1	1	4	7	1	0	3	5	0	0	2	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_all	80	10546	4700	2455	2905	1025	2126	700	422	416	352	745	279	151	125	128	116	63	78	50	99	74	15	27	16	55	33	12	9	7	6	14	5	3	4	7	10	0	0	0	4	0	2	1	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north11_active	80	6141	2805	1194	2297	270	1860	372	133	231	254	669	210	71	54	86	74	25	61	25	86	63	4	14	10	48	23	10	3	4	0	13	1	0	0	6	7	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_all	80	10498	4756	2488	2930	1049	2100	691	450	397	367	770	259	157	120	147	105	59	76	43	115	58	21	28	19	46	34	14	8	7	5	18	6	2	4	6	6	1	2	0	3	0	4	1	0	0	3	2	0	0	0	4	0	0	0	0	1	0	0	0	0	1
0.03	north12_active	80	6092	2814	1187	2373	301	1836	392	152	206	265	703	190	77	51	99	66	18	63	20	106	49	8	13	12	40	26	13	3	4	1	16	2	0	1	6	3	0	2	0	1	0	4	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1
0.03	north13_all	80	10356	4737	2475	2889	990	1999	673	445	379	347	764	256	150	113	147	99	60	79	36	101	62	26	25	18	38	39	9	9	9	4	26	7	2	5	6	3	2	5	0	1	0	2	1	1	0	2	1	0	0	0	5	1	0	0	0	0	0	0	0	0	1
0.03	north13_active	80	5939	2784	1184	2350	291	1726	381	144	197	244	702	187	69	50	99	56	20	66	17	93	52	10	10	12	29	31	6	3	3	1	24	2	1	2	5	2	0	3	0	0	0	2	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1
0.03	north14_all	80	10289	4678	2501	2881	1018	1970	635	437	376	351	721	257	142	107	131	82	55	74	35	84	55	28	25	22	33	35	11	7	6	4	20	6	1	5	5	4	2	8	0	1	3	2	0	2	0	3	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	5939	2735	1196	2315	292	1683	348	143	192	250	657	183	57	39	83	48	12	62	13	77	46	15	10	16	27	28	7	2	2	1	17	2	1	2	4	1	0	6	0	0	3	2	0	1	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	10295	4735	2506	2874	1008	1980	617	431	364	385	750	266	124	103	112	71	55	73	41	86	52	28	23	19	28	35	14	5	6	6	12	4	1	3	5	2	2	8	1	0	3	0	0	3	0	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	5938	2813	1230	2316	278	1705	340	138	191	271	681	172	49	39	69	43	13	55	14	76	41	13	11	13	19	30	8	1	2	1	10	2	1	1	2	0	0	6	1	0	3	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	10370	4825	2491	2852	1015	1917	627	444	392	387	759	253	129	106	109	67	61	71	43	86	58	27	29	24	33	35	13	4	3	8	3	6	1	6	5	2	2	5	6	0	3	0	0	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	6017	2938	1221	2291	291	1656	348	137	206	273	681	167	48	38	69	42	17	46	15	76	49	14	14	15	23	29	6	2	1	2	2	3	0	4	2	0	0	3	5	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	10372	4868	2448	2870	1002	1941	655	410	392	416	750	257	124	111	103	64	67	84	38	98	76	27	21	25	56	37	12	7	3	8	4	5	3	7	5	3	3	1	6	0	0	0	1	2	0	1	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0
0.03	north17_active	80	5914	2950	1197	2305	285	1686	363	141	208	296	673	181	46	42	60	36	19	53	15	88	67	16	10	16	47	32	6	4	2	3	2	3	1	3	3	2	0	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
0.03	north18_all	80	10363	4704	2402	2944	989	1958	657	420	436	401	671	237	128	112	110	70	67	90	40	82	82	29	19	27	60	32	6	9	9	8	2	3	3	7	4	2	3	4	7	0	2	4	1	1	0	0	1	1	0	0	1	0	2	1	1	0	0	0	0	0	0
0.03	north18_active	80	5933	2876	1178	2370	272	1696	358	152	224	285	602	176	47	44	68	41	18	61	21	76	72	18	9	15	53	28	2	4	3	3	1	2	1	4	3	2	0	4	6	0	2	4	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0
0.03	north19_all	80	10411	4660	2438	2826	1018	1938	655	400	441	423	774	260	145	120	117	81	64	94	33	70	76	27	22	27	60	30	7	8	7	7	2	1	3	5	3	3	1	4	2	2	2	4	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0
0.03	north19_active	80	5933	2765	1175	2262	278	1670	344	153	221	288	713	190	56	47	73	51	14	65	13	65	66	17	8	16	53	28	3	3	2	3	1	0	1	1	3	3	0	4	1	2	2	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
0.03	north20_all	80	10498	4641	2444	2857	999	1942	641	426	423	426	769	247	141	124	136	82	61	76	36	83	57	25	20	24	55	23	7	9	10	4	4	4	4	4	1	1	1	3	2	2	2	4	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north20_active	80	5954	2782	1179	2294	259	1696	346	147	205	282	709	171	60	51	86	54	15	59	20	77	46	15	8	18	51	20	3	5	3	2	4	2	1	1	1	1	0	3	1	2	2	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south21_all	80	12704	6390	4641	1454	1042	752	1853	476	483	805	232	381	137	189	92	85	195	127	41	58	53	34	27	14	19	17	8	7	4	7	6	4	3	3	5	3	1	1	1	7	2	0	4	0	2	0	1	5	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	8861	4825	3800	436	340	315	1656	234	322	712	112	313	55	127	28	16	174	101	23	44	47	15	19	4	5	9	3	4	0	5	3	0	1	1	2	0	1	0	1	7	2	0	1	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_all	80	12855	6457	4661	1473	1013	792	1927	465	483	782	241	405	143	190	81	83	174	122	40	76	85	35	24	17	21	13	8	8	5	7	5	6	3	2	4	1	3	2	1	0	5	0	4	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	9014	4898	3835	457	340	345	1734	221	316	699	117	346	64	129	24	16	158	97	26	63	79	19	12	3	8	8	3	6	1	5	3	0	1	0	1	0	2	1	1	0	5	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	12918	6408	4679	1461	1020	781	1962	454	508	781	240	369	140	174	75	80	161	114	39	91	101	28	29	22	19	16	16	13	5	10	7	5	4	3	3	2	5	2	0	1	5	0	2	0	0	3	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
0.03	south23_active	80	9030	4871	3825	435	342	342	1773	226	341	707	131	315	60	115	27	18	146	88	18	76	94	15	14	3	11	11	7	10	3	7	3	1	1	1	1	0	4	1	0	1	5	0	0	0	0	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south24_all	80	12819	6384	4711	1411	1032	790	2023	436	520	830	241	350	162	177	83	78	158	102	36	98	103	30	31	20	20	21	15	15	6	11	7	5	3	3	2	1	7	3	1	6	4	3	1	0	0	4	0	0	1	8	1	0	1	0	0	0	0	0	0	0	0
0.03	south24_active	80	8994	4872	3861	406	342	360	1828	234	362	755	123	299	72	110	29	18	142	85	16	81	94	16	17	2	12	12	7	13	4	8	3	1	0	1	0	0	6	2	1	6	4	2	1	0	0	3	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_all	80	12936	6447	4740	1417	1051	817	1888	451	519	854	215	347	164	156	85	82	196	97	35	75	98	27	32	18	19	24	17	18	5	12	6	5	2	6	5	2	5	7	3	6	0	4	3	0	0	4	0	0	0	11	0	1	1	0	0	0	0	0	0	2	0
0.03	south25_active	80	9033	4944	3859	411	347	365	1692	236	372	773	110	284	67	92	33	17	177	85	13	60	86	14	21	4	12	17	8	17	4	9	2	2	0	4	1	0	5	5	3	6	0	3	3	0	0	3	0	0	0	11	0	0	1	0	0	0	0	0	0	1	0
0.03	south26_all	80	12812	6478	4688	1464	1033	808	1936	465	527	933	214	370	164	146	92	86	203	116	32	71	89	28	32	15	13	20	8	18	5	12	6	6	1	6	4	1	3	5	3	6	1	4	3	4	1	2	0	0	0	10	0	2	0	0	0	0	0	0	0	2	0
0.03	south26_active	80	9009	4945	3817	433	341	352	1734	235	383	845	102	307	70	91	31	22	182	107	17	55	73	14	24	5	7	16	3	15	3	9	1	1	0	4	1	0	3	4	3	5	1	3	3	4	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0
0.03	south27_all	80	12939	6592	4721	1491	1009	809	1836	505	522	913	210	376	157	129	88	64	215	123	39	76	90	29	27	11	17	21	8	16	7	9	2	8	2	6	3	4	3	4	3	4	1	3	3	4	1	1	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0
0.03	south27_active	80	9036	4996	3897	461	338	330	1639	237	365	810	101	312	67	77	33	16	193	111	20	58	77	13	23	5	11	19	4	12	2	5	1	2	0	5	1	2	3	3	3	3	1	3	3	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	south28_all	80	12981	6595	4654	1479	994	776	1739	499	501	823	206	407	145	140	102	64	195	120	53	74	70	35	33	14	14	17	6	13	7	8	6	6	2	4	0	3	4	2	0	3	1	3	2	4	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0
0.03	south28_active	80	9087	5007	3845	458	340	318	1558	232	351	731	95	340	70	87	38	16	176	103	26	57	54	13	28	6	8	13	2	8	1	4	4	1	0	3	0	2	3	2	0	2	1	2	2	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	south29_all	80	13020	6562	4673	1436	960	767	1769	476	534	790	220	393	142	152	104	62	175	119	58	71	75	33	28	14	14	16	10	10	9	6	8	4	2	3	1	3	7	2	0	3	0	2	2	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	9058	5011	3871	451	329	297	1579	229	370	702	102	317	74	93	42	16	158	102	23	54	64	13	23	5	8	11	5	5	1	3	4	1	0	3	1	2	3	2	0	2	0	1	1	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	13140	6673	4652	1433	986	735	1891	487	534	836	215	393	151	158	115	72	183	130	64	61	70	29	30	11	12	17	11	6	7	9	8	1	3	3	1	1	6	3	0	9	1	2	2	2	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
