label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49
0.03	north1_all	80	3184	3026	848	503	521	400	654	130	305	77	242	73	163	25	40	29	23	15	13	5	17	5	6	6	2	6	3	4	3	4	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	1515	1910	406	261	304	240	447	72	198	31	160	44	104	13	25	13	15	10	9	4	11	2	2	4	2	4	3	2	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3179	3111	867	475	518	416	654	133	285	65	206	70	142	17	32	50	14	12	9	2	12	4	4	9	3	5	3	4	2	0	1	1	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	1518	1969	426	233	300	260	477	73	180	28	134	42	100	9	16	33	10	9	8	1	9	0	2	8	2	4	3	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3099	3055	845	482	493	407	652	127	290	70	227	72	148	18	40	50	31	12	10	2	11	7	2	11	3	5	5	4	3	1	1	1	2	2	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1503	1929	415	233	260	261	471	75	172	37	136	36	86	7	21	36	26	7	7	2	8	3	0	10	2	3	5	2	3	1	0	1	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3067	3126	829	493	494	419	685	139	281	72	231	82	159	22	40	43	33	14	13	2	12	8	2	9	5	5	6	4	5	1	1	1	2	2	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1470	1995	417	232	252	266	470	77	176	38	131	43	92	9	22	32	28	9	8	1	10	3	0	9	3	3	5	1	5	1	0	1	2	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3096	3143	807	508	499	389	645	146	300	78	197	79	189	19	45	36	41	18	12	7	14	7	2	5	5	5	5	3	5	1	0	1	0	1	2	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1448	2032	389	240	264	240	406	74	188	40	122	46	110	11	24	28	36	11	6	4	11	4	0	5	3	3	4	0	5	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3148	3175	820	527	504	383	632	147	278	81	203	87	207	26	50	31	34	14	14	8	12	6	3	3	6	3	8	3	4	1	1	0	1	0	1	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1489	2076	394	254	263	232	396	69	167	40	124	55	132	15	35	21	30	9	8	4	9	3	0	3	4	1	2	0	3	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3116	3144	795	521	521	393	624	158	289	76	210	83	222	31	43	29	37	11	17	10	9	7	10	5	5	1	8	2	2	0	1	1	1	0	1	3	1	3	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north7_active	80	1485	2032	395	239	270	237	420	78	177	39	132	56	145	16	31	19	26	7	12	5	4	4	3	3	3	1	1	1	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	3158	3193	833	551	553	414	618	149	255	79	240	93	193	30	49	35	27	11	25	7	8	9	10	5	4	2	8	1	2	0	1	1	1	2	0	3	1	3	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north8_active	80	1506	1992	395	261	308	253	450	69	155	37	141	62	134	14	33	20	11	6	14	3	4	3	3	3	2	1	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	3088	3094	794	523	547	424	582	161	273	84	249	79	188	31	53	41	31	11	28	7	10	10	12	8	1	3	9	2	2	1	0	2	1	2	1	3	1	3	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north9_active	80	1458	1905	383	249	321	244	402	73	181	39	152	50	118	15	35	24	10	7	18	2	6	3	3	3	0	1	4	1	1	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	3130	3017	822	499	524	395	603	154	267	81	241	63	144	29	48	50	29	12	24	8	12	10	5	10	3	4	3	2	2	1	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1452	1882	388	254	302	234	392	66	174	35	150	38	96	16	32	29	13	6	14	3	8	1	0	3	1	2	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	3174	3001	822	555	548	407	689	129	298	83	212	72	147	29	40	38	26	6	17	8	9	4	3	7	3	1	4	1	1	2	2	1	4	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0
0.03	north11_active	80	1553	1863	428	308	306	244	437	63	197	36	137	41	103	12	20	24	13	2	7	7	4	2	2	4	2	1	1	1	0	0	2	0	4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
