label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113
0.03	north1_all	80	3515	2869	1177	1863	803	814	635	586	366	453	252	230	129	181	130	129	99	78	172	78	92	61	56	26	120	27	29	46	58	25	35	34	18	29	21	18	11	34	8	14	9	17	5	8	9	3	7	7	3	1	7	4	10	4	2	3	4	6	3	2	5	0	1	3	2	3	3	0	0	1	0	0	3	0	3	2	2	0	0	0	7	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1577	1680	589	1205	433	513	372	344	216	272	148	132	62	109	64	66	55	42	107	51	67	37	29	12	84	13	17	24	42	15	28	19	8	14	12	10	6	16	3	6	7	9	4	5	5	0	4	2	1	0	5	0	6	3	0	1	3	4	3	1	3	0	0	1	1	3	2	0	0	1	0	0	3	0	1	0	0	0	0	0	7	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3485	2792	1240	1843	831	884	643	614	391	456	244	226	126	190	118	131	98	75	158	76	87	67	44	30	95	31	28	41	59	25	37	35	18	25	22	25	9	35	7	12	10	17	3	10	9	5	9	7	1	0	5	5	11	5	2	2	2	4	3	2	2	1	1	2	2	3	4	1	0	1	0	1	2	0	3	1	2	1	0	0	8	0	2	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1549	1648	643	1185	452	570	401	364	226	291	152	119	68	108	55	74	54	39	109	49	56	46	23	16	63	19	18	22	47	13	29	24	8	8	13	17	4	16	4	5	7	10	3	5	4	1	4	4	1	0	4	0	9	4	0	0	1	4	3	1	1	0	0	2	1	3	2	1	0	1	0	0	2	0	1	0	0	1	0	0	8	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3400	2741	1209	1878	813	846	686	593	406	461	277	219	132	178	116	132	121	65	176	81	84	69	43	36	91	33	36	47	67	39	47	41	18	31	15	27	8	38	8	9	10	13	4	7	8	4	8	9	1	1	7	7	11	3	2	2	3	2	4	2	3	1	1	1	4	0	3	2	0	0	0	1	1	0	3	1	1	1	0	0	2	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1532	1630	632	1229	454	516	439	349	233	300	157	118	77	97	64	78	66	30	112	49	50	46	17	16	56	18	23	26	50	21	37	29	8	12	9	18	2	18	4	5	4	8	3	2	3	1	3	6	1	1	7	1	10	2	1	0	2	2	3	1	2	0	0	1	3	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3449	2763	1190	1881	826	855	713	597	413	451	299	225	168	195	121	126	126	62	181	79	98	62	41	36	63	42	35	32	78	39	46	62	18	34	20	26	8	26	8	9	12	12	6	7	3	3	9	9	2	1	7	7	10	5	2	1	2	1	1	2	1	4	1	1	3	2	3	4	0	0	1	1	0	0	3	1	3	1	0	0	1	0	2	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1585	1654	620	1204	486	544	436	360	252	301	171	117	96	108	61	76	69	29	118	45	54	38	14	18	38	23	16	11	55	26	32	43	9	16	14	17	2	15	4	8	5	9	3	3	2	1	3	5	2	1	6	1	8	3	1	0	2	1	0	1	1	2	0	1	3	1	0	4	0	0	0	0	0	0	2	0	2	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3463	2800	1173	1943	862	806	690	575	405	490	310	194	177	179	128	113	115	71	182	87	109	58	46	29	90	31	42	37	75	46	48	73	21	42	29	16	15	23	11	9	12	9	11	9	5	6	7	7	5	4	5	6	8	7	2	1	3	2	2	2	2	4	0	1	3	3	3	4	0	1	1	1	0	0	2	1	3	1	1	0	0	0	1	0	0	1	0	3	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1554	1661	607	1266	529	506	412	354	225	319	174	114	101	103	61	64	62	30	122	46	61	34	11	11	59	12	22	15	51	31	32	54	10	18	21	10	4	14	6	6	4	8	4	5	3	4	3	5	4	4	4	1	5	4	1	0	2	2	0	1	2	2	0	0	3	2	1	4	0	0	0	0	0	0	1	0	3	1	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
