label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122
0.03	north1_all	80	5298	3164	1529	2701	855	832	700	430	921	282	372	402	200	224	148	195	111	137	103	99	77	112	80	93	112	40	46	71	31	37	114	37	20	25	31	24	37	26	33	13	34	14	14	13	24	9	8	7	3	5	1	8	1	2	2	6	1	0	5	4	6	3	2	7	5	4	1	1	0	2	3	2	1	0	1	8	0	0	5	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0
0.03	north1_active	80	2303	2034	603	2302	342	550	476	138	788	97	261	307	57	154	63	139	41	77	22	26	50	96	39	67	88	12	26	50	9	27	107	24	4	10	22	9	32	19	32	9	30	4	1	4	21	5	3	7	0	2	1	5	0	1	2	1	1	0	5	2	2	0	2	3	3	4	1	0	0	0	0	2	0	0	1	8	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
0.03	north2_all	80	5356	3157	1579	2727	824	846	683	412	917	282	361	425	214	233	132	185	118	138	87	87	78	123	64	98	134	44	49	73	26	45	106	45	21	32	29	18	42	26	41	16	35	13	19	9	27	8	6	10	3	4	3	7	1	1	2	5	7	1	4	4	2	3	2	4	3	1	3	1	1	3	2	2	1	0	2	7	1	1	5	1	0	0	0	5	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0
0.03	north2_active	80	2296	2059	589	2304	320	561	450	127	771	89	242	329	59	154	50	135	37	79	13	22	52	97	26	66	110	10	29	54	7	26	103	31	6	13	18	6	38	20	36	8	30	2	5	2	24	5	3	10	0	1	3	4	0	0	2	1	6	0	4	1	1	0	1	3	1	0	1	0	0	0	0	2	0	0	1	7	1	1	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
0.03	north3_all	80	5481	3166	1558	2927	796	855	713	409	959	282	362	425	213	243	123	190	124	138	81	91	100	118	74	100	130	43	58	55	29	50	65	43	17	28	28	13	76	18	45	16	28	14	18	4	32	7	3	10	5	2	3	8	1	3	3	3	7	1	2	10	3	4	4	4	2	1	3	1	1	5	1	0	2	1	2	0	1	1	0	0	0	0	0	5	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	north3_active	80	2346	2039	576	2486	314	557	452	135	825	92	244	330	55	156	40	134	31	73	10	26	68	87	37	71	108	11	34	37	9	28	60	32	4	12	15	2	71	14	36	9	21	2	5	2	30	6	0	7	1	0	3	4	1	1	2	1	6	0	2	7	1	0	2	3	1	0	1	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	5559	3235	1575	3151	820	925	722	410	1020	298	394	493	215	229	137	221	130	141	86	82	103	119	57	73	117	43	55	63	32	45	74	43	16	26	34	15	72	22	56	13	21	16	17	5	29	7	2	13	5	8	3	6	2	2	6	2	8	1	3	19	3	1	4	2	1	4	4	1	3	3	0	1	2	1	1	0	1	1	0	1	0	0	1	6	3	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	north4_active	80	2473	2124	591	2719	327	626	471	142	889	102	271	405	56	142	42	164	35	82	15	26	67	84	26	50	94	15	34	40	13	23	68	34	3	13	23	5	65	18	45	6	14	5	5	2	29	6	0	8	1	4	3	3	2	1	4	1	7	0	3	16	1	0	2	2	1	2	2	0	1	2	0	1	0	1	0	0	1	1	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	5517	3349	1583	3149	832	968	719	392	1120	317	420	505	178	223	136	224	124	135	92	80	100	121	56	67	122	48	55	65	32	41	108	34	19	18	34	11	65	22	55	15	27	15	13	7	27	8	4	15	5	6	3	7	3	5	8	2	2	1	6	17	5	3	4	0	1	5	2	1	3	4	0	4	1	1	1	0	2	0	0	1	1	0	1	1	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	north5_active	80	2469	2206	622	2725	338	650	491	137	990	98	293	415	57	148	46	161	32	76	18	28	67	84	27	47	103	15	27	46	16	24	100	25	4	11	22	4	60	16	46	7	19	5	3	2	26	6	0	9	1	4	2	3	2	3	4	1	2	1	5	16	1	1	3	0	1	3	1	0	1	4	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
