label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120
0.03	north1_all	80	2938	1724	2708	782	807	582	341	346	342	206	143	189	173	125	215	238	69	71	118	126	66	27	44	30	24	29	60	51	28	35	33	12	19	16	25	2	17	10	12	4	16	10	8	7	10	4	4	2	6	7	9	7	3	2	4	2	8	11	3	1	2	2	2	2	1	1	1	0	3	3	1	1	0	1	2	0	1	2	1	0	3	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1335	893	1834	410	472	303	173	191	184	94	63	121	97	63	150	144	38	38	72	82	35	12	29	15	6	15	32	22	21	18	16	5	8	7	21	2	11	5	6	4	13	9	2	2	5	2	2	0	4	4	4	2	2	0	1	1	4	7	1	0	1	1	2	0	0	0	0	0	3	3	1	0	0	1	1	0	0	2	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2995	1667	2717	812	852	596	345	363	326	209	156	202	177	126	188	241	89	71	125	158	66	33	39	39	29	15	63	47	43	32	31	10	20	19	32	4	17	9	12	5	14	8	12	12	8	6	5	2	6	5	21	4	2	1	3	1	8	9	2	2	3	2	2	2	1	1	1	0	3	3	0	0	1	0	1	1	1	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1358	845	1842	422	516	313	178	204	173	88	69	139	105	69	128	143	48	33	81	108	37	15	24	18	12	7	45	28	35	14	13	1	7	9	26	4	11	4	4	5	10	5	5	7	4	4	2	0	4	2	16	1	1	0	1	0	2	5	1	2	2	1	2	0	0	0	0	0	3	3	0	0	1	0	1	1	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3036	1689	2672	773	842	564	364	378	278	211	160	223	201	140	189	204	100	65	110	163	57	34	35	34	30	14	65	52	46	33	23	11	19	18	27	7	13	10	18	6	11	8	10	10	11	4	2	3	6	4	22	4	3	4	2	0	7	6	3	4	4	4	2	2	1	1	1	0	4	0	0	1	1	0	1	1	0	2	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	1382	867	1792	384	496	298	188	213	143	90	74	140	116	76	126	129	59	27	69	115	35	16	18	17	13	7	46	35	35	15	8	4	8	8	19	7	8	5	8	5	7	5	6	7	4	2	0	1	4	2	17	1	2	0	0	0	3	4	2	4	3	2	1	0	0	0	0	0	4	0	0	0	1	0	1	1	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	3084	1647	2738	774	816	543	384	381	307	225	167	212	225	123	169	207	108	77	119	147	52	40	33	32	34	15	88	55	45	32	25	11	26	20	36	12	8	11	17	5	20	7	11	10	10	5	4	3	3	4	22	2	3	3	2	1	4	3	1	4	2	2	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	1410	842	1832	382	480	293	207	221	164	109	83	127	136	69	109	115	62	36	81	102	32	16	16	17	14	7	54	36	36	17	8	7	14	8	26	9	4	6	9	3	14	4	6	7	6	2	1	1	3	4	19	0	2	0	0	1	2	2	1	4	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	3045	1608	2775	776	799	530	366	354	308	217	158	203	205	119	178	198	108	85	132	121	49	38	46	27	28	23	92	51	37	29	26	16	23	28	37	11	5	10	14	5	18	5	3	9	9	5	5	4	5	4	20	3	7	4	2	1	3	4	2	4	2	3	1	0	0	3	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	1373	829	1837	386	471	295	174	209	170	120	78	118	122	61	115	120	62	43	96	85	26	18	21	16	12	10	60	31	28	16	13	10	13	15	25	8	3	7	6	2	10	2	1	7	5	0	3	3	3	4	19	1	6	1	1	1	2	2	1	4	1	2	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
