label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124
0.03	north1_all	80	6989	5237	2067	4492	3357	823	1255	646	482	469	401	339	271	206	217	262	159	133	162	235	97	89	80	192	60	170	73	44	45	45	38	28	131	34	25	32	16	37	20	25	17	16	16	20	8	11	5	34	6	8	10	9	7	7	4	6	11	2	3	2	9	3	7	3	5	4	5	3	1	3	3	2	0	0	0	0	1	0	2	1	1	0	1	1	0	2	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	2679	3854	658	4031	3040	348	999	337	192	261	250	196	90	47	104	186	64	41	120	184	31	24	23	158	22	148	49	14	9	12	15	8	120	8	8	18	6	26	6	14	8	7	8	9	2	7	3	30	3	2	4	5	4	5	0	0	8	1	3	0	9	1	7	2	3	3	0	0	0	2	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6917	5043	2096	4069	3136	812	1170	638	469	453	393	324	272	217	233	268	151	140	155	187	100	93	69	159	72	147	75	48	48	41	39	29	108	35	25	28	19	37	19	27	16	19	15	20	7	11	9	30	6	8	10	8	5	4	4	6	9	5	6	3	6	5	14	1	4	4	2	2	1	3	4	2	0	0	0	0	0	0	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	2562	3569	634	3603	2812	333	908	321	193	228	222	188	87	45	99	188	56	41	105	138	34	22	17	132	23	124	43	16	14	11	14	7	100	8	8	14	7	25	9	18	8	8	6	11	1	7	2	26	2	3	4	3	3	3	0	2	6	1	6	0	6	2	13	1	3	3	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6881	4690	2021	3596	2832	816	1038	614	480	434	355	339	255	243	224	265	155	132	150	190	100	77	75	112	67	130	73	55	42	37	31	37	106	33	27	23	22	32	22	24	19	15	15	16	10	10	11	24	7	8	8	6	2	6	4	4	7	4	5	3	8	5	18	4	2	4	2	1	2	2	3	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	2480	3207	559	3104	2467	307	764	298	195	203	190	183	77	59	97	169	46	33	88	137	29	18	17	94	24	101	41	21	14	8	13	8	102	7	9	11	4	18	9	12	7	5	3	8	1	4	3	22	3	3	3	2	1	2	1	3	2	0	5	1	7	4	14	2	2	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6902	4596	1968	3990	3051	878	1069	608	470	419	371	365	263	249	200	276	151	124	152	190	99	77	77	101	79	130	74	59	42	30	27	44	88	37	26	22	24	35	22	20	17	16	12	16	13	7	10	23	9	7	5	6	2	8	6	4	7	6	5	4	7	4	19	6	2	1	3	1	2	4	3	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	2547	3163	557	3487	2695	317	791	297	204	188	194	201	90	56	84	184	42	34	93	139	29	16	21	81	28	105	44	20	13	10	10	12	79	8	7	12	7	22	10	10	5	5	2	9	3	1	2	19	2	3	1	2	1	4	2	3	2	0	5	2	6	3	15	3	2	0	2	0	0	3	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7063	4805	2004	4404	3202	882	1185	642	483	433	401	390	268	258	204	292	165	124	187	226	103	85	89	112	68	161	70	48	34	29	35	43	88	36	27	20	27	44	22	30	21	13	9	15	12	7	10	18	12	6	7	4	4	10	6	4	6	7	5	3	5	2	15	5	0	2	5	0	2	4	3	1	1	1	2	1	2	2	0	1	0	0	1	1	1	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2728	3418	581	3910	2864	339	888	332	221	210	220	226	91	64	92	219	56	40	125	176	29	22	25	92	24	136	51	15	7	11	15	15	77	9	7	14	8	32	10	16	5	4	1	7	5	1	2	13	3	2	3	2	2	5	2	1	3	1	5	2	4	2	12	2	0	1	3	0	0	3	1	0	1	1	2	1	0	2	0	1	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6952	5113	2001	4962	3573	907	1277	663	494	455	419	390	267	268	195	303	169	129	208	225	87	83	94	133	69	183	68	45	37	42	35	41	95	34	23	27	24	50	21	30	24	14	6	17	11	6	8	23	11	2	6	8	5	8	6	5	8	5	8	5	4	1	9	3	0	2	5	0	2	11	2	1	1	1	2	1	4	2	0	1	1	0	1	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2767	3783	646	4481	3258	372	980	343	226	232	238	232	97	65	80	233	60	48	152	181	26	18	26	106	20	157	47	14	7	18	15	15	83	9	7	20	10	42	9	15	7	7	2	11	5	3	1	18	3	0	2	5	1	5	1	1	6	1	8	4	3	0	8	1	0	1	3	0	0	10	1	0	1	1	2	1	1	2	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7078	5318	2024	5016	3754	884	1359	688	511	449	424	413	278	269	187	295	166	128	229	228	96	93	86	133	63	200	65	45	43	50	40	41	85	33	22	29	22	48	23	37	27	18	12	22	11	8	7	23	10	2	8	7	6	8	3	8	7	3	8	3	4	1	5	1	1	1	3	1	0	7	1	5	0	1	6	2	3	3	0	1	1	0	1	1	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	2882	3974	676	4528	3461	368	1071	368	235	228	251	256	103	66	82	215	61	39	163	177	25	23	22	103	22	177	42	18	11	20	18	17	74	7	8	20	9	36	9	23	15	6	2	14	4	5	0	17	4	0	4	4	3	5	0	4	6	1	8	3	3	0	5	0	0	1	2	0	0	7	0	4	0	1	5	1	1	3	0	1	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7003	5345	2006	4986	3687	880	1356	687	494	449	427	411	265	259	195	296	153	134	244	220	92	84	87	156	61	198	71	47	44	51	35	45	86	35	25	35	22	31	23	40	34	17	10	28	10	12	5	22	7	5	7	9	8	8	2	8	10	1	9	4	3	1	9	1	2	0	1	1	0	9	1	5	0	0	6	1	2	2	0	0	1	0	2	1	1	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	2855	4012	690	4503	3365	370	1095	374	225	231	245	255	102	73	87	210	54	47	174	173	23	21	17	122	22	176	45	21	13	19	15	18	73	6	7	25	10	23	10	27	20	8	2	18	5	6	0	18	3	1	3	5	6	4	0	4	9	0	9	3	2	0	9	0	1	0	1	0	0	9	0	4	0	0	5	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7066	5290	2036	4849	3677	881	1351	667	522	437	417	405	269	251	191	271	146	128	219	223	110	91	81	158	59	184	75	55	40	43	38	39	90	34	25	33	20	27	19	35	28	18	17	27	13	15	2	19	8	8	9	4	8	12	2	5	11	3	10	4	2	0	13	2	2	1	3	4	1	3	2	4	1	0	4	1	0	2	0	6	0	1	2	0	0	1	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	2912	3949	701	4383	3345	358	1098	375	234	223	255	236	105	69	81	189	51	42	158	176	28	27	16	123	24	165	53	27	12	16	14	13	76	6	7	21	11	16	9	24	18	8	4	19	5	6	0	16	5	2	4	2	5	8	0	3	9	0	9	2	2	0	13	0	1	0	2	3	0	2	0	4	0	0	3	0	0	1	0	6	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7004	5321	1959	4846	3621	896	1307	651	532	423	415	395	268	236	214	263	130	122	202	246	112	91	76	158	55	177	74	63	47	42	31	33	112	32	27	31	18	27	18	30	22	17	17	21	10	12	2	20	7	11	7	8	6	11	2	4	10	5	18	5	3	2	12	5	1	1	2	4	1	5	2	3	1	0	4	0	1	2	0	6	2	1	2	0	2	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north10_active	80	2900	4014	668	4416	3274	342	1046	350	237	216	244	244	106	67	91	185	52	47	146	203	28	32	16	125	23	162	51	29	11	18	10	11	102	7	6	18	12	18	8	21	13	8	3	14	5	3	2	19	4	4	3	2	4	7	0	1	7	1	16	3	2	0	12	0	1	0	1	3	0	3	0	3	0	0	3	0	0	0	0	6	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6826	4669	2053	4136	2915	838	1090	608	487	462	361	381	233	217	204	252	163	135	141	246	95	82	91	133	71	150	79	38	38	40	38	27	83	22	28	32	19	28	21	19	18	9	12	10	11	8	8	32	8	5	5	16	2	7	7	3	2	3	9	3	7	2	5	2	9	1	0	2	0	6	1	1	4	0	6	1	0	4	3	2	3	2	1	0	3	1	0	1	1	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	2489	3209	548	3617	2537	302	824	290	206	217	186	223	79	57	76	175	49	41	99	191	28	24	26	102	25	138	54	13	13	16	21	8	69	3	5	15	11	19	7	12	7	4	4	5	6	3	0	32	2	0	1	11	1	4	1	0	1	0	8	0	7	0	5	2	7	1	0	2	0	6	1	0	1	0	6	0	0	1	3	2	1	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6919	4496	2062	3612	2660	854	992	583	495	436	377	360	252	222	188	232	174	134	126	215	89	74	86	115	76	118	67	46	40	36	37	27	75	28	24	27	16	17	17	20	20	14	16	12	4	12	9	33	7	8	7	10	4	6	5	3	1	2	6	3	7	6	5	1	1	4	0	4	0	11	2	0	4	0	5	1	0	4	3	3	3	2	1	0	2	0	0	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north12_active	80	2352	2918	525	3075	2275	294	712	258	199	200	186	196	81	54	71	146	52	38	86	165	29	16	27	88	23	104	38	11	15	13	18	10	60	5	3	14	6	9	8	12	7	7	5	8	3	6	0	33	1	3	2	5	1	3	1	1	0	0	5	0	7	3	5	1	1	2	0	3	0	11	1	0	0	0	5	0	0	1	3	3	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6948	4397	2042	3646	2660	854	1021	582	515	427	397	333	267	229	205	241	174	122	123	193	88	85	79	122	77	123	70	50	42	36	39	33	91	35	28	23	20	18	26	16	21	18	17	16	6	11	9	27	7	5	5	10	4	8	1	3	2	1	3	5	7	7	2	1	2	4	0	4	0	10	1	1	4	0	7	1	0	2	2	2	1	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north13_active	80	2368	2882	536	3123	2285	279	706	269	193	193	182	175	85	55	76	149	57	33	84	147	28	14	26	88	23	108	43	18	16	12	16	15	81	9	6	10	9	9	13	8	9	10	3	9	2	5	1	26	0	3	2	3	1	5	0	1	1	0	2	1	7	3	2	0	2	2	0	3	0	10	0	1	0	0	7	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
