label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	6948	7901	1802	1402	849	2589	1049	343	670	474	171	162	115	101	76	57	67	57	63	89	39	30	46	30	15	39	33	8	8	4	11	18	3	3	2	2	1	4	8	1	0	6	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	2695	6896	622	789	222	2386	867	76	570	400	61	77	49	57	27	23	35	48	46	78	29	16	35	16	4	29	28	7	3	2	8	17	1	1	0	1	0	3	7	1	0	4	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6903	7727	1794	1388	853	2538	964	341	643	465	175	165	110	113	84	61	65	74	56	110	33	26	51	28	18	29	33	8	9	6	22	29	4	3	4	2	2	2	9	1	0	4	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	2739	6710	615	786	226	2339	797	69	536	401	62	83	45	64	35	29	28	56	40	97	20	11	39	13	4	20	30	6	4	2	17	28	2	1	1	1	1	2	7	1	0	3	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6867	7846	1797	1424	825	2451	977	346	685	446	167	160	103	96	80	67	69	80	59	135	31	34	47	27	19	26	33	10	12	9	23	35	3	3	5	2	2	1	6	4	0	3	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	2749	6836	574	796	234	2273	798	69	571	365	50	76	40	52	31	31	31	60	37	121	16	21	33	19	5	19	28	8	8	2	20	34	2	1	1	1	1	1	4	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6759	7894	1714	1464	817	2498	974	354	656	417	178	155	115	105	83	71	64	72	60	131	28	33	38	25	17	18	29	10	10	11	23	27	1	5	4	3	1	1	5	6	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2736	6851	543	825	233	2310	798	76	537	324	53	77	47	53	33	27	30	50	34	121	15	22	27	16	3	13	25	7	7	4	20	26	1	4	1	2	1	1	4	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6768	8176	1730	1437	801	2425	1008	366	672	406	173	139	102	123	81	74	58	54	60	135	23	33	38	20	16	19	27	13	10	12	20	30	1	6	2	2	2	1	4	7	1	1	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2697	7142	565	787	227	2235	823	74	575	311	48	69	42	58	31	27	30	36	31	125	13	25	31	15	5	10	23	10	7	5	18	29	1	6	0	1	2	1	3	1	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6826	8204	1753	1390	797	2495	997	372	652	449	169	153	114	113	77	76	54	54	65	124	24	33	39	13	17	18	22	15	12	11	18	20	0	7	3	2	2	3	3	6	1	0	1	2	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2717	7184	581	752	222	2291	808	81	540	353	49	72	48	54	25	28	27	39	30	115	15	23	37	7	5	10	19	11	9	6	15	18	0	6	2	2	2	3	3	1	0	0	1	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6907	8262	1751	1354	796	2530	996	389	652	518	166	164	121	115	67	71	62	74	68	125	30	28	41	11	16	17	24	8	10	10	18	20	2	8	3	1	3	3	1	4	1	0	2	2	3	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2671	7259	608	743	209	2323	813	86	549	419	47	73	48	56	23	29	34	54	38	113	18	17	39	9	4	11	23	6	6	4	16	19	2	7	3	1	3	3	0	1	0	0	1	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6921	8133	1745	1375	804	2487	1020	366	659	602	170	171	124	98	73	63	67	76	72	122	36	27	42	20	15	19	38	9	10	7	16	21	3	5	3	3	3	2	2	1	0	6	1	2	3	5	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2670	7084	615	764	200	2300	850	82	552	495	49	79	46	44	25	21	40	54	50	111	20	20	39	12	3	14	34	8	6	2	15	20	2	4	3	3	3	2	1	0	0	6	0	1	3	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6937	8162	1711	1392	800	2438	1091	342	699	580	179	177	135	115	81	74	78	81	73	132	38	26	44	15	12	18	39	8	7	10	16	13	4	5	3	5	2	7	3	0	0	6	1	2	1	5	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2742	7106	601	802	194	2256	917	78	587	474	50	80	47	55	25	23	46	59	53	119	22	17	40	8	2	17	35	8	3	6	16	11	2	4	2	4	1	5	2	0	0	6	0	1	1	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6880	7964	1737	1389	816	2403	1125	346	742	505	182	166	111	131	83	88	67	79	70	136	43	29	44	18	10	23	48	12	10	7	17	16	3	6	1	5	2	6	4	0	0	7	1	1	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2756	6920	601	796	224	2246	944	81	633	411	53	77	37	69	23	30	38	58	57	125	22	18	36	8	5	22	41	11	5	6	16	14	1	5	0	4	1	4	3	0	0	6	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7037	8198	1707	1413	760	2698	1018	355	659	448	177	150	138	109	72	66	90	76	66	107	37	23	52	30	17	30	37	13	19	11	26	24	6	6	0	4	2	4	4	4	3	1	0	1	1	1	1	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6
0.03	north11_active	80	2712	7149	577	771	181	2493	835	78	550	368	53	69	41	60	19	27	53	57	45	99	24	14	46	21	5	24	34	7	9	8	24	21	2	1	0	1	0	3	4	2	0	0	0	1	1	1	1	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6
0.03	north12_all	80	6958	8136	1730	1425	755	2476	957	341	670	486	167	159	130	114	76	59	77	86	72	92	31	26	67	23	17	44	38	13	13	10	22	33	5	5	0	2	1	5	5	2	3	1	0	1	2	3	0	1	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6
0.03	north12_active	80	2745	7133	597	799	193	2289	800	77	552	402	51	79	39	64	21	17	48	63	51	84	23	20	56	15	4	38	35	4	6	3	19	33	1	1	0	0	0	4	4	0	0	0	0	1	1	3	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6
0.03	north13_all	80	6968	8094	1729	1421	797	2394	941	353	780	524	161	165	120	123	84	75	71	96	69	129	28	27	65	24	17	41	44	13	11	9	22	38	4	4	0	2	1	6	4	1	2	1	0	1	2	2	0	2	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2816	7048	612	814	202	2217	794	71	653	433	43	89	48	64	25	25	39	73	43	122	19	19	50	16	1	35	41	4	6	3	18	37	2	1	0	0	1	5	3	0	1	0	0	1	1	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6901	8054	1793	1427	842	2526	926	364	747	554	159	161	111	122	98	85	64	108	51	133	29	32	60	23	19	36	28	11	9	9	18	25	5	2	2	2	1	5	2	0	2	0	0	0	1	2	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2725	6971	636	814	218	2351	765	78	609	460	40	83	41	66	34	33	27	84	33	126	19	22	42	16	2	29	24	4	7	2	12	23	3	2	1	0	1	4	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6915	8102	1766	1416	859	2497	1005	376	726	554	165	167	113	127	97	83	51	109	64	122	34	38	39	20	14	22	17	8	9	11	15	20	5	3	3	5	1	4	2	1	2	0	0	0	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
