label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	65743	32267	7593	7812	3431	5799	1960	1635	2702	918	1220	600	534	390	340	290	480	262	175	184	120	118	82	121	56	54	53	35	23	34	25	33	12	19	14	16	15	10	7	9	6	5	3	2	2	1	1	2	3	2	3	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0
0.03	north1_active	80	56432	28187	2253	5704	714	4911	557	712	2354	279	948	187	280	175	112	154	414	212	50	134	48	75	42	104	31	38	34	17	8	15	8	25	8	16	4	14	3	5	3	3	2	2	1	1	2	0	1	0	3	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north2_all	80	66093	32230	7661	7819	3437	5671	1972	1611	2703	907	1234	630	512	406	338	291	506	283	167	201	116	123	88	132	61	68	52	32	19	25	27	23	14	16	11	8	7	6	4	10	4	7	2	2	1	1	1	3	1	2	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0
0.03	north2_active	80	56710	28174	2287	5674	720	4823	560	702	2329	272	961	201	276	184	115	143	438	225	36	152	53	85	44	116	28	54	37	16	8	7	9	11	8	14	2	6	2	3	1	3	2	3	1	1	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
0.03	north3_all	80	67054	32066	7681	7795	3414	5788	1938	1631	2711	941	1302	641	500	419	355	286	523	310	156	185	113	122	87	136	63	74	47	30	25	23	24	18	17	21	8	6	10	7	6	7	1	5	2	1	0	2	3	3	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
0.03	north3_active	80	57700	27960	2274	5667	754	4961	559	729	2341	309	1017	201	263	197	126	130	448	254	39	127	53	81	49	118	32	61	35	13	11	9	7	7	10	19	2	5	4	4	2	2	0	2	1	0	0	1	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
0.03	north4_all	80	67304	32079	7778	7782	3460	5701	1926	1634	2763	938	1378	655	525	438	348	303	507	395	160	194	130	112	91	152	55	83	60	41	27	22	22	13	13	17	10	18	6	8	4	3	4	5	2	1	1	2	4	3	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north4_active	80	57882	27997	2346	5630	766	4877	583	735	2408	329	1051	220	277	204	136	130	434	322	42	135	63	79	49	131	29	71	45	19	13	8	7	6	7	14	3	17	4	7	2	1	4	2	0	0	0	1	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	67020	32126	7706	7871	3474	5548	1917	1644	2778	978	1385	652	556	447	341	312	421	400	144	182	125	121	89	149	56	69	64	41	25	19	17	10	12	21	10	22	9	9	4	5	5	4	3	1	2	1	5	2	3	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north5_active	80	57680	27980	2342	5649	779	4707	573	742	2437	358	1061	224	288	213	134	134	359	328	47	130	56	85	47	125	29	56	47	23	11	8	6	4	5	15	4	21	7	8	1	2	5	2	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	66790	31817	7641	7715	3517	5324	1904	1644	2640	959	1321	620	581	468	339	303	380	386	154	177	106	116	85	163	56	68	77	47	30	25	15	7	15	12	16	24	7	9	7	4	7	7	4	4	3	4	7	1	2	4	1	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1
0.03	north6_active	80	57472	27706	2346	5490	750	4495	563	742	2292	353	1019	214	301	217	136	128	329	306	50	128	55	80	39	145	24	54	63	31	22	14	6	5	7	6	4	21	5	6	1	3	7	5	1	2	0	3	6	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north7_all	80	66037	32034	7530	7774	3558	5212	1883	1660	2654	986	1339	594	590	470	337	290	466	375	162	221	90	103	81	177	64	71	69	39	27	29	14	8	15	18	17	20	10	9	7	3	3	10	3	4	2	4	5	2	1	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north7_active	80	56791	27915	2318	5582	773	4391	530	740	2297	349	1006	202	301	219	130	133	412	302	48	164	46	73	33	154	26	58	54	28	19	12	9	4	8	10	8	17	8	6	1	2	3	8	1	2	0	3	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north8_all	80	66393	32142	7428	7738	3533	5264	1935	1627	2732	972	1352	594	605	468	343	262	520	301	161	198	81	104	89	185	69	72	70	39	33	32	19	11	19	13	17	7	7	8	7	3	4	10	2	5	4	8	2	2	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
