label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north1_all	80	40962	12718	6658	8115	3553	3372	3577	1308	1893	943	1054	537	432	382	545	235	206	197	145	144	103	81	96	74	53	29	68	38	35	23	24	14	17	7	12	31	7	6	18	5	3	2	5	1	2	1	0	0	0	0	0	5	4	1	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	23883	6357	3129	4925	1840	1941	2134	596	1186	509	639	294	223	179	310	105	93	94	68	72	49	33	52	20	29	13	46	24	17	14	7	8	9	4	11	26	5	3	10	2	0	2	3	0	1	0	0	0	0	0	0	4	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	41333	12717	6743	8096	3514	3354	3555	1325	1885	983	1004	527	416	380	606	238	209	202	135	125	120	90	102	72	43	32	70	46	38	21	16	12	18	5	8	19	8	5	23	5	10	2	5	1	1	1	1	0	0	0	0	1	2	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	24136	6401	3151	4851	1827	1902	2124	578	1167	515	607	275	211	173	358	103	98	89	61	67	56	41	61	23	23	14	42	27	21	13	7	6	11	2	7	16	6	3	14	2	3	2	3	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	41699	12721	6698	8215	3500	3433	3560	1292	1779	978	999	513	430	373	624	258	202	211	125	132	114	99	123	67	40	32	55	45	38	27	17	24	12	4	6	15	7	5	19	7	10	1	5	1	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	24438	6448	3100	4913	1798	1917	2143	570	1066	502	581	255	201	182	362	109	95	103	53	72	53	47	73	28	23	13	30	19	26	16	6	11	8	1	4	10	4	4	11	4	3	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	41638	12712	6662	8245	3536	3479	3599	1337	1725	953	982	506	435	366	620	254	190	229	118	124	98	93	113	59	33	32	59	37	36	23	12	21	16	7	13	12	10	8	12	5	11	1	5	0	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north4_active	80	24523	6403	3076	4987	1835	1971	2228	578	1027	486	568	246	198	169	376	117	88	120	46	64	44	42	69	33	17	13	32	17	29	13	4	8	12	2	11	4	5	5	10	4	3	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north5_all	80	41455	12563	6568	8236	3533	3502	3502	1258	1650	922	913	499	459	352	604	254	184	213	119	125	82	85	106	62	34	32	50	30	48	25	15	22	14	5	16	11	11	10	6	5	8	1	9	1	1	1	1	2	1	0	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	24376	6309	3074	4932	1835	2029	2142	589	1000	473	525	249	207	170	368	126	91	116	52	59	43	38	62	30	19	13	29	13	32	16	5	8	12	2	14	4	5	7	4	4	1	0	6	0	0	0	0	1	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	42959	12815	6745	8540	3547	3681	3607	1297	1733	938	925	522	468	361	595	269	174	199	121	127	73	81	79	68	36	34	49	28	36	25	15	15	12	7	18	17	9	9	8	6	3	2	7	3	3	1	0	1	1	0	2	6	2	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	25781	6479	3198	5190	1840	2160	2229	610	1040	484	544	271	206	168	384	133	89	102	57	59	43	34	54	32	18	13	30	14	19	16	6	6	9	1	15	10	3	6	5	1	0	0	5	1	0	0	0	1	1	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	44992	13157	6781	9002	3667	3850	3862	1274	1868	981	1019	601	463	362	712	263	194	211	130	133	79	83	99	75	48	35	46	28	42	23	20	14	13	15	15	16	4	8	7	6	5	3	4	4	2	1	0	1	1	1	2	6	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	27282	6716	3244	5487	1948	2299	2374	583	1122	527	597	317	209	176	436	137	96	109	60	66	44	41	59	42	24	15	22	15	18	15	8	5	6	4	11	11	1	6	3	1	2	0	2	2	0	1	0	1	1	1	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	46986	13772	6972	9474	3809	3932	4306	1268	2035	1019	1139	621	448	407	778	268	181	235	145	128	82	81	101	77	46	36	56	36	48	20	21	13	24	16	14	19	6	8	16	6	6	6	1	3	5	5	0	1	1	1	1	6	3	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	28774	7128	3408	5808	2049	2361	2737	580	1249	534	693	325	206	214	511	145	89	129	59	72	43	45	67	38	21	19	38	17	22	11	9	5	10	7	10	12	3	4	13	1	3	3	1	2	2	3	0	1	1	1	0	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	48272	14053	7174	9558	3840	3984	4515	1254	2080	968	1233	631	440	414	843	255	196	244	152	144	95	89	108	91	42	34	63	30	54	21	22	14	25	19	11	10	8	6	20	3	6	6	1	4	3	7	0	1	0	1	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	29710	7302	3505	5881	2075	2425	2887	545	1262	519	749	322	210	217	541	141	92	146	63	81	47	43	67	48	21	21	44	15	30	10	9	7	12	12	7	6	4	3	15	0	3	5	0	3	2	4	0	1	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	48383	13957	7078	9742	3902	3904	4387	1238	2082	946	1223	602	464	437	734	283	186	265	138	150	104	77	86	88	40	37	69	26	50	25	19	17	27	18	6	23	10	11	22	4	4	6	2	3	5	6	1	1	0	2	0	4	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	29453	7321	3449	5968	2140	2334	2809	558	1285	500	748	296	216	240	463	161	88	169	57	77	53	38	55	43	20	19	44	14	32	12	6	10	13	16	5	19	4	6	18	1	2	6	0	1	2	3	0	1	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	47746	13942	7047	9636	3808	3966	4231	1246	2182	1060	1155	593	453	399	553	256	197	251	140	173	93	95	113	94	40	37	83	35	41	33	21	10	10	19	21	15	10	15	14	9	5	3	5	4	1	2	3	2	3	6	0	0	0	1	8	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north11_active	80	28862	7226	3420	6095	2049	2373	2746	563	1345	555	732	298	216	211	347	125	70	155	61	97	41	45	67	45	17	17	42	21	23	21	7	3	2	10	9	12	5	12	11	5	4	1	4	2	1	1	1	0	3	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	47980	13921	6970	9833	3817	3981	4272	1272	2330	1058	1206	629	464	375	541	251	219	248	136	158	100	92	114	95	40	36	104	37	59	38	22	13	10	19	19	7	10	12	12	8	4	2	4	3	1	2	2	1	2	7	0	2	0	1	8	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north12_active	80	29203	7188	3370	6334	2035	2375	2807	559	1460	547	741	324	236	195	340	123	82	158	62	86	49	46	64	55	21	15	61	20	41	27	8	4	4	12	8	4	5	10	10	4	2	1	3	2	1	2	1	0	2	7	0	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	46959	13629	6899	9361	3772	3796	4126	1328	2281	999	1203	644	484	367	621	243	204	280	128	167	90	103	119	87	43	37	90	38	57	32	16	15	9	19	16	14	9	12	8	9	2	3	3	5	1	3	1	3	0	6	1	2	0	1	8	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north13_active	80	28453	6981	3284	5987	1969	2197	2660	575	1442	494	738	338	241	195	376	124	72	184	64	89	40	54	60	52	21	20	60	21	43	20	5	4	6	13	8	10	6	11	6	6	0	3	2	1	1	3	1	2	0	6	0	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
