label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75
0.03	north1_all	80	28242	14918	7467	4773	7751	2738	1897	1390	2771	873	895	603	475	403	298	285	209	187	134	140	149	92	84	56	61	57	26	43	38	25	18	16	13	9	21	6	10	9	21	2	10	4	4	3	3	1	3	1	2	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	6335	7912	2469	982	6580	1289	422	317	2438	156	493	207	94	185	62	166	68	58	43	75	94	14	39	15	43	42	8	28	27	6	6	6	1	2	19	3	1	8	20	0	1	2	1	3	2	1	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28286	15350	7502	4766	8647	2894	1915	1403	2971	893	902	579	505	413	317	290	225	181	138	162	149	97	70	69	54	63	24	33	44	20	19	18	18	11	33	9	9	11	17	2	7	4	4	3	3	1	3	5	2	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6942	8522	2700	1119	7502	1417	412	334	2637	183	521	212	113	196	79	177	74	52	47	94	97	23	34	18	35	55	7	18	31	7	7	6	2	3	30	4	2	9	15	0	1	2	1	3	3	1	2	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28384	15889	7685	4777	9557	2929	1892	1403	3093	907	954	622	475	423	312	305	244	184	149	180	127	99	80	69	76	65	35	30	38	19	21	14	16	8	68	11	8	15	17	3	5	3	3	2	2	1	2	6	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7498	9316	2975	1216	8511	1520	373	349	2775	192	574	252	134	225	94	198	83	60	57	115	87	33	42	14	54	56	11	19	28	8	5	3	1	3	66	6	2	14	15	0	1	1	1	2	2	0	2	6	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28547	16207	7809	4813	10565	2984	1913	1427	3608	906	948	618	466	429	329	334	233	172	172	198	139	90	76	71	87	57	40	28	36	19	25	13	14	8	79	15	8	15	15	5	5	2	1	0	2	2	1	6	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8194	9929	3217	1297	9594	1611	361	403	3276	204	578	270	134	239	114	214	85	50	64	126	90	36	42	12	64	48	12	14	20	8	9	3	1	4	78	10	2	14	13	0	1	1	1	0	2	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28551	16511	7839	4898	10986	3080	1869	1457	3863	901	927	641	427	448	337	365	225	155	184	182	153	82	81	68	98	67	43	37	39	21	26	15	9	5	65	14	11	30	14	6	6	2	0	4	0	2	0	2	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	8399	10279	3291	1348	10018	1718	345	431	3539	197	574	273	127	261	124	235	86	47	73	117	84	34	48	7	71	41	13	16	25	8	11	6	0	3	63	8	4	29	12	0	1	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	28371	16647	7739	5004	10689	3129	1823	1495	4102	912	921	659	406	488	331	376	221	144	190	166	157	83	72	59	80	67	40	47	46	19	23	15	9	12	30	13	11	39	7	5	4	2	0	4	1	3	0	0	0	10	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	8396	10339	3268	1393	9747	1771	347	443	3787	191	550	285	111	300	127	255	80	40	78	97	82	31	42	4	57	38	12	24	27	4	12	5	1	5	29	7	4	39	6	0	1	1	0	2	1	1	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	28321	16734	7797	4985	10778	3135	1843	1508	4059	915	938	654	424	506	325	401	237	157	195	161	151	88	83	65	84	95	43	52	37	19	23	24	10	12	15	7	12	32	9	3	1	3	0	7	2	2	0	1	1	10	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north7_active	80	8366	10422	3278	1403	9802	1759	332	456	3774	195	587	277	124	330	119	276	98	43	89	98	85	31	51	8	63	60	13	28	26	5	12	11	1	3	12	4	3	31	8	1	0	1	0	4	2	1	0	1	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north8_all	80	28361	16917	7824	4868	10889	3110	1834	1459	3968	921	976	656	431	529	318	403	231	158	182	179	146	88	80	68	94	97	45	37	38	21	17	24	10	12	36	7	11	20	12	3	1	2	0	7	3	3	0	3	1	10	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_active	80	8297	10533	3299	1379	9928	1766	342	458	3657	197	635	270	138	345	120	272	85	52	78	119	97	33	46	9	71	63	19	22	29	3	7	9	2	2	33	5	3	19	12	1	0	0	0	4	2	3	0	1	0	10	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_all	80	28540	16719	7860	4741	10699	3067	1893	1452	3804	894	964	618	457	501	293	391	233	179	178	192	149	86	88	72	106	94	45	39	37	19	19	25	13	15	44	8	9	24	15	4	1	2	1	4	4	3	0	3	1	3	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	8286	10369	3287	1334	9754	1751	321	464	3498	198	652	256	138	333	109	269	101	49	77	131	107	29	41	8	76	72	16	23	30	2	9	10	2	3	41	7	2	23	15	1	0	0	0	3	2	3	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_all	80	28699	16868	8000	4701	10644	3040	1892	1435	3811	902	944	605	466	484	317	373	240	197	180	194	144	86	88	63	112	80	48	29	45	19	25	19	13	13	59	11	8	12	11	5	2	7	1	2	3	2	2	4	1	2	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	8423	10417	3422	1306	9716	1720	335	457	3494	188	631	236	150	306	125	244	98	61	69	125	94	29	43	7	76	58	17	14	31	4	10	6	1	3	56	10	3	12	10	1	0	6	0	2	1	2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_all	80	28368	14590	7401	4789	7898	2772	1922	1446	2859	962	836	564	435	408	309	338	214	170	145	151	117	89	74	63	73	53	39	32	39	13	25	16	10	13	32	12	4	10	9	4	3	3	4	12	2	0	3	2	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
0.03	north11_active	80	6288	7676	2484	1057	6700	1266	442	348	2505	202	445	187	78	198	97	187	73	41	56	85	63	30	30	9	53	37	10	14	21	3	9	7	4	3	30	8	1	6	9	1	1	3	2	6	1	0	1	2	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	28489	15201	7495	4796	8391	2841	1901	1435	3089	945	880	604	426	413	338	342	214	174	147	159	128	89	78	59	73	59	36	36	32	18	25	14	11	13	15	12	6	7	9	5	5	3	3	12	3	0	2	3	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north12_active	80	6863	8475	2679	1165	7305	1408	402	354	2737	203	491	205	74	203	113	197	68	46	66	86	69	23	39	10	53	48	11	17	15	2	6	6	6	6	13	8	1	4	9	2	1	3	2	7	1	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	28633	15922	7745	4831	9466	2977	1861	1410	3591	932	929	630	411	432	324	347	215	185	166	167	149	85	82	62	71	66	34	32	37	15	24	18	15	10	25	14	5	23	7	6	4	3	2	4	2	0	2	3	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0
0.03	north13_active	80	7565	9375	3025	1254	8404	1588	370	370	3254	201	539	229	91	234	121	219	79	47	77	100	90	22	44	11	48	50	13	20	22	1	5	7	5	4	22	11	1	21	7	2	1	3	1	3	0	0	1	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
