label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	17988	4298	3585	3501	1987	1329	809	1332	576	274	254	349	190	176	128	317	68	137	107	50	61	93	40	37	34	24	15	15	20	15	15	15	25	18	4	9	2	7	4	5	2	1	3	2	0	1	1	0	4	0	1	0	2	2	0	0	1	2	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north1_active	80	15570	2821	2838	3063	1622	1063	557	1184	430	114	136	265	123	110	61	284	30	117	84	28	35	81	22	29	14	8	5	5	15	8	3	7	22	16	2	3	0	4	4	4	1	0	2	2	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north2_all	80	17935	4218	3677	3506	2051	1329	890	1389	551	275	266	344	220	170	138	297	65	131	104	47	64	95	30	41	27	26	11	16	19	11	14	19	34	15	5	9	1	7	3	2	2	0	1	2	0	1	1	1	2	0	1	6	2	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north2_active	80	15500	2749	2916	3082	1683	1039	607	1252	413	111	138	271	148	107	57	267	24	115	82	22	34	83	14	31	12	13	6	7	13	3	2	8	34	13	2	3	0	3	3	1	1	0	0	2	0	1	1	0	1	0	0	6	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north3_all	80	17851	4304	3754	3518	2031	1365	852	1365	550	263	280	341	216	165	125	270	67	144	118	59	63	98	31	40	22	26	11	17	21	11	12	22	20	14	6	8	3	7	4	1	1	0	1	3	0	0	2	2	3	0	0	7	3	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north3_active	80	15386	2839	2965	3096	1669	1065	580	1236	395	98	142	264	145	98	56	238	21	126	98	27	32	88	16	29	8	14	7	8	17	5	2	11	20	11	2	2	1	3	4	1	0	0	0	2	0	0	2	0	2	0	0	7	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north4_all	80	18058	4334	3712	3612	2027	1312	874	1457	521	290	278	360	209	177	128	260	77	150	113	51	61	106	32	38	20	27	14	16	17	11	10	13	29	16	7	9	5	5	6	0	0	2	1	2	1	2	2	2	2	0	1	8	2	0	0	1	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	15627	2871	2948	3205	1683	1029	602	1332	373	115	137	281	142	105	64	226	27	131	89	20	34	96	13	25	6	18	9	6	13	4	3	6	26	14	1	2	2	3	6	0	0	1	0	0	1	0	2	0	1	0	1	8	1	0	0	1	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	18218	4349	3738	3723	2040	1303	825	1513	557	284	253	342	203	181	127	248	87	177	114	45	79	109	37	43	22	22	13	12	30	14	14	9	17	17	9	11	5	3	7	0	1	2	1	2	3	4	2	2	2	0	1	7	3	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	15807	2901	2991	3311	1710	1043	588	1391	404	118	124	258	138	104	67	216	31	152	87	20	45	100	14	29	7	12	7	4	27	7	7	5	13	15	1	2	2	3	7	0	0	1	1	0	2	1	2	0	1	0	1	7	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
