label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49
0.03	north1_all	80	48033	12744	9232	9305	5266	4375	2576	1370	1522	532	607	357	242	198	330	179	84	128	144	52	40	35	8	35	29	14	11	5	10	8	1	1	5	3	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	27329	5756	4973	5774	3231	2737	1551	762	875	224	319	177	107	100	213	96	41	78	99	31	21	17	4	17	23	12	5	3	3	3	1	1	4	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	48069	12797	9337	9054	5395	4377	2639	1414	1654	499	583	329	249	209	355	184	105	124	137	61	40	32	14	24	26	16	8	4	6	6	5	0	4	4	2	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	27195	5808	5024	5643	3238	2753	1630	780	985	210	316	158	122	101	245	95	51	76	79	36	20	17	6	13	21	11	4	3	1	3	5	0	3	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	48385	12709	9263	8939	5391	4413	2703	1402	1641	509	589	312	254	212	356	173	109	121	148	62	52	31	15	25	14	16	5	4	10	6	5	0	6	8	4	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0
0.03	north3_active	80	27660	5792	4988	5466	3243	2769	1645	771	962	232	308	156	127	108	248	95	47	70	98	39	26	23	7	18	11	11	3	2	4	4	5	0	4	5	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47941	12718	9279	9057	5468	4463	2701	1369	1597	534	602	323	280	215	355	189	101	100	146	51	50	38	12	31	19	18	4	4	9	5	6	0	2	8	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	27334	5769	4936	5511	3240	2747	1659	747	952	236	308	167	140	109	233	113	50	62	90	29	26	29	4	22	19	12	3	1	5	2	5	0	1	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	48102	12739	9226	8981	5413	4615	2716	1334	1549	570	613	352	278	209	334	191	92	105	133	60	45	33	11	26	25	17	3	7	11	5	3	1	3	5	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	27523	5747	4911	5507	3239	2826	1630	717	949	267	323	179	125	112	197	120	48	67	81	38	21	26	6	19	22	12	3	2	6	1	1	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	47968	12746	9290	9196	5424	4613	2702	1274	1490	569	595	350	271	203	332	181	87	93	145	55	40	37	17	25	26	14	6	7	10	3	6	2	2	1	3	1	1	1	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north6_active	80	27416	5704	4980	5670	3260	2867	1655	699	892	262	306	175	112	103	192	105	43	68	87	33	21	25	7	18	19	9	6	3	6	0	3	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	48030	12752	9354	9120	5355	4673	2680	1225	1536	567	532	353	249	182	283	181	74	100	159	62	36	27	20	30	22	19	6	8	6	3	7	2	1	1	3	2	2	1	2	1	0	0	1	0	0	1	0	0	0	0
0.03	north7_active	80	27436	5689	5086	5584	3247	2999	1663	646	972	251	293	169	108	89	158	93	36	69	77	38	18	14	10	21	13	13	5	5	3	0	3	1	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	48139	12726	9427	9269	5232	4795	2622	1260	1561	540	572	323	249	202	281	163	87	94	162	50	35	29	26	33	21	14	9	6	4	4	4	3	2	1	3	2	1	1	2	1	0	0	1	0	0	1	0	0	0	0
