label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	north16_all	80	4367	1553	1052	1614	943	392	490	242	393	206	124	115	228	157	66	70	73	41	51	22	105	21	32	139	18	78	17	13	26	38	19	6	12	14	9	8	4	2	5	4	6	26	4	6	5	4	0	6	7	1	8	5	1	0	0	0	0	6	1	0	1	0	0	6	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_active	80	2434	490	480	1364	713	147	349	102	310	119	50	38	186	119	13	28	43	6	11	9	100	4	19	134	5	70	9	2	22	36	14	1	10	3	3	2	3	0	4	3	4	26	4	5	4	3	0	4	5	0	8	5	0	0	0	0	0	6	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north17_all	80	4312	1575	1076	1676	966	396	479	245	367	206	129	117	260	140	61	67	79	46	48	22	122	26	36	111	22	70	21	12	28	53	34	8	6	14	9	4	7	7	9	7	3	27	4	6	10	5	0	5	6	1	16	5	2	1	0	0	0	6	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
0.03	north17_active	80	2414	480	491	1429	732	143	331	106	277	115	51	44	216	109	14	25	43	5	14	7	115	7	23	105	10	64	9	2	24	51	31	0	4	4	3	1	5	3	8	5	2	27	3	5	9	3	0	4	3	0	16	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
0.03	north18_all	80	4332	1625	1087	1676	935	369	460	256	374	200	128	129	271	119	65	59	75	47	50	25	130	28	35	125	23	84	18	11	34	42	50	11	14	11	5	6	12	8	12	7	3	25	3	4	9	5	0	4	4	2	14	1	1	1	0	1	1	6	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
0.03	north18_active	80	2432	489	498	1406	696	129	319	110	291	108	48	44	227	92	19	24	34	5	13	9	119	9	22	116	13	80	8	3	29	37	48	0	11	4	2	4	9	3	10	5	1	24	0	4	9	3	0	3	2	1	14	1	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
0.03	north19_all	80	4265	1590	1098	1688	927	382	437	261	361	206	133	131	283	117	65	65	63	47	49	31	197	23	30	158	23	86	17	14	33	51	46	9	24	4	5	4	14	8	22	8	2	17	3	7	9	4	0	5	4	2	20	9	1	3	0	1	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
0.03	north19_active	80	2434	456	500	1405	709	132	295	115	289	122	44	46	237	88	17	24	27	9	13	9	184	7	16	149	10	78	9	4	26	43	41	0	21	1	2	4	12	3	20	4	0	16	0	7	9	2	0	4	2	1	20	9	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
0.03	north20_all	80	4231	1605	1095	1643	909	389	427	256	386	211	143	141	299	113	63	60	58	52	47	37	168	21	28	120	20	79	13	21	35	48	33	7	31	2	4	4	16	5	21	10	3	24	3	11	1	1	0	6	3	2	10	9	0	4	0	1	1	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	2405	488	498	1340	684	129	297	110	285	130	46	46	248	75	16	24	24	8	16	8	155	7	10	107	9	72	6	6	30	41	27	0	26	0	1	4	15	3	18	7	2	23	0	11	1	1	0	5	2	1	10	9	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3462	1919	1026	688	474	397	587	236	204	191	186	115	109	142	75	65	59	53	104	94	49	26	31	26	25	18	15	15	10	13	13	6	10	4	6	4	1	10	10	4	5	11	8	3	0	0	0	1	1	2	1	1	0	1	0	2	1	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	south21_active	80	685	1014	382	256	98	107	430	42	39	51	102	30	48	97	51	28	11	26	80	86	23	9	11	16	9	2	5	10	2	1	7	3	6	3	0	0	0	3	8	2	2	7	7	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south22_all	80	3421	1967	1046	680	499	409	631	204	196	200	183	118	112	140	85	71	63	58	110	109	50	29	34	33	26	16	19	23	13	11	10	8	8	1	6	6	3	9	10	3	3	9	4	3	0	0	2	1	1	2	1	1	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	705	1071	392	269	107	104	484	34	38	56	111	29	56	98	62	34	12	30	89	99	24	12	12	21	8	4	6	16	3	1	6	3	3	0	0	1	0	2	7	2	1	6	4	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	3529	2028	1034	693	481	408	662	211	202	199	181	123	122	151	106	82	71	51	107	150	57	34	34	31	22	18	20	19	13	7	10	11	11	6	6	9	6	8	16	2	3	3	6	1	0	0	3	1	1	3	0	1	0	1	0	2	0	0	5	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	776	1164	399	284	107	98	525	42	47	55	112	26	68	105	82	38	12	22	93	142	34	15	14	21	9	3	5	13	2	1	6	4	5	2	0	2	0	3	11	0	1	2	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3570	2021	1067	635	516	411	748	236	201	181	202	120	112	157	107	89	66	55	122	167	63	34	34	36	22	18	21	15	9	7	10	13	11	9	9	8	6	9	12	2	5	4	12	2	0	0	3	1	1	2	0	0	0	1	0	3	0	0	11	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
