label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	86612	21239	8565	5440	4083	2803	1951	1522	1136	699	601	664	504	233	204	195	110	107	78	118	49	36	21	31	14	52	9	10	6	5	14	4	6	2	4	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	74301	13746	2002	1168	2075	1324	990	724	668	181	246	509	402	64	62	116	35	58	14	101	23	6	9	19	6	43	3	3	2	1	11	4	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	86522	21289	8591	5507	3968	2794	1926	1468	1126	704	573	665	486	246	199	174	124	103	77	115	50	42	16	25	18	43	12	12	8	6	6	3	4	1	2	1	1	0	2	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	74234	13752	1984	1177	2005	1316	999	696	643	175	220	508	366	73	63	94	39	51	21	100	22	5	10	17	6	38	5	3	2	3	4	3	3	0	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	86487	21464	8607	5519	3956	2777	1992	1443	1198	738	575	664	549	256	185	164	118	122	83	98	41	39	15	26	18	62	12	11	10	6	5	3	5	3	4	1	2	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	74079	13934	1963	1148	1980	1303	1011	697	681	182	233	493	411	88	63	82	41	66	19	79	17	8	5	18	5	58	6	2	2	2	3	3	4	0	3	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	87480	21569	8690	5507	3950	2728	2016	1441	1163	763	564	650	537	269	169	159	110	110	76	76	47	38	20	20	18	50	12	6	7	7	6	6	5	3	3	1	2	0	1	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	75098	14081	1999	1163	1974	1298	1007	683	654	180	227	474	392	87	57	72	37	54	19	52	23	10	7	13	6	43	5	2	1	3	3	3	4	0	3	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	87332	21536	8717	5479	3880	2746	2057	1412	1158	736	551	664	557	265	171	151	107	122	73	82	54	41	24	22	19	49	15	11	8	8	3	3	1	3	3	3	1	7	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	75002	14011	2013	1170	1941	1306	1029	683	644	185	220	484	408	78	60	69	33	69	18	57	32	13	11	16	10	42	5	1	1	3	1	0	1	0	2	0	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
