label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49
0.03	north1_all	80	39653	31891	7706	9788	4151	3778	1702	1397	1204	653	664	379	623	476	331	154	192	103	124	49	60	36	24	26	20	22	6	19	4	3	7	4	3	9	7	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1
0.03	north1_active	80	20321	20098	3522	6058	2296	2270	872	777	703	303	379	184	445	286	213	87	116	58	70	20	44	24	12	16	8	15	4	11	3	1	3	3	3	8	4	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_all	80	39868	31670	7763	9942	4146	3829	1721	1421	1181	664	653	379	592	478	348	158	195	92	106	51	58	35	25	28	18	22	8	17	5	4	4	1	4	10	8	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1
0.03	north2_active	80	20548	20054	3532	6319	2285	2263	874	795	678	320	376	177	415	285	230	86	126	44	65	18	41	24	9	17	8	17	4	8	4	1	1	1	3	9	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north3_all	80	40111	31572	7718	10046	4146	3866	1694	1376	1168	665	650	357	668	449	383	151	208	95	97	39	59	37	20	26	22	18	10	19	6	5	0	1	7	6	4	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0
0.03	north3_active	80	20882	20217	3513	6355	2244	2269	850	738	670	337	364	162	457	285	268	84	136	48	63	11	45	21	8	15	10	7	6	11	4	2	0	1	3	5	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
0.03	north4_all	80	40157	31708	7817	10011	4140	3907	1667	1416	1168	671	664	343	674	525	382	149	208	111	88	32	65	37	24	32	22	27	7	7	7	10	4	2	6	3	1	0	1	5	2	1	0	0	1	0	0	0	2	0	0	0
0.03	north4_active	80	20897	20340	3556	6306	2224	2307	807	749	674	342	366	149	436	346	258	75	123	58	61	7	47	18	15	16	9	18	3	3	3	2	0	1	2	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north5_all	80	39861	32031	7862	9830	4135	3867	1659	1399	1191	677	713	372	703	508	377	175	208	110	115	36	61	35	24	24	23	30	9	13	11	13	7	2	4	3	3	1	2	6	1	1	0	0	1	0	0	0	2	0	0	0
0.03	north5_active	80	20616	20633	3615	6103	2277	2315	817	729	700	336	395	160	433	331	235	89	123	57	80	7	39	17	14	13	13	21	4	11	4	2	3	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north6_all	80	39485	32096	7833	9836	4147	3925	1688	1374	1202	645	713	391	724	508	345	187	264	114	126	38	62	42	29	36	19	32	10	27	13	11	8	3	2	1	4	1	2	5	1	1	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	20406	20548	3631	5974	2280	2389	833	726	708	294	384	162	476	305	202	103	156	58	82	12	38	27	18	23	11	19	5	26	5	1	4	1	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	39388	31812	7786	9740	4195	3789	1694	1348	1238	667	689	407	683	526	341	194	247	115	132	40	51	39	26	31	22	32	10	31	14	5	6	4	3	1	4	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	20095	20487	3642	5975	2262	2312	842	737	736	312	380	185	417	333	204	110	144	57	84	16	29	27	15	20	11	19	5	25	9	1	6	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	39424	31767	7781	9793	4003	3866	1704	1359	1179	648	703	404	641	507	363	167	246	107	121	46	55	43	26	32	21	26	8	26	15	6	8	3	4	1	3	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	20173	20368	3622	6062	2140	2366	846	733	671	305	428	188	389	296	234	98	139	56	74	17	36	26	15	23	9	10	5	19	11	1	7	2	1	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	39592	31468	7723	9849	4075	3846	1672	1355	1243	644	714	388	604	492	374	143	198	104	102	57	49	33	22	22	24	26	9	14	16	5	11	2	4	1	2	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	20248	19979	3552	6168	2184	2285	838	727	711	304	449	191	364	316	242	77	120	62	59	32	36	19	13	16	9	10	7	6	11	2	9	1	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	39798	31708	7795	9892	4084	3918	1627	1344	1221	622	756	390	594	465	348	139	190	97	102	66	56	35	27	40	27	28	8	8	13	10	9	2	4	1	4	2	0	2	1	1	0	1	0	0	0	1	0	0	0	0
0.03	north10_active	80	20371	20029	3603	6219	2183	2358	805	701	692	292	479	188	349	280	228	73	124	57	66	33	43	24	14	26	10	12	4	5	6	6	7	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	39941	31630	7796	9765	3990	3795	1764	1371	1237	647	727	370	623	525	385	152	240	122	118	52	70	52	27	30	23	33	11	27	14	4	7	4	3	7	9	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	20616	19763	3672	5959	2123	2259	881	679	695	328	405	201	391	357	241	74	143	69	58	25	41	26	12	19	15	21	5	10	12	3	7	1	1	7	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	39702	31959	7746	9891	4007	3738	1745	1357	1287	647	722	387	658	543	350	165	233	121	111	59	70	68	23	41	18	36	12	20	19	3	9	5	3	15	13	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	20472	19946	3588	5986	2173	2190	864	685	721	318	424	196	412	343	222	79	147	63	59	33	40	34	6	28	8	24	5	6	18	1	9	2	2	15	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	39649	31420	7760	9913	4174	3804	1719	1417	1330	657	690	386	668	531	335	161	216	108	132	53	59	70	26	45	18	53	12	21	9	4	11	4	4	10	6	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north13_active	80	20426	19594	3516	6046	2300	2234	872	712	747	300	390	194	415	331	218	90	128	51	87	34	27	29	12	30	9	39	4	5	8	2	7	1	3	9	5	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north14_all	80	39511	31898	7656	9866	4153	3866	1698	1434	1342	665	665	417	703	481	349	152	186	122	115	50	56	54	29	46	16	57	11	10	15	5	10	6	5	10	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north14_active	80	20323	20247	3469	6018	2300	2288	855	734	745	309	386	218	462	276	226	83	116	62	76	30	28	23	13	29	9	37	4	6	13	2	6	2	4	9	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north15_all	80	39394	32033	7614	9894	4281	3884	1715	1423	1398	653	652	403	643	434	346	142	175	119	114	47	75	50	32	42	23	37	9	9	12	9	13	3	3	4	0	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0
