label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	7397	3136	5985	4780	857	686	620	499	363	271	200	175	132	122	357	82	67	185	59	59	38	28	33	29	55	27	45	13	15	10	10	7	31	12	11	9	5	2	2	7	1	5	0	0	8	1	2	1	2	3	0	5	1	0	0	3	0	0	1	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3843	1484	5399	4408	327	242	357	309	178	92	47	70	39	36	319	41	15	156	34	27	19	16	7	12	47	18	38	5	6	4	2	4	30	9	7	3	3	1	1	5	0	5	0	0	8	0	1	1	2	1	0	4	1	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7364	3177	6149	4576	842	691	596	491	359	293	188	181	144	115	346	89	65	171	78	57	25	26	30	25	50	32	47	15	14	9	10	8	51	11	14	10	7	4	1	6	3	4	0	3	1	2	1	1	2	2	0	4	1	0	0	2	2	0	1	5	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	3850	1474	5547	4202	332	254	328	298	177	99	43	79	43	32	309	44	18	149	49	27	12	13	10	10	39	21	41	8	7	5	1	4	49	9	7	3	5	2	0	5	0	4	0	2	1	1	1	1	2	0	0	4	1	0	0	2	1	0	0	5	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7308	3177	6063	4595	829	678	578	484	343	279	194	189	149	123	352	82	70	165	90	55	28	22	35	23	57	25	39	16	16	13	11	10	35	20	14	4	9	3	1	6	3	0	0	3	1	3	1	1	4	1	0	2	3	0	0	0	2	0	0	5	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	3794	1474	5441	4246	334	258	324	297	169	101	40	92	43	31	321	43	21	148	59	32	13	9	7	7	47	17	36	11	6	6	2	4	31	19	10	1	5	2	0	5	0	0	0	2	1	1	1	1	4	0	0	2	3	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7412	3148	5999	4510	851	660	542	504	346	265	207	179	166	132	322	81	72	175	92	59	29	32	33	32	55	29	47	18	21	10	13	11	31	37	14	6	11	2	0	5	5	0	2	3	1	2	1	2	2	1	0	0	3	0	0	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	3899	1394	5380	4163	330	249	285	303	162	89	42	90	40	33	297	45	18	161	64	33	13	11	8	11	46	22	42	13	9	3	2	4	26	37	8	2	5	1	0	5	0	0	2	2	1	1	1	2	2	0	0	0	3	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7409	3027	5947	4596	854	666	578	500	361	250	224	186	165	132	330	86	75	185	75	65	46	37	33	39	51	34	42	12	18	12	13	9	34	38	14	7	7	2	0	2	6	2	2	3	0	1	0	2	2	0	0	1	3	0	0	0	2	7	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	3905	1374	5315	4238	333	261	322	308	173	85	51	92	31	33	308	51	23	165	51	37	23	13	8	18	43	26	36	11	7	3	2	3	28	38	7	4	2	1	0	2	1	0	2	1	0	0	0	2	2	0	0	0	3	0	0	0	1	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
