label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77
0.03	north1_all	80	5915	1997	1047	575	1115	389	346	230	332	157	153	80	129	102	65	54	69	69	33	57	24	29	13	16	42	14	20	28	26	6	6	8	12	13	7	4	7	2	6	1	1	0	5	2	0	1	1	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3570	1096	570	279	684	197	188	122	191	79	82	38	81	62	36	25	48	44	20	40	14	19	4	10	33	5	18	25	9	5	3	6	8	9	3	3	5	0	6	1	1	0	4	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5861	1954	1056	605	1144	397	342	247	329	171	154	91	144	94	61	45	69	74	25	65	27	33	10	15	34	12	29	12	22	9	15	6	16	12	7	4	12	1	6	2	0	2	6	2	1	0	1	2	1	1	1	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3539	1075	585	289	744	194	199	135	200	92	94	47	88	60	34	23	45	48	16	43	12	19	2	8	26	5	22	6	6	7	9	4	14	10	2	3	9	1	6	2	0	2	4	2	1	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5682	1918	1018	591	1088	401	328	212	308	171	169	93	140	93	45	52	61	65	19	68	30	33	12	18	32	10	27	11	9	8	17	7	18	7	6	6	9	1	7	1	0	2	8	2	1	1	1	3	1	1	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3400	1042	543	265	696	200	187	107	193	87	98	52	82	57	24	24	39	41	12	47	13	14	4	11	26	6	19	5	5	7	10	5	15	5	1	3	6	1	7	1	0	2	0	2	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5370	1816	989	592	1015	385	324	229	298	160	151	90	127	79	53	60	59	47	20	67	24	37	14	19	19	13	26	12	14	7	12	4	23	5	6	6	9	1	2	1	1	2	8	0	1	1	1	3	0	1	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3161	951	501	267	647	186	183	114	187	80	79	41	76	51	28	28	36	30	14	47	13	20	4	12	15	6	14	5	8	5	8	2	19	4	1	4	6	1	2	1	0	2	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5181	1741	1004	580	887	363	308	215	279	128	147	91	117	75	60	67	45	37	27	63	29	30	17	16	18	9	29	17	15	8	11	6	12	2	8	4	10	2	2	0	4	1	8	0	0	2	1	2	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3075	895	488	261	535	176	174	106	165	64	81	41	76	48	29	30	27	22	15	42	19	19	6	11	12	4	19	9	10	6	7	3	8	2	4	2	7	1	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5043	1692	1000	592	882	354	316	241	256	117	132	92	121	71	67	58	45	33	28	60	24	17	21	16	13	8	24	21	14	3	4	8	13	4	8	5	4	2	2	0	4	2	1	0	0	1	0	2	0	0	0	2	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2957	856	492	269	537	169	171	129	152	50	78	39	78	47	34	29	25	17	14	42	16	12	9	10	6	3	18	12	11	2	4	4	7	2	4	4	2	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5236	1707	1000	614	921	340	303	236	262	117	139	105	118	81	57	50	53	39	27	58	22	19	21	17	20	7	29	25	6	3	7	7	6	4	5	3	5	3	3	0	4	2	2	2	2	1	0	1	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3113	878	503	281	552	163	171	127	157	46	92	54	74	55	29	26	31	23	11	30	14	11	13	9	13	2	24	14	6	2	5	4	2	2	3	2	3	1	1	0	2	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5480	1772	992	623	1000	330	350	233	277	135	148	104	114	104	52	51	65	49	26	61	22	19	23	19	30	6	26	24	5	2	12	11	7	4	6	3	6	3	2	0	2	2	2	3	2	0	0	1	0	0	0	1	0	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3291	891	511	269	649	153	198	128	167	52	88	55	71	76	29	23	41	26	10	28	13	11	13	11	22	4	22	18	4	0	6	6	2	2	5	2	3	0	0	0	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5760	1809	995	608	1085	351	358	249	270	126	161	105	102	114	60	54	73	62	21	49	18	26	21	19	36	7	24	27	11	6	13	12	4	3	7	0	4	2	1	2	2	1	2	3	2	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
