label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	60795	19472	8075	5134	7043	2131	1586	1698	1275	591	488	286	516	261	142	95	68	122	35	24	29	21	12	29	5	14	7	1	14	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	45050	11770	1882	1921	6071	667	866	1252	981	304	279	113	456	198	34	13	34	110	7	4	15	7	9	27	4	11	2	0	12	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	61117	19710	8193	5115	7107	2094	1649	1706	1291	595	474	284	580	235	139	106	69	110	31	29	24	14	14	31	10	17	4	1	21	4	6	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	45071	11888	1883	1899	6136	646	878	1270	1002	319	254	112	504	169	33	17	34	100	6	7	15	4	13	28	9	13	0	0	19	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	58629	19122	8269	5079	6537	2080	1641	1587	1258	609	472	288	520	211	136	101	58	91	35	32	23	18	12	24	7	17	1	1	31	3	3	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	41890	11077	1936	1794	5521	584	836	1149	963	314	229	114	445	143	35	19	23	76	7	6	14	5	11	22	7	14	0	0	28	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	57550	18707	8213	5060	6618	2077	1619	1556	1180	616	448	287	517	208	133	99	57	75	35	37	15	14	10	17	8	20	1	3	32	2	5	3	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north4_active	80	40577	10511	1940	1780	5566	554	809	1133	864	307	232	96	437	132	34	23	11	59	8	11	8	3	9	12	8	17	0	0	30	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	57638	18437	8217	5041	6814	2092	1615	1576	1221	634	444	300	558	219	127	104	72	82	44	35	24	17	21	21	5	13	2	5	14	0	4	4	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0
0.03	north5_active	80	40754	10351	1943	1808	5760	582	811	1151	912	292	224	100	481	151	28	25	16	62	10	11	13	3	16	15	5	12	0	2	13	0	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	59734	18669	8307	4987	7088	2067	1703	1637	1239	623	480	294	514	229	125	99	85	106	41	34	27	16	22	31	6	5	1	6	15	1	4	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north6_active	80	43415	10739	1953	1840	6013	629	899	1223	944	291	263	99	440	155	27	22	20	84	7	13	17	2	14	25	6	4	0	2	15	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	61975	19400	8312	5030	7507	2067	1693	1688	1241	611	488	295	493	236	124	99	82	116	42	27	26	15	29	34	6	8	1	4	10	4	0	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	46042	11653	1940	1935	6439	667	938	1289	958	298	271	99	434	177	20	20	26	96	9	10	17	2	21	30	6	8	0	2	10	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	62151	19471	8281	5089	7396	2107	1693	1735	1228	588	482	285	449	243	117	92	74	110	39	31	30	11	27	41	6	14	1	3	8	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	46158	11663	1937	1894	6293	643	943	1333	989	288	265	113	398	190	23	21	27	87	11	10	22	3	16	36	6	13	0	1	8	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	61761	19542	8244	5120	7078	2075	1672	1751	1244	580	471	273	460	214	124	93	61	122	36	25	30	14	19	44	7	15	2	4	9	6	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	45680	11691	1969	1931	6053	641	923	1330	990	293	268	116	408	168	22	20	27	102	15	10	19	3	11	41	7	14	0	1	9	6	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	59740	19147	8016	5042	6961	2032	1666	1785	1189	593	437	263	524	219	121	74	59	99	41	23	23	14	11	41	19	18	2	4	1	3	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	44071	11572	1890	1900	5996	644	918	1349	952	287	270	115	468	167	20	16	24	79	14	9	10	2	4	39	16	15	0	1	1	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	64628	20291	8456	5507	7763	2166	1831	1619	1406	600	507	298	627	301	92	100	61	104	40	27	38	24	31	20	17	20	4	3	2	5	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	48214	12280	1993	2111	6684	690	986	1218	1139	304	254	117	547	231	23	28	24	90	4	7	27	6	22	15	13	19	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	65071	20246	8482	5402	7546	2162	1837	1664	1345	627	478	310	549	296	99	86	66	96	42	26	34	22	33	23	17	24	5	3	2	1	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	48583	12247	2000	2014	6478	680	989	1253	1061	314	246	120	487	227	19	22	24	82	8	8	25	9	24	20	15	22	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north13_all	80	62137	19726	8541	5395	7115	2178	1759	1630	1341	608	489	282	516	239	119	102	55	98	39	36	29	12	28	22	7	18	6	4	4	1	2	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north13_active	80	44829	11494	2024	1899	6061	607	906	1199	1042	281	258	105	441	174	20	27	20	84	10	13	18	4	24	20	4	14	1	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north14_all	80	59118	19172	8644	5255	6550	2176	1698	1627	1277	582	442	293	499	220	146	99	60	95	42	41	30	18	18	17	9	17	7	3	7	3	2	1	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	41093	10629	2036	1720	5434	554	817	1159	960	272	216	97	425	154	25	27	24	80	13	17	12	5	16	16	6	13	0	0	6	2	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_all	80	56347	18673	8630	5190	6408	2165	1717	1591	1232	596	425	287	421	221	136	98	58	89	37	43	28	14	14	16	6	5	6	4	14	5	1	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	37719	9751	2029	1590	5214	501	811	1105	905	265	203	86	339	142	23	28	20	74	10	17	11	4	13	13	5	2	0	0	10	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	58264	19167	8699	5198	6853	2188	1778	1616	1319	591	453	299	550	230	122	89	62	90	33	42	28	16	12	16	7	15	7	3	12	5	2	3	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	40134	10411	2079	1682	5659	574	840	1142	978	279	213	99	477	148	23	23	22	78	9	13	10	4	11	14	6	13	1	0	9	5	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	61441	19653	8563	5206	7296	2224	1859	1724	1426	621	446	315	589	273	113	96	60	90	36	47	29	18	16	16	10	17	4	4	13	4	2	2	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	43824	11233	1994	1787	6128	655	975	1256	1113	301	225	119	523	203	20	22	23	77	10	14	19	4	12	13	9	13	2	1	10	4	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	64298	20075	8588	5312	7826	2280	1928	1835	1499	659	459	306	658	291	121	96	77	117	41	48	37	17	17	25	10	18	4	2	3	0	3	3	3	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	47515	11998	1997	1913	6705	715	1105	1365	1189	331	244	129	589	226	25	17	23	107	11	14	27	2	12	22	9	14	2	1	2	0	2	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	64667	20221	8480	5244	7945	2231	1946	1805	1450	621	432	313	598	279	120	100	84	121	44	42	45	17	19	19	17	8	5	3	13	0	3	3	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	48055	12236	1952	1885	6883	677	1147	1343	1160	332	246	118	535	196	26	17	30	107	13	10	36	4	10	16	16	4	2	1	12	0	3	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	62932	19885	8353	5194	7938	2169	1875	1809	1409	630	441	302	581	289	102	91	89	129	47	33	41	17	17	20	19	7	3	3	16	0	4	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2
0.03	north20_active	80	46661	12014	1926	1902	6891	624	1111	1351	1128	336	256	103	512	193	17	18	34	112	11	9	33	3	9	17	18	5	0	2	15	0	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	53251	18250	8595	5100	6129	2180	1643	1466	1071	568	447	283	472	247	116	100	62	79	45	26	22	9	21	4	10	7	5	2	8	6	2	0	0	2	1	1	0	0	3	0	2	1	0	0	0	0	0
0.03	south21_active	80	33581	8812	2529	1461	4800	557	722	978	703	222	187	89	386	157	37	29	23	60	16	4	10	3	17	2	6	3	1	1	8	4	2	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0
0.03	south22_all	80	50263	17378	8649	5106	5480	2200	1580	1362	1019	554	441	311	391	221	120	102	64	75	45	31	22	10	19	6	10	7	2	2	7	6	1	0	0	2	1	1	0	1	0	0	2	1	0	0	0	0	0
0.03	south22_active	80	29270	7498	2729	1251	4077	576	626	842	627	191	169	67	312	128	46	35	16	50	15	5	9	3	10	4	7	2	0	1	6	4	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
0.03	south23_all	80	51439	17636	8738	5122	5414	2188	1563	1379	997	583	443	296	347	213	115	96	63	72	43	30	17	10	19	7	20	11	2	1	6	5	3	0	0	4	0	0	0	1	0	0	2	2	0	0	0	0	0
0.03	south23_active	80	30453	7882	2683	1301	4017	581	603	857	616	207	186	61	274	130	47	30	19	54	11	8	3	3	7	6	14	6	0	0	4	4	3	0	0	3	0	0	0	1	0	0	2	1	0	0	0	0	0
0.03	south24_all	80	56233	18654	8663	5205	6193	2191	1655	1456	1078	625	440	304	374	214	118	98	70	72	33	28	17	14	24	13	16	15	1	2	7	3	2	0	0	3	2	0	0	1	1	0	0	2	0	0	0	1	0
0.03	south24_active	80	36748	9484	2429	1553	4894	633	722	973	756	264	208	81	303	131	35	29	25	53	8	7	5	4	13	12	12	10	0	1	5	1	2	0	0	3	2	0	0	1	0	0	0	1	0	0	0	0	0
0.03	south25_all	80	61355	19817	8677	5320	6981	2262	1713	1632	1213	644	441	288	460	234	123	99	69	91	41	27	23	15	25	17	17	12	2	2	3	1	2	0	0	3	2	0	0	0	1	0	0	1	0	0	0	1	0
0.03	south25_active	80	43528	11195	2196	1797	5849	656	821	1184	886	289	222	104	399	169	27	25	26	69	9	9	14	4	13	16	13	10	0	1	2	0	2	0	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_all	80	64908	20685	8549	5324	7692	2313	1798	1710	1326	644	464	300	516	272	123	107	77	107	38	29	31	13	18	18	15	13	2	4	3	1	0	1	1	2	3	0	0	0	1	0	0	0	0	0	0	1	0
0.03	south26_active	80	48463	12535	1991	1965	6626	720	959	1274	1033	325	262	110	449	203	18	26	29	82	9	10	22	4	14	15	13	12	0	1	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	65013	20741	8578	5371	7760	2332	1851	1811	1331	648	448	320	531	297	127	115	80	118	40	36	42	15	14	23	9	4	6	3	3	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0
0.03	south27_active	80	48561	12672	1955	2018	6721	726	1024	1384	1032	329	255	125	461	233	25	26	25	93	12	14	26	4	9	20	7	4	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0
0.03	south28_all	80	65103	20718	8531	5398	7835	2274	1792	1800	1411	661	468	303	544	300	130	104	82	124	40	31	40	21	10	15	10	6	6	3	3	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0
0.03	south28_active	80	48438	12676	1950	2060	6797	726	977	1366	1127	355	259	105	472	233	26	23	30	99	10	12	25	4	7	11	8	6	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0
0.03	south29_all	80	64496	20476	8524	5425	7782	2302	1740	1827	1367	662	432	293	574	273	117	107	81	121	37	38	39	21	17	22	10	8	4	1	2	0	1	2	0	3	0	1	0	0	0	0	0	1	0	0	2	0	0
0.03	south29_active	80	47967	12568	1921	2065	6694	725	926	1405	1083	355	237	105	497	211	26	21	28	100	8	14	23	5	11	20	7	6	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0
0.03	south30_all	80	62993	19923	8384	5245	7685	2140	1731	1777	1407	687	444	288	597	273	109	94	87	111	43	31	33	21	16	19	14	8	3	3	3	0	0	2	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south30_active	80	46565	12109	1938	1980	6604	650	937	1346	1120	357	241	107	518	206	22	22	36	92	6	12	19	5	11	17	10	5	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	44707	16143	8310	4860	4761	2062	1505	1268	956	501	405	302	361	193	114	88	66	84	42	34	17	14	9	16	8	8	3	4	3	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south31_active	80	24028	6495	2726	1082	3343	494	576	747	574	186	137	61	271	107	48	23	16	52	12	9	8	4	7	13	7	4	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	45016	16264	8326	4860	4790	2087	1498	1300	967	516	392	297	337	173	128	89	56	99	43	24	19	15	10	10	12	15	3	4	2	3	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south32_active	80	24293	6555	2718	1081	3352	498	574	760	579	186	143	64	250	92	56	31	12	60	16	7	9	6	7	4	9	11	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	47301	16653	8200	4964	4979	2140	1516	1386	977	560	392	283	343	183	121	86	70	89	37	19	27	10	14	12	15	10	2	3	3	3	2	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south33_active	80	27102	7104	2594	1248	3625	522	583	859	589	203	150	68	273	96	48	27	25	57	13	6	14	6	6	6	11	9	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	52280	17822	8169	5057	5815	2181	1563	1468	1027	600	425	282	407	204	123	92	74	96	30	22	26	11	12	13	30	10	4	4	2	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	33589	8873	2381	1462	4565	549	668	989	678	249	185	86	341	113	46	27	24	64	13	6	14	7	4	7	24	10	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	56887	18738	8045	5174	6696	2182	1666	1624	1193	615	457	284	493	216	111	96	79	112	34	22	33	13	10	17	31	4	5	4	2	2	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south35_active	80	39816	10506	2156	1718	5551	645	800	1157	895	287	233	98	430	140	37	28	31	87	11	8	25	6	3	10	27	4	2	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south36_all	80	61240	19755	8104	5278	7428	2164	1754	1719	1269	625	467	277	528	230	118	95	83	109	34	28	28	14	9	17	30	9	6	3	2	1	1	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0
