label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	33863	17348	8534	4978	4354	2561	1303	1259	857	841	454	371	325	133	240	95	61	95	51	73	33	37	14	9	7	16	4	1	1	1	1	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	15613	9472	4381	2502	2533	1401	597	686	434	508	240	206	206	56	155	56	31	56	31	41	19	17	9	5	3	11	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	33764	17440	8562	4992	4338	2637	1325	1339	904	847	440	388	319	110	238	103	63	87	66	80	51	32	14	8	8	8	4	2	1	0	1	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	15525	9551	4367	2487	2574	1451	608	759	468	523	226	224	202	42	152	59	33	54	40	47	29	12	8	3	3	5	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33830	17656	8625	4853	4363	2650	1327	1382	926	831	446	354	337	108	231	86	65	75	66	56	42	25	13	4	9	8	5	4	2	2	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15523	9695	4349	2403	2650	1462	599	772	494	520	231	191	211	44	133	47	37	50	36	31	25	11	6	1	5	7	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33728	17559	8595	4858	4333	2680	1334	1397	960	854	438	331	335	114	201	90	60	66	55	56	46	15	13	3	10	13	6	5	3	4	0	1	1	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	15508	9607	4330	2482	2592	1477	609	782	525	540	248	171	219	51	121	52	33	37	29	36	24	10	6	1	7	11	4	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	33790	17647	8594	4828	4363	2682	1300	1420	963	843	436	309	370	125	200	76	59	68	39	44	28	18	7	5	10	14	7	4	4	5	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	15558	9663	4309	2480	2568	1489	609	812	532	541	243	159	245	55	125	42	28	40	20	25	9	12	1	2	8	12	6	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
