label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105
0.03	north6_all	80	3362	1093	1071	357	324	284	176	166	96	97	80	153	72	79	55	87	44	28	53	30	27	24	30	20	21	28	34	14	10	11	15	16	8	14	8	6	2	9	2	2	4	4	5	5	2	2	2	3	4	2	4	1	2	1	2	1	2	2	2	0	0	1	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north6_active	80	2017	546	646	160	163	151	90	91	45	51	35	101	32	37	23	49	30	16	25	16	18	11	20	13	12	17	23	8	3	6	10	5	3	8	6	2	0	6	0	1	1	1	5	1	0	1	0	2	4	2	2	0	1	1	2	1	1	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north7_all	80	3373	1042	1039	365	314	294	204	165	105	119	95	150	72	81	42	88	47	31	61	40	28	32	25	22	22	26	39	16	10	9	16	16	4	11	10	7	7	7	2	2	5	9	5	2	1	1	1	3	4	1	2	1	3	2	3	0	2	0	2	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2017	516	605	168	162	173	100	90	54	63	42	88	30	42	21	53	30	19	33	22	18	15	19	15	12	15	25	10	2	4	13	4	1	6	9	2	3	5	1	1	0	4	4	0	0	0	0	2	4	1	0	0	1	1	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3635	1048	1118	390	336	316	207	165	107	125	111	155	78	106	42	110	54	27	57	37	31	32	27	22	16	31	33	19	12	7	16	14	3	6	11	7	10	8	3	3	5	7	4	2	3	2	1	4	1	2	0	1	2	2	4	0	2	1	2	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2241	513	674	180	185	199	103	87	48	74	58	87	39	64	20	72	34	17	30	18	18	15	18	12	9	15	20	10	4	1	10	4	1	2	4	5	4	4	2	1	1	4	3	1	1	1	0	3	1	1	0	0	0	1	3	0	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4054	1029	1207	410	339	323	214	151	127	152	109	157	84	100	47	119	56	33	47	38	33	35	34	23	14	29	34	23	12	6	11	14	2	5	14	8	10	11	6	2	5	8	1	4	5	2	0	2	2	4	0	1	5	2	4	0	2	6	0	1	0	2	0	0	0	2	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2588	503	730	190	190	203	108	67	61	87	62	82	48	59	23	75	36	18	27	21	17	19	16	11	6	13	24	14	7	1	7	4	1	2	7	5	5	5	2	0	1	6	0	2	2	1	0	2	1	3	0	0	2	1	2	0	1	5	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4339	1093	1369	414	358	327	226	147	125	142	114	186	84	90	49	115	60	31	51	35	32	30	34	22	14	32	35	21	16	6	9	11	4	3	15	8	9	10	4	2	3	8	0	5	5	2	3	5	2	4	0	2	5	1	2	0	0	6	0	1	0	1	0	0	0	1	0	1	1	0	2	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2793	579	844	195	218	205	123	58	54	83	64	107	53	53	23	70	36	18	30	18	17	17	12	9	5	21	21	11	11	1	4	3	1	1	7	6	5	4	1	0	1	4	0	2	2	1	1	3	1	3	0	0	4	0	0	0	0	5	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4448	1184	1412	426	408	347	214	137	108	139	107	199	76	101	54	113	64	37	48	31	34	28	24	19	30	30	44	17	14	15	19	15	13	15	7	7	12	12	7	5	3	6	2	3	0	1	3	2	5	3	2	6	2	3	2	1	0	7	1	0	2	0	0	0	1	1	0	2	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	2793	626	865	208	211	206	111	68	45	78	54	114	49	67	24	63	36	18	19	18	12	15	12	5	19	14	32	11	5	6	15	9	3	12	4	6	6	9	2	4	0	3	0	0	0	1	1	1	4	1	1	6	0	1	1	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	4372	1175	1431	442	420	341	227	140	124	139	103	201	74	92	46	121	65	27	45	33	27	29	25	18	25	31	38	25	15	14	22	12	12	13	7	2	11	21	14	6	4	7	2	0	0	2	3	2	4	3	3	10	18	9	1	1	0	7	1	0	3	1	1	1	3	3	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	2754	620	913	212	220	206	109	63	59	79	52	111	47	64	20	75	39	15	22	18	7	14	16	4	14	15	28	19	7	7	15	6	2	7	5	1	4	16	5	4	1	4	0	0	0	1	1	2	4	1	3	6	16	0	1	0	0	6	0	0	1	1	0	0	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	4321	1165	1419	420	407	357	219	141	121	142	100	204	86	84	50	118	65	31	42	28	29	26	29	18	29	35	37	20	15	15	22	9	9	10	7	1	11	20	12	9	5	6	3	3	2	2	2	3	4	2	2	5	20	9	1	1	0	6	0	0	3	1	1	1	5	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2782	601	909	214	225	199	108	65	57	79	54	117	58	61	22	76	42	16	27	12	17	13	21	6	14	18	21	14	7	5	14	3	3	4	6	1	5	15	4	3	2	5	0	1	1	0	1	3	4	0	2	0	20	0	1	0	0	6	0	0	2	1	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	4363	1114	1392	414	390	379	201	136	117	143	95	203	97	87	60	136	74	30	37	26	30	25	35	16	32	37	32	22	12	13	11	8	10	15	10	2	14	15	10	10	6	4	3	4	3	3	2	3	1	3	3	7	26	11	2	0	0	0	0	0	2	1	1	1	4	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2817	581	889	214	207	215	100	61	57	77	49	118	66	56	33	91	44	11	23	8	17	14	23	10	18	22	12	15	5	3	3	3	4	7	9	1	9	11	4	3	2	3	0	2	1	0	0	3	1	0	3	0	26	3	1	0	0	0	0	0	2	1	0	0	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4364	1069	1457	417	399	381	199	140	113	142	96	212	100	88	63	123	64	31	45	25	32	33	37	19	36	28	27	21	8	10	9	7	10	7	12	2	12	12	13	8	5	4	2	4	3	3	2	2	1	3	4	3	10	13	2	0	1	3	0	0	1	0	1	1	4	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2835	576	934	212	207	224	104	69	51	66	48	125	68	57	33	74	33	12	26	9	19	21	22	11	20	17	10	14	3	3	1	3	4	3	8	0	10	8	6	2	1	3	0	2	1	0	1	2	1	1	4	0	10	5	1	0	0	3	0	0	1	0	1	0	4	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4126	1048	1347	388	388	383	196	140	120	135	101	172	99	85	63	130	57	30	49	23	38	31	32	21	31	19	23	19	12	9	8	4	9	10	8	2	9	1	8	9	5	4	1	3	2	3	2	1	0	5	5	4	6	5	2	0	1	4	0	0	2	0	1	0	0	2	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2630	559	875	195	197	218	103	66	46	66	55	110	65	51	35	80	27	10	21	7	22	20	16	10	16	13	8	8	5	2	1	2	3	6	5	0	7	1	5	4	1	2	0	1	1	0	1	1	0	2	4	2	6	5	1	0	0	4	0	0	2	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3801	1021	1255	396	383	346	203	141	124	130	99	163	97	74	63	113	47	32	54	23	34	22	28	21	18	20	23	20	14	9	11	4	6	9	7	4	5	2	9	3	5	5	2	2	2	2	5	1	2	3	4	2	8	2	0	2	1	4	1	0	1	0	1	1	0	1	2	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	2405	551	829	196	183	192	94	61	50	65	56	107	57	42	37	62	23	14	25	10	18	16	18	7	8	12	11	9	7	3	5	2	1	6	4	2	3	2	5	2	1	2	2	1	2	0	1	1	1	2	3	2	8	2	0	0	0	4	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	3726	1044	1130	393	349	341	211	137	130	122	96	172	88	70	52	100	50	35	54	25	28	21	26	24	11	18	32	24	18	18	15	6	7	6	4	4	4	2	1	4	2	3	2	1	2	2	3	2	2	5	1	2	8	3	1	2	0	4	1	0	1	0	2	2	0	3	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	2325	586	734	192	162	177	95	54	59	63	56	116	54	45	31	64	28	17	27	13	15	14	14	9	3	10	16	12	9	10	8	1	2	4	2	2	3	1	0	2	1	1	2	0	2	1	0	2	1	2	0	2	8	0	0	0	0	4	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	3882	1055	1099	379	359	332	197	125	124	135	88	192	88	77	46	117	57	42	58	27	26	16	25	28	14	16	31	33	13	19	12	9	6	8	3	7	8	5	2	5	1	3	4	1	3	2	3	2	5	6	0	1	8	7	1	2	0	1	2	0	1	0	1	2	0	2	2	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	2423	591	685	165	181	199	86	51	55	70	47	129	40	48	26	73	37	19	27	16	12	11	15	14	7	8	19	19	7	11	9	1	3	5	2	4	5	3	0	2	0	2	2	0	3	1	0	2	4	2	0	1	8	4	0	0	0	1	1	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	4248	1108	1211	376	367	358	216	125	128	156	98	178	82	84	50	109	60	44	52	39	34	22	31	32	24	22	42	36	11	22	13	8	7	11	4	9	10	6	2	4	0	5	5	2	3	1	1	5	4	6	1	5	10	8	1	2	1	0	1	0	0	3	1	2	0	2	2	0	0	0	1	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	2673	619	749	167	194	209	99	46	61	87	57	113	39	56	28	72	43	20	28	23	19	12	19	19	15	10	29	21	4	13	11	1	3	6	2	4	7	2	0	1	0	3	1	0	2	1	0	3	3	3	0	5	10	5	0	2	0	0	1	0	0	2	1	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3354	952	646	485	246	254	287	172	119	113	213	111	57	114	43	101	48	46	103	29	25	18	35	42	28	22	33	26	16	23	3	3	19	6	10	7	7	11	7	11	10	7	8	4	6	4	1	8	1	0	4	1	3	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	2002	462	336	266	117	117	182	94	52	41	137	60	24	71	14	65	31	25	71	11	10	12	20	33	16	13	20	14	7	14	1	2	11	3	7	5	5	6	4	10	3	3	5	2	6	4	1	7	1	0	4	0	2	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3430	976	655	466	238	234	304	168	125	113	191	119	51	103	51	98	66	51	98	30	28	24	27	35	22	21	34	31	20	22	5	4	19	6	13	7	10	6	7	13	7	5	8	4	6	5	1	8	1	2	2	1	4	3	0	0	11	0	4	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	2059	463	335	242	121	112	192	88	52	42	130	69	24	63	19	61	36	30	67	11	12	15	19	24	17	11	24	22	9	13	3	2	13	2	9	4	6	3	3	11	3	0	6	2	6	5	1	7	1	2	2	0	2	1	0	0	10	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	3369	966	662	471	254	253	345	160	124	107	191	129	50	113	55	101	82	45	131	27	27	23	24	45	25	18	30	26	16	20	8	4	8	9	8	5	9	5	8	10	6	5	8	7	6	5	0	11	2	3	3	1	4	2	0	0	13	0	4	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	2025	481	339	250	117	123	219	79	59	47	140	72	19	71	28	58	50	29	80	10	15	13	18	26	20	9	22	21	6	14	5	2	6	3	6	3	5	2	3	9	5	0	8	6	6	5	0	10	2	3	3	0	2	0	0	0	11	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3281	924	693	459	247	262	371	169	117	106	220	137	53	115	59	110	92	49	142	26	27	25	25	36	28	15	28	26	13	16	8	11	11	13	8	3	8	8	7	9	9	5	11	7	6	7	0	4	3	3	2	1	7	1	2	0	5	0	5	1	1	2	0	1	2	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	2018	465	355	244	111	128	227	88	54	47	150	80	25	71	33	63	49	30	92	13	17	14	19	18	20	6	18	18	5	12	5	7	8	2	4	2	5	4	1	7	6	0	9	5	6	5	0	3	3	3	2	0	6	0	1	0	4	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	3208	931	687	470	259	252	394	168	114	96	221	136	58	141	55	118	86	44	142	27	25	29	26	38	32	14	37	21	8	17	10	12	12	13	10	2	9	6	10	3	8	2	12	7	4	13	4	3	6	3	1	2	12	2	2	0	4	0	1	0	1	2	1	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	1952	463	359	262	114	130	248	92	53	47	152	82	24	88	29	69	44	25	89	11	18	14	17	21	23	7	15	14	2	14	6	8	8	3	6	1	7	3	3	1	5	0	9	6	4	3	4	3	4	3	1	0	9	1	1	0	3	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	3149	943	656	444	257	259	373	160	120	106	193	155	59	143	54	131	88	52	98	25	33	26	28	33	32	16	42	21	7	16	9	16	10	15	12	2	8	5	7	5	10	2	18	5	3	14	4	0	8	1	2	1	14	1	2	0	2	0	2	0	3	1	1	0	0	0	0	0	1	3	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	1943	470	348	242	108	143	235	84	59	46	126	94	28	92	30	84	38	23	70	8	22	14	17	19	21	7	18	9	5	13	4	10	6	6	9	2	6	4	3	0	6	0	9	4	3	2	4	0	6	1	2	0	11	1	1	0	2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	3220	993	593	465	250	237	376	151	108	112	189	154	65	137	51	133	92	52	93	30	35	31	38	35	33	19	33	23	8	19	10	11	10	11	13	4	7	6	8	6	7	2	21	5	1	13	4	0	7	0	1	2	9	1	0	1	2	2	3	0	2	0	1	0	3	0	1	0	1	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	1922	493	301	238	124	125	241	71	56	59	128	99	28	90	24	97	41	22	59	12	23	16	23	20	16	11	13	9	5	15	3	5	6	7	10	4	5	5	4	0	5	0	6	5	1	3	4	0	5	0	1	0	6	1	0	1	2	0	2	0	2	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	3268	997	597	489	259	242	366	146	121	121	176	148	64	136	62	114	91	55	86	29	34	31	48	37	46	22	34	22	14	24	10	10	10	15	12	5	4	8	5	5	9	2	19	6	3	11	1	0	4	2	1	2	3	0	0	1	0	2	3	0	3	0	0	0	7	1	1	0	0	3	1	0	7	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south28_active	80	1982	484	310	253	128	124	234	67	68	67	120	96	28	83	33	89	54	22	54	14	19	22	25	24	27	11	15	8	7	18	1	5	7	10	10	5	1	6	3	0	8	1	4	6	1	2	1	0	3	0	1	0	3	0	0	1	0	0	2	0	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south29_all	80	3319	1018	647	499	257	258	370	159	119	112	188	107	70	112	59	115	98	49	81	31	38	27	54	28	41	21	39	24	15	21	12	6	8	13	12	6	5	7	5	3	5	1	16	5	5	5	1	2	5	2	0	1	4	0	0	2	0	2	9	2	3	0	0	1	7	3	1	0	0	2	1	0	7	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
