label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	17905	4915	4226	1381	926	599	417	311	328	118	223	127	72	90	33	23	23	19	13	10	8	2	3	1	1	4	3	2	0	1	0	0	0	1	0	0	0	3	0	0	0
0.03	north1_active	80	11061	2742	2644	712	493	310	216	166	189	58	129	80	39	54	20	15	9	11	5	5	3	0	2	1	0	1	2	0	0	1	0	0	0	1	0	0	0	3	0	0	0
0.03	north2_all	80	17959	4904	4312	1429	939	611	417	302	298	133	261	123	57	109	31	17	25	13	11	12	7	2	2	2	2	5	4	2	0	0	0	0	0	1	0	1	0	2	0	0	0
0.03	north2_active	80	11121	2713	2692	741	509	305	233	161	165	68	149	79	29	66	18	9	12	6	3	6	4	0	2	1	0	1	2	0	0	0	0	0	0	1	0	1	0	2	0	0	0
0.03	north3_all	80	17286	4769	4196	1391	900	639	429	290	290	142	255	97	63	119	30	21	26	11	11	10	5	2	4	2	3	5	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north3_active	80	10599	2636	2583	709	490	339	233	144	169	63	148	62	32	83	17	11	14	6	4	5	4	0	2	0	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north4_all	80	16465	4670	4076	1374	861	591	426	287	297	139	252	117	62	104	30	29	30	13	6	10	4	0	3	2	3	2	2	1	1	0	0	0	1	0	0	1	0	1	0	0	0
0.03	north4_active	80	10011	2540	2520	674	466	316	238	154	173	71	142	75	32	73	14	15	15	6	3	6	2	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north5_all	80	15624	4497	3908	1333	801	576	401	281	288	120	233	108	61	83	24	29	26	10	5	16	5	0	5	2	2	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north5_active	80	9334	2422	2415	640	405	314	208	156	157	54	135	62	32	61	13	14	14	6	3	10	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	15561	4528	3830	1275	835	595	375	314	304	114	243	111	53	67	21	36	17	13	5	19	5	1	5	1	2	1	0	0	4	1	1	0	1	0	0	0	0	1	0	0	0
0.03	north6_active	80	9307	2408	2383	601	414	327	187	175	158	55	156	62	25	35	13	19	8	6	3	12	1	1	1	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	16060	4675	4077	1295	861	604	387	323	298	113	236	127	54	74	20	34	9	19	9	17	5	1	4	6	2	1	0	0	3	2	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	9704	2517	2599	628	434	321	185	179	155	59	136	73	29	42	14	17	6	9	4	10	2	1	2	4	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	16955	4753	4298	1345	923	637	378	346	295	132	241	124	52	85	25	42	10	16	15	7	3	5	2	6	2	1	1	0	3	2	1	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	10443	2598	2724	674	478	345	189	187	168	64	156	67	31	44	16	22	7	7	7	4	2	2	2	4	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	17571	4883	4488	1383	938	646	417	321	304	128	203	139	65	113	30	35	10	17	14	3	2	5	4	5	3	0	1	0	2	2	0	0	2	0	1	0	0	0	0	0	0
0.03	north9_active	80	10985	2699	2870	745	494	346	216	170	176	57	127	86	34	75	17	19	7	7	7	1	2	2	3	3	1	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north10_all	80	17923	4885	4566	1395	936	645	401	328	317	142	214	124	60	115	28	29	15	12	15	3	6	6	5	2	1	1	1	1	2	0	0	0	2	0	1	0	0	0	0	0	0
0.03	north10_active	80	11291	2695	2886	765	502	344	221	177	187	65	137	73	33	85	14	16	9	4	6	2	4	3	3	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north11_all	80	17997	4889	4260	1410	900	598	419	299	321	137	221	111	51	81	31	35	13	10	10	4	6	8	4	5	2	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	1
