label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	15361	3823	4258	1179	781	602	335	251	310	175	179	73	178	37	23	31	26	66	16	9	3	2	10	2	2	1	3	1	1	1	1	0	0	0	1	0	0	0
0.03	north1_active	80	11456	1416	3527	371	195	340	99	74	236	122	147	36	163	16	7	12	16	63	8	0	1	1	8	0	1	0	3	1	1	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	15568	3758	4442	1168	778	588	343	241	293	161	183	68	218	42	19	26	29	58	17	5	6	1	7	1	3	2	3	1	1	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	11660	1345	3720	348	196	336	100	70	223	116	152	34	203	17	4	14	18	55	11	0	4	0	6	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15675	3790	4369	1175	788	570	331	250	302	173	205	69	217	41	23	23	24	58	17	7	19	1	8	4	4	1	3	1	1	0	0	0	0	0	1	1	0	0
0.03	north3_active	80	11810	1341	3652	369	207	322	102	76	229	120	175	35	202	16	2	14	17	55	12	0	15	0	7	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	15481	3809	4378	1151	796	585	351	266	319	180	220	63	235	38	23	25	26	56	19	7	28	0	8	5	4	1	2	1	3	0	0	0	0	0	1	1	0	0
0.03	north4_active	80	11614	1397	3626	385	216	331	102	79	248	123	182	33	217	13	4	15	14	51	14	0	23	0	6	1	1	0	1	0	3	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	15434	3811	4378	1128	804	612	363	264	316	179	197	56	183	34	23	26	24	52	10	10	24	3	8	5	4	1	4	0	11	1	0	0	0	1	1	1	0	0
0.03	north5_active	80	11582	1424	3633	399	222	343	95	79	257	125	160	30	168	11	8	13	13	48	7	1	20	2	6	1	2	1	3	0	11	0	0	0	0	1	0	1	0	0
0.03	north6_all	80	15395	3800	4513	1147	769	618	385	258	333	185	182	64	183	33	20	24	24	60	11	8	21	4	8	3	1	1	4	0	11	1	0	1	0	1	1	1	0	0
0.03	north6_active	80	11471	1468	3768	405	210	335	96	67	265	129	145	38	168	12	9	9	14	52	7	1	18	3	6	1	1	1	3	0	11	0	0	0	0	1	0	1	0	0
0.03	north7_all	80	15464	3727	4598	1128	766	604	380	242	323	181	181	77	164	37	22	26	22	34	6	7	17	8	0	1	2	1	3	1	8	1	0	1	0	1	0	0	0	0
0.03	north7_active	80	11583	1395	3849	393	197	330	104	64	253	123	144	43	150	20	8	10	15	27	4	1	17	3	0	0	1	1	2	0	8	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	15212	3780	4500	1160	766	610	376	246	299	190	176	81	142	38	24	26	27	43	7	4	11	7	2	1	2	0	4	1	0	0	0	2	0	7	0	0	0	0
0.03	north8_active	80	11222	1367	3746	413	178	323	107	60	234	117	132	45	133	20	7	8	21	38	5	1	10	2	1	0	1	0	3	0	0	0	0	1	0	7	0	0	0	0
0.03	north9_all	80	15124	3773	4386	1144	755	585	334	244	306	194	167	71	147	38	22	20	26	44	8	4	5	5	5	0	2	0	2	2	0	0	0	1	1	7	0	0	0	0
0.03	north9_active	80	11116	1354	3593	397	181	307	107	61	227	119	120	34	139	20	3	7	19	42	5	1	4	1	4	0	1	0	1	0	0	0	0	1	0	7	0	0	0	0
0.03	north10_all	80	15217	3797	4352	1178	749	612	300	239	332	197	169	59	169	34	20	18	22	40	7	3	9	2	7	0	1	0	4	1	0	2	1	1	1	7	0	0	0	0
0.03	north10_active	80	11260	1382	3570	411	185	324	89	57	254	124	125	32	161	16	2	4	16	39	4	1	8	1	5	0	1	0	3	0	0	1	0	1	0	7	0	0	0	0
0.03	north11_all	80	15479	3743	4569	1182	728	550	356	253	325	216	163	80	175	41	29	26	19	37	18	7	22	7	3	3	4	2	1	5	3	1	0	0	0	1	0	0	0	0
0.03	north11_active	80	11542	1399	3758	372	178	304	106	74	262	148	131	43	159	17	12	9	14	35	8	3	18	6	3	0	4	1	1	4	3	0	0	0	0	1	0	0	0	0
0.03	north12_all	80	15493	3740	4564	1204	746	542	362	247	315	193	156	80	187	43	24	23	21	32	13	5	27	8	3	3	4	2	2	5	3	1	0	0	2	2	0	0	0	0
0.03	north12_active	80	11538	1375	3802	408	189	296	110	73	252	138	120	47	170	19	8	6	11	31	8	1	22	5	3	0	4	1	1	4	3	0	0	0	2	2	0	0	0	0
0.03	north13_all	80	15463	3702	4525	1228	756	528	336	248	308	183	174	67	181	40	25	25	23	36	14	4	18	8	5	1	3	2	5	2	2	1	0	0	2	2	0	0	0	0
0.03	north13_active	80	11510	1352	3756	409	193	282	97	72	244	127	138	43	165	21	7	7	13	35	10	0	13	4	4	0	3	1	4	1	2	0	0	0	2	2	0	0	0	0
0.03	north14_all	80	15579	3832	4381	1199	780	589	339	264	284	183	189	61	203	40	23	25	20	38	12	6	21	7	8	1	1	0	7	2	1	0	0	0	2	3	0	2	0	0
0.03	north14_active	80	11586	1433	3664	407	194	325	96	82	218	124	149	43	186	23	4	5	11	38	8	1	20	3	7	0	1	0	5	2	0	0	0	0	2	3	0	2	0	0
0.03	north15_all	80	15726	3824	4197	1208	748	595	350	250	277	203	192	63	196	35	35	23	20	45	14	7	19	5	8	2	1	0	5	1	4	0	0	0	0	3	0	2	0	0
0.03	north15_active	80	11784	1461	3484	410	171	326	98	78	204	136	151	43	178	18	8	7	14	44	9	1	18	3	5	0	0	0	4	1	3	0	0	0	0	3	0	2	0	0
0.03	north16_all	80	15144	3853	4025	1199	784	620	347	238	266	204	177	67	189	30	43	22	17	58	13	7	15	4	7	3	1	1	2	1	4	0	0	0	0	1	0	2	0	0
0.03	north16_active	80	11020	1447	3288	398	166	334	96	74	192	131	135	44	176	13	11	7	12	56	7	1	14	3	5	0	0	1	1	1	3	0	0	0	0	1	0	2	0	0
0.03	north17_all	80	14606	3729	3976	1185	757	620	371	231	249	189	174	79	205	32	50	26	15	70	12	10	19	2	5	3	3	1	1	0	3	0	0	0	0	1	0	2	0	1
0.03	north17_active	80	10330	1311	3152	388	166	331	94	64	173	123	137	43	193	12	14	7	10	67	5	2	18	2	3	0	0	1	0	0	3	0	0	0	0	1	0	2	0	1
0.03	north18_all	80	14471	3701	4061	1185	761	572	340	228	265	205	175	80	181	34	43	29	11	67	14	10	10	4	7	3	2	1	1	0	3	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	10256	1309	3241	369	190	301	99	59	187	133	135	42	164	13	12	6	9	65	3	1	9	4	7	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1
0.03	north19_all	80	14615	3752	4238	1180	766	552	318	224	283	214	158	83	202	45	38	27	11	55	16	9	11	3	10	0	3	3	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north19_active	80	10589	1327	3452	376	186	304	87	57	203	152	114	43	179	21	10	4	7	54	5	2	9	2	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north20_all	80	15274	3772	4436	1213	784	589	321	235	303	214	165	90	199	42	31	31	12	45	13	9	19	6	10	0	3	3	1	2	0	0	0	0	0	0	1	0	0	1
0.03	north20_active	80	11366	1374	3679	409	202	336	88	71	229	150	120	47	173	17	5	6	7	45	4	3	18	4	10	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
0.03	south21_all	80	12294	3688	3300	1142	717	582	330	229	243	153	105	68	109	41	33	18	16	35	12	9	5	4	7	2	2	0	5	0	3	1	0	0	0	0	0	0	0	0
0.03	south21_active	80	7800	1075	2417	289	193	249	69	50	165	80	65	23	92	13	4	6	9	33	4	1	4	3	5	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	12316	3673	3204	1149	734	562	297	245	240	150	133	72	131	46	32	19	13	27	14	5	6	6	12	1	3	1	4	0	3	1	0	0	0	0	0	0	0	0
0.03	south22_active	80	7838	1075	2355	287	177	244	64	50	162	75	85	30	112	16	3	5	7	25	8	1	5	4	9	1	2	0	3	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	12415	3699	3302	1187	739	533	296	239	255	162	141	76	128	45	31	18	14	30	12	7	11	4	12	0	3	2	2	1	1	1	0	0	0	0	0	0	0	0
0.03	south23_active	80	8050	1120	2457	321	182	240	64	56	183	83	95	36	111	19	4	6	6	28	6	1	7	2	8	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	13171	3695	3606	1187	764	571	302	240	268	162	166	74	144	44	31	21	14	38	14	10	14	6	10	0	2	2	3	2	1	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	8964	1240	2818	345	176	282	77	58	192	95	126	44	129	21	4	12	7	37	7	1	11	2	7	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	14224	3713	3936	1192	744	583	318	243	286	169	170	77	181	49	29	18	21	67	12	9	16	5	5	1	1	1	2	2	1	1	0	1	0	0	0	0	0	0
0.03	south25_active	80	10110	1355	3145	364	160	301	82	62	212	110	133	51	165	27	5	11	11	66	6	0	12	2	2	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
0.03	south26_all	80	15212	3711	4370	1207	764	640	323	246	282	157	172	70	179	48	33	30	20	72	10	7	26	4	4	1	2	1	2	1	1	1	0	2	0	0	0	0	0	0
0.03	south26_active	80	11112	1450	3618	375	166	362	96	68	207	110	139	50	167	26	5	16	11	72	5	0	24	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	south27_all	80	15288	3733	4507	1231	771	622	341	249	277	170	180	75	203	44	33	27	16	63	9	4	25	3	1	2	1	1	2	0	5	2	0	2	0	0	0	0	0	0
0.03	south27_active	80	11192	1471	3776	399	179	352	100	63	206	122	148	49	186	25	5	11	10	63	5	0	23	2	0	0	0	0	1	0	5	2	0	0	0	0	0	0	0	0
0.03	south28_all	80	15263	3727	4695	1246	774	619	342	253	281	171	192	80	191	42	36	31	19	28	8	4	20	2	2	2	1	1	1	0	5	1	0	2	0	0	0	0	0	0
0.03	south28_active	80	11195	1433	3989	419	206	345	93	70	216	114	152	50	175	23	8	11	18	27	3	0	18	1	2	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
0.03	south29_all	80	15006	3791	4698	1248	766	615	363	240	292	164	197	81	181	38	27	26	19	28	10	5	5	4	2	2	2	0	0	1	8	2	0	2	0	0	0	0	0	0
0.03	south29_active	80	11067	1453	3970	402	222	343	97	59	212	103	157	48	163	19	7	11	18	26	3	0	5	3	2	0	2	0	0	1	7	1	0	0	0	0	0	0	0	0
0.03	south30_all	80	15035	3756	4539	1244	735	596	347	233	295	160	202	95	216	43	25	23	24	35	15	5	4	4	3	1	3	0	1	1	8	3	0	0	0	0	0	0	0	0
0.03	south30_active	80	11155	1423	3801	402	219	324	90	59	222	103	164	57	197	19	7	9	23	32	3	0	4	3	3	0	3	0	1	1	7	1	0	0	0	0	0	0	0	0
0.03	south31_all	80	12356	3715	3095	1197	737	529	349	240	253	137	143	54	141	39	21	20	25	32	15	11	0	5	18	1	1	3	0	0	3	1	0	0	0	0	0	0	1	0
0.03	south31_active	80	7839	1064	2266	332	193	235	81	52	168	88	99	26	125	14	6	6	16	27	8	2	0	2	16	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
0.03	south32_all	80	12264	3661	3073	1182	725	567	344	258	262	138	140	61	143	41	18	19	19	33	14	7	6	5	4	2	0	5	0	1	3	1	0	0	0	0	1	0	0	0
0.03	south32_active	80	7779	1054	2251	324	184	248	76	56	172	86	96	21	128	16	5	6	14	28	7	2	6	2	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0
0.03	south33_all	80	12682	3643	3281	1159	734	564	335	252	242	141	139	72	158	44	23	24	16	44	17	5	8	2	3	1	0	5	2	2	0	0	0	0	0	0	1	0	0	0
0.03	south33_active	80	8251	1072	2429	312	186	260	78	54	163	87	95	30	138	15	8	9	9	36	9	1	8	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	13658	3689	3580	1153	706	601	341	227	254	154	163	73	151	38	25	29	16	45	12	7	11	6	1	1	4	4	2	2	2	0	0	0	0	0	2	0	0	0
0.03	south34_active	80	9350	1213	2771	330	171	312	87	49	184	101	117	34	135	16	9	11	9	38	7	1	10	3	0	1	2	1	2	0	1	0	0	0	0	0	1	0	0	0
0.03	south35_all	80	14777	3731	3816	1167	735	598	336	236	270	160	166	74	139	37	31	31	24	37	9	6	9	6	2	0	7	4	3	2	2	0	0	0	1	0	1	0	0	0
0.03	south35_active	80	10539	1295	3056	358	170	332	85	65	203	109	118	39	117	19	11	13	15	32	5	0	7	3	2	0	4	2	3	0	1	0	0	0	0	0	1	0	0	0
0.03	south36_all	80	15587	3729	4142	1194	762	608	334	258	301	173	169	71	166	39	30	19	21	43	6	6	10	9	2	0	7	2	2	1	3	0	0	0	1	0	1	0	0	0
0.03	south36_active	80	11555	1379	3410	383	171	357	95	78	235	110	119	33	143	24	9	8	15	38	4	0	8	6	2	0	4	2	1	0	2	0	0	0	0	0	1	0	0	0
0.03	south37_all	80	15507	3762	4254	1190	762	598	341	262	286	158	200	70	162	36	25	14	27	30	6	5	9	7	5	0	6	2	2	1	16	0	0	0	1	0	0	0	0	0
0.03	south37_active	80	11513	1404	3502	381	159	354	95	75	222	100	148	33	137	23	4	5	24	28	3	0	7	3	5	0	4	2	1	1	16	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	15350	3784	4403	1182	753	588	335	260	310	149	180	74	197	36	30	10	26	32	7	5	15	7	7	0	3	1	1	1	15	0	0	0	1	0	0	0	0	0
