label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134
0.03	north14_active	80	1663	369	372	1727	328	1084	1926	403	76	131	409	40	244	251	113	258	81	136	18	30	21	19	19	194	74	26	59	9	5	11	3	18	6	62	13	17	80	56	4	30	7	3	34	11	4	8	7	0	4	4	6	43	3	2	4	2	3	0	14	3	1	0	3	1	0	0	3	2	1	0	3	1	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3660	1571	1000	2048	615	1281	2050	523	232	227	454	161	320	262	159	310	110	147	66	59	52	47	39	167	86	49	78	27	21	28	14	33	21	70	12	20	88	41	14	40	7	5	18	15	8	7	9	3	6	5	9	50	6	2	7	5	2	3	18	3	3	1	8	4	1	0	5	3	2	2	3	1	0	1	3	0	2	1	1	1	1	0	1	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north15_active	80	1638	373	350	1770	313	1134	1937	419	83	128	395	39	266	210	98	266	72	117	21	30	19	20	13	152	76	22	59	10	7	15	3	17	4	63	7	17	83	35	7	36	4	3	13	10	3	4	9	0	1	5	6	50	4	1	5	2	1	0	18	3	2	0	8	2	0	0	5	3	1	0	3	1	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3620	1572	1005	2063	585	1308	2045	523	236	241	458	168	333	299	156	319	102	138	72	61	58	50	38	194	91	36	89	28	24	30	18	33	20	61	10	25	88	60	13	26	7	6	16	13	10	8	9	5	7	6	12	49	4	4	8	4	4	3	37	4	4	1	7	5	0	1	8	1	1	2	1	1	2	0	2	0	4	1	1	1	0	0	1	2	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north16_active	80	1614	382	359	1800	291	1157	1939	419	74	137	394	42	281	248	99	273	64	107	14	27	23	22	12	183	80	18	68	14	9	20	4	20	4	55	4	21	84	54	5	24	3	4	8	7	6	4	8	1	2	6	9	49	2	2	6	2	2	1	36	4	3	0	7	3	0	0	8	1	0	0	1	1	2	0	2	0	3	1	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3611	1516	976	2099	590	1324	1949	504	225	234	451	157	328	315	155	305	108	162	79	55	53	52	46	227	87	30	83	32	31	29	20	26	18	65	10	28	64	67	14	19	10	12	12	10	9	7	16	5	7	13	10	38	6	6	4	3	3	2	41	5	4	1	15	6	1	1	8	2	1	0	4	0	2	0	2	1	2	2	0	1	0	0	2	2	0	0	0	0	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north17_active	80	1596	375	349	1833	297	1167	1850	400	69	139	373	49	277	273	91	261	61	123	17	23	19	22	13	219	71	16	66	12	10	20	6	17	2	60	5	23	59	62	4	16	4	9	5	3	5	3	9	1	3	13	7	38	4	2	4	2	2	1	40	4	3	0	15	5	0	0	8	2	0	0	4	0	2	0	2	1	1	1	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	3672	1528	998	2039	585	1263	1803	495	226	229	443	155	308	324	162	331	111	169	78	68	54	63	52	286	82	24	67	35	28	22	21	26	14	53	14	26	76	83	16	16	12	12	11	12	9	9	17	4	7	13	13	17	7	6	6	4	3	3	46	3	4	0	15	5	1	2	3	1	0	0	3	3	2	10	1	2	2	1	0	0	0	0	2	2	0	1	0	0	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north18_active	80	1626	372	362	1783	289	1107	1709	378	66	146	370	47	255	282	96	286	63	137	13	26	20	28	18	282	60	15	52	12	9	12	4	19	1	49	9	20	71	78	5	13	7	8	5	4	5	3	9	2	3	12	11	17	3	2	6	3	2	1	45	1	2	0	15	5	0	0	3	1	0	0	3	3	2	10	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	3664	1569	1003	2074	649	1196	1882	514	239	234	412	150	317	332	184	285	124	179	59	61	52	63	50	286	70	28	67	32	32	24	22	28	12	61	19	24	58	55	15	15	13	13	16	10	8	10	14	4	9	19	17	31	7	6	3	8	2	1	16	7	2	1	14	4	2	1	5	1	1	0	3	4	1	10	0	2	2	1	0	1	0	0	2	2	4	1	0	0	1	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
