label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115
0.03	north1_all	80	1732	710	366	951	326	177	145	114	132	96	71	104	47	103	49	38	73	38	44	36	56	19	39	24	9	25	10	10	19	30	26	12	16	7	13	6	6	10	16	6	15	0	0	5	2	1	2	3	3	0	0	6	7	1	1	1	4	3	3	0	0	3	0	2	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north1_active	80	945	359	167	593	184	74	64	58	81	48	34	62	23	61	18	20	42	17	31	22	31	9	29	12	4	14	5	5	8	19	16	6	6	5	7	2	3	4	10	5	11	0	0	1	0	0	2	1	1	0	0	3	2	0	0	0	3	2	0	0	0	3	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north2_all	80	1695	681	346	954	358	177	147	114	146	90	89	113	47	127	50	39	67	32	41	28	48	20	37	18	15	18	15	8	18	38	27	10	22	5	12	8	5	13	15	4	27	1	1	4	2	1	1	3	2	1	0	6	3	2	0	1	3	2	7	1	0	3	1	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
0.03	north2_active	80	966	341	158	594	205	81	76	56	83	45	40	64	24	71	23	22	34	15	27	18	25	11	26	8	9	13	7	4	10	22	15	7	6	4	5	3	2	5	11	3	16	0	1	2	0	0	1	2	1	1	0	3	2	1	0	0	2	1	4	0	0	3	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
0.03	north3_all	80	1692	669	335	910	360	170	145	95	147	103	84	104	46	120	58	34	69	27	40	25	60	19	41	21	18	30	14	7	18	39	23	5	18	6	8	11	7	11	18	2	21	1	4	6	3	2	2	3	2	1	2	4	3	1	0	1	1	2	7	1	0	3	2	2	3	0	0	0	1	0	1	0	0	1	0	5	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	959	334	152	570	218	76	78	44	86	60	37	55	24	63	27	18	35	13	24	17	32	12	28	12	12	21	8	6	10	23	14	3	5	5	2	6	3	5	15	1	11	0	2	4	1	0	2	1	1	1	2	2	3	1	0	0	0	1	5	0	0	3	1	2	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	1698	687	353	944	367	169	140	94	140	105	90	124	42	110	58	35	65	24	34	25	60	19	34	32	18	29	20	5	16	54	29	8	13	6	6	12	8	10	20	2	23	4	4	5	2	2	2	3	3	3	3	2	4	1	0	0	1	0	5	1	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	4	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	964	349	159	620	227	78	71	38	81	57	38	77	22	61	28	17	31	13	20	20	30	12	20	18	13	21	12	4	9	32	21	3	6	5	1	6	4	5	18	2	11	1	2	4	1	0	2	1	2	1	2	0	4	1	0	0	1	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1736	698	392	996	354	168	142	104	115	98	89	126	39	99	58	36	55	24	39	29	70	16	35	33	14	32	22	10	14	41	28	9	14	7	6	12	7	13	18	2	21	7	4	6	2	3	6	2	3	2	5	3	3	1	0	0	1	0	6	1	0	0	3	3	1	2	0	0	0	1	0	1	0	0	0	5	0	3	0	0	0	0	4	1	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	959	359	180	669	224	76	70	40	63	53	37	77	22	64	29	15	25	10	22	19	42	11	20	21	10	21	11	7	8	24	21	4	6	4	2	5	4	7	14	1	8	2	1	5	1	1	5	1	2	0	2	1	3	1	0	0	1	0	6	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	5	0	0	0	0	0	0	4	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
