label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149
0.03	north1_all	80	6789	7002	2027	1897	1144	1566	713	589	1719	486	563	442	605	278	283	250	241	234	201	159	181	103	112	100	92	69	183	81	76	48	105	64	44	54	47	60	30	42	43	29	26	37	29	24	26	25	32	11	26	22	15	23	9	16	10	10	7	26	14	6	7	6	6	22	13	6	11	7	2	3	3	7	2	8	2	17	2	5	3	2	2	0	1	9	1	1	7	6	2	2	0	2	2	0	0	1	3	0	0	1	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1588	5838	665	1192	333	1227	263	180	1560	113	401	287	497	109	116	159	153	139	106	39	114	38	35	27	21	17	160	51	32	17	83	43	15	20	26	40	10	25	25	9	12	30	20	12	9	9	24	5	16	4	11	22	0	11	5	4	1	23	12	3	5	1	4	21	9	4	10	6	2	2	0	3	1	7	1	17	2	2	1	1	0	0	1	8	1	0	6	5	1	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6883	7194	2057	1890	1166	1625	769	576	1738	488	550	454	609	266	274	258	234	229	197	143	176	108	102	95	87	69	169	81	75	47	111	64	44	54	53	71	36	41	42	29	21	37	30	22	26	27	36	15	27	20	17	27	11	18	10	8	6	21	10	4	13	4	3	21	12	4	9	12	5	3	2	8	2	6	3	14	1	4	3	3	2	1	1	4	1	2	6	5	3	1	0	1	1	0	0	1	3	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1631	5991	688	1144	338	1286	293	178	1587	108	382	298	508	110	113	165	156	131	102	39	105	27	33	23	18	21	146	49	30	17	88	44	13	18	30	42	15	22	23	5	12	28	23	11	9	10	28	4	20	2	12	24	1	14	4	4	1	18	8	2	8	1	2	19	7	2	8	9	2	2	0	3	1	5	2	13	1	2	2	2	0	0	1	4	1	1	6	4	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6814	7191	2038	1884	1128	1684	786	565	1676	477	538	464	645	278	252	281	211	237	192	142	153	122	107	105	84	65	161	89	63	46	112	64	37	46	54	65	34	38	37	22	19	37	27	29	24	24	38	12	25	16	16	31	14	17	12	5	4	14	11	5	11	5	7	14	8	6	7	7	6	2	3	7	1	6	5	16	2	3	3	4	2	3	3	5	1	3	6	7	3	1	0	1	1	0	1	1	0	3	1	1	0	1	1	0	3	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1598	5976	703	1134	341	1334	288	186	1503	107	357	314	537	131	107	178	144	141	104	41	93	34	38	28	18	22	142	54	27	17	94	41	12	15	34	43	14	12	19	6	12	27	20	16	8	9	31	3	18	3	10	28	1	15	4	2	1	12	11	2	5	0	4	13	4	4	5	4	1	2	0	3	0	5	2	15	2	1	2	2	0	0	2	5	1	1	5	6	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6806	7002	2067	1881	1165	1708	785	563	1557	479	497	481	643	260	242	268	230	242	206	130	165	134	102	100	91	75	163	93	66	53	117	54	50	44	57	65	28	36	34	24	24	44	29	28	21	22	34	17	23	13	15	24	14	19	12	7	4	24	8	6	11	4	7	17	11	9	8	8	8	6	3	8	4	4	5	5	6	1	2	2	0	4	3	2	1	3	4	7	1	1	0	0	1	0	1	1	0	3	3	2	0	1	0	1	2	1	0	0	1	1	0	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1643	5769	700	1138	347	1329	285	183	1392	116	338	315	522	116	98	171	153	142	108	37	89	39	28	29	23	23	140	52	26	21	100	35	18	11	38	42	12	14	14	5	11	29	20	18	8	8	29	5	13	3	8	21	2	15	3	3	0	20	7	2	7	0	5	15	8	5	5	4	2	4	0	5	0	3	2	3	5	1	1	1	0	0	2	2	1	1	3	6	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6780	6713	2014	1800	1170	1711	748	594	1411	464	520	456	578	270	236	267	234	240	196	142	168	134	104	95	87	80	178	89	64	53	103	58	45	44	50	51	33	29	36	25	28	29	22	29	18	19	38	15	23	12	17	23	12	12	14	15	5	21	7	6	6	9	9	15	10	7	10	6	5	6	3	5	6	6	6	3	6	1	1	4	6	3	2	1	0	4	7	7	1	1	0	0	0	1	1	1	2	3	3	2	0	2	0	2	2	1	0	0	2	1	2	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	1716	5405	670	1064	339	1294	267	182	1242	121	366	294	457	124	87	160	138	135	105	45	92	42	29	20	19	22	146	50	22	17	84	30	17	10	33	33	16	11	15	3	14	18	14	18	5	5	34	4	13	5	10	20	3	9	6	7	1	17	6	2	3	2	5	14	7	3	5	3	1	4	0	3	0	5	2	2	5	1	1	3	6	0	1	1	0	2	6	7	0	0	0	0	0	1	0	0	2	1	3	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
