label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120
0.03	north1_all	80	56615	12308	7165	4828	8990	7175	6146	5285	1453	1390	1126	946	971	919	682	561	881	452	972	343	267	284	228	518	186	498	336	136	181	174	80	76	106	109	58	87	79	95	86	104	25	25	39	25	25	17	19	39	24	24	14	13	46	35	9	10	7	7	19	7	3	5	23	4	1	5	6	0	13	0	2	0	1	1	1	1	0	2	0	1	1	2	1	1	0	1	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
0.03	north1_active	80	48742	5143	2119	1034	7838	6209	5480	4713	467	625	230	298	610	519	348	277	708	189	869	171	97	153	55	443	104	451	295	36	131	129	21	18	64	71	26	57	61	86	64	92	4	6	11	6	4	8	13	34	20	14	5	3	42	33	1	4	2	6	17	3	1	1	22	1	1	1	6	0	13	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
0.03	north2_all	80	56849	12298	7210	4920	8770	7164	6318	5267	1474	1325	1119	952	1008	903	673	576	862	472	981	327	282	288	221	532	183	496	365	134	153	149	80	83	97	108	64	64	74	75	69	114	25	21	33	23	24	19	26	23	30	26	6	15	25	21	7	8	9	12	19	7	3	1	14	5	3	6	7	0	13	0	1	0	1	4	1	1	2	2	0	1	6	1	0	1	0	2	0	8	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	48986	5196	2108	1000	7627	6184	5611	4701	457	595	243	293	636	502	325	287	710	192	876	165	91	148	60	462	104	450	326	34	109	101	16	18	53	67	20	33	61	64	49	102	4	6	10	7	4	9	17	20	24	16	3	4	14	19	0	3	4	9	17	4	2	0	13	2	3	2	7	0	13	0	1	0	0	4	0	1	0	1	0	0	5	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	56526	12168	7090	4970	9011	7024	6272	5192	1531	1292	1116	945	1018	898	705	558	873	443	941	328	285	272	192	526	183	496	395	121	139	168	85	96	89	100	51	72	64	78	73	103	29	24	36	27	28	19	25	28	38	25	9	17	20	11	6	8	7	10	3	6	3	1	19	4	2	4	6	0	9	1	3	1	1	3	1	1	2	1	0	0	6	2	1	1	0	1	0	8	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0
0.03	north3_active	80	48658	5114	2045	1052	7893	6071	5531	4609	468	580	250	286	649	503	326	266	721	188	836	151	85	145	59	468	99	447	362	29	97	122	13	24	51	68	16	40	46	68	58	89	8	5	13	10	5	6	17	24	33	16	4	4	9	10	0	3	5	7	2	3	2	0	17	2	2	1	6	0	9	1	1	1	0	3	0	1	0	0	0	0	5	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0
0.03	north4_all	80	56484	12130	7138	4986	9122	6824	6231	5009	1553	1313	1084	921	1035	886	661	590	804	444	964	339	282	280	196	561	192	475	403	118	136	177	90	100	92	93	62	66	69	93	66	74	30	25	32	23	25	14	22	39	52	20	7	15	31	11	7	9	6	11	11	7	3	2	8	1	7	4	6	0	2	1	4	2	1	3	5	2	2	0	0	0	5	1	1	0	2	1	0	8	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
0.03	north4_active	80	48540	5100	2079	1063	8010	5914	5488	4418	508	589	238	267	635	514	313	287	647	183	861	153	86	159	58	505	113	426	372	22	94	135	13	25	56	66	19	34	52	84	49	62	8	5	11	9	8	4	15	32	47	15	3	5	21	8	0	3	4	8	11	2	1	0	7	1	7	2	6	0	2	1	1	1	0	3	4	0	0	0	0	0	5	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
0.03	north5_all	80	56603	12060	7091	4971	9085	6733	5980	5017	1573	1328	1124	881	1024	835	654	626	825	426	963	318	268	289	206	548	200	476	420	122	154	224	105	94	72	90	56	64	67	93	49	56	35	21	30	25	21	14	20	47	58	19	7	13	58	16	4	7	8	7	15	7	2	4	12	2	9	3	17	0	0	2	3	2	0	6	4	2	2	0	0	6	0	2	1	0	2	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0
0.03	north5_active	80	48653	5076	2091	1091	7961	5843	5255	4401	513	605	237	266	631	470	335	335	648	183	858	135	78	162	58	484	120	415	382	25	112	190	21	23	53	75	19	36	54	86	33	49	11	5	9	9	6	6	14	40	53	13	2	4	45	12	0	3	6	6	12	2	1	2	10	2	9	2	17	0	0	2	0	1	0	6	4	0	1	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
