label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114
0.03	north1_all	80	40675	12100	9211	5424	3412	2615	2332	1708	2073	2598	1788	1032	1493	674	526	1198	466	330	312	433	299	318	455	233	279	157	252	114	184	85	147	109	87	87	159	75	45	55	80	37	64	38	27	41	33	30	24	27	14	14	23	14	14	16	9	3	19	8	10	4	2	0	15	9	2	2	2	1	1	11	1	1	1	4	0	0	2	0	2	0	1	0	4	0	9	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	24605	6286	5326	2838	1603	1291	1161	833	1186	1641	1048	562	883	313	251	758	213	169	154	237	142	171	260	121	166	87	136	67	99	37	86	74	39	49	111	46	17	34	35	26	31	21	13	30	20	18	16	20	4	9	20	5	9	11	5	1	7	2	5	3	1	0	13	2	0	1	1	1	0	10	0	1	0	3	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	40786	12062	9239	5460	3359	2564	2321	1712	2083	2594	1799	1071	1459	708	516	1173	450	349	300	445	277	350	437	239	249	158	247	122	174	93	142	108	83	97	175	56	45	47	98	57	63	29	30	45	47	34	21	35	11	19	25	13	15	14	8	2	18	7	9	5	3	0	22	10	1	0	3	4	2	11	1	1	0	4	4	0	2	0	1	2	1	0	5	0	9	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	24569	6320	5338	2895	1558	1231	1129	848	1193	1612	1075	575	858	337	245	736	204	183	159	252	133	197	253	126	143	80	139	65	85	42	86	64	35	54	126	34	18	32	61	40	32	10	14	29	29	17	14	26	5	13	19	3	9	11	6	0	5	2	4	4	2	0	16	3	0	0	2	2	1	10	0	1	0	4	0	0	2	0	0	1	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	40715	12192	9123	5452	3320	2678	2320	1716	1975	2714	1882	1090	1437	697	488	1279	458	355	298	452	278	340	437	237	253	158	247	129	164	94	129	120	87	102	179	53	47	49	88	77	61	33	22	41	62	33	22	35	11	17	27	10	18	11	8	5	20	15	7	6	3	3	23	3	1	1	2	6	1	7	1	2	0	5	6	0	2	0	2	2	1	0	2	0	9	1	3	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	24654	6392	5200	2876	1575	1294	1086	829	1137	1689	1117	574	827	337	218	801	223	177	165	261	141	200	225	116	157	73	133	66	83	44	70	64	36	59	129	32	17	35	63	53	41	15	8	22	35	18	15	23	4	12	20	4	12	10	6	2	3	8	1	4	2	0	17	2	0	1	1	4	1	6	0	1	0	4	1	0	2	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	40712	12187	9029	5447	3316	2629	2209	1663	1956	2759	1816	1051	1434	677	487	1291	476	380	295	435	288	358	436	239	241	167	228	138	160	92	155	126	73	98	123	52	42	45	89	75	44	40	21	33	54	25	14	30	17	17	14	10	14	13	10	7	11	18	6	6	3	6	15	2	1	2	3	7	1	4	1	1	0	5	7	0	2	0	2	2	3	0	1	0	0	1	2	2	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	24554	6407	5098	2850	1564	1280	1021	798	1124	1673	1058	556	861	328	212	826	256	190	157	265	154	222	259	129	146	73	127	74	90	34	100	60	28	58	74	25	16	30	68	47	30	16	8	16	28	9	5	19	7	12	8	5	9	12	7	4	1	11	1	3	2	2	9	2	0	1	2	5	1	3	0	0	0	4	1	0	2	0	2	1	2	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	40794	12139	9006	5331	3361	2744	2235	1690	1998	2882	1716	1009	1521	666	498	1268	489	373	309	434	311	359	461	227	251	168	242	130	186	88	162	124	84	109	105	71	40	53	78	70	54	41	20	30	43	25	12	15	25	17	23	13	17	11	11	9	10	17	11	6	5	7	11	3	3	4	3	6	2	4	1	2	0	9	6	0	1	1	2	1	3	1	1	0	0	2	1	1	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	24616	6299	5053	2731	1631	1382	1039	785	1124	1775	1020	525	925	326	221	810	251	177	151	253	158	232	283	123	139	72	127	68	104	30	110	56	37	76	58	35	16	36	60	42	37	21	9	11	19	11	3	6	14	12	17	6	11	9	10	4	3	12	5	3	2	2	7	1	0	3	2	5	1	2	0	1	0	4	1	0	1	1	2	1	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	41328	12050	9081	5409	3392	2784	2265	1640	1977	2737	1715	1029	1500	670	488	1301	504	359	327	431	299	358	468	225	252	164	226	128	178	88	172	125	76	118	109	77	27	54	76	48	76	40	24	24	34	23	16	17	26	18	19	13	16	17	12	11	10	10	13	4	7	5	10	3	3	5	1	6	2	5	0	3	0	8	3	0	2	1	1	0	2	1	1	2	0	2	1	1	2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	24974	6224	5100	2792	1610	1380	1098	778	1129	1673	1037	563	949	355	221	848	248	165	155	254	159	225	305	128	130	82	131	62	117	34	125	56	33	93	66	40	13	32	49	26	50	22	10	14	18	10	7	9	16	13	14	6	10	15	11	7	6	6	5	1	2	2	5	1	0	3	1	5	1	3	0	1	0	4	1	0	2	1	1	0	2	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	41423	11965	9091	5344	3399	2732	2263	1643	1942	2579	1683	1060	1477	668	490	1306	502	360	325	404	267	361	494	225	261	150	212	131	186	87	168	107	87	134	115	79	26	59	97	55	76	42	25	21	33	21	13	19	32	20	20	12	15	20	19	7	16	8	15	2	7	11	10	5	3	7	3	3	3	3	0	2	0	9	1	2	4	2	0	0	2	2	1	2	0	1	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	25099	6145	5082	2752	1614	1350	1133	813	1072	1581	1017	616	909	356	229	846	240	171	157	222	139	225	324	128	141	76	120	54	121	34	127	48	43	103	68	34	15	36	69	29	47	24	11	11	23	10	8	9	23	15	14	3	10	17	13	3	11	5	11	1	3	8	4	2	0	3	1	2	2	1	0	1	0	5	0	2	2	2	0	0	2	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	41308	11995	8996	5391	3414	2689	2296	1651	1887	2578	1661	1051	1479	661	478	1220	482	328	308	414	261	332	485	233	279	148	222	128	178	87	146	106	83	121	128	75	37	47	116	51	63	39	24	20	37	19	17	20	24	19	30	11	15	15	15	6	18	7	30	3	5	10	6	4	0	5	2	1	2	3	0	3	0	1	0	4	3	4	0	1	0	3	2	3	1	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	25114	6202	4952	2866	1627	1334	1178	831	1053	1595	1005	583	907	353	219	777	233	154	153	238	122	192	302	138	158	85	131	57	106	40	102	45	45	82	78	41	19	27	89	27	38	20	11	10	26	8	11	9	17	14	22	4	7	12	9	4	13	4	24	1	2	8	3	2	0	1	0	0	2	1	0	1	0	1	0	4	1	4	0	0	0	1	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	41230	12186	9086	5489	3452	2645	2264	1641	1844	2543	1645	1031	1457	649	498	1150	457	348	321	465	258	296	506	216	288	138	247	137	156	108	147	96	93	103	144	63	48	57	113	52	76	35	22	27	32	22	26	18	27	18	37	12	14	12	13	5	18	5	28	3	2	15	8	5	0	3	2	0	1	6	0	2	2	1	1	4	3	4	0	2	0	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	25010	6425	5072	2958	1641	1318	1136	820	1032	1630	997	561	901	340	224	724	221	155	159	269	118	150	301	127	161	77	156	71	98	51	100	40	52	58	88	30	23	35	81	28	47	18	14	18	23	7	17	8	21	13	19	4	5	9	7	2	12	3	23	1	1	13	3	2	0	0	0	0	1	5	0	1	2	1	0	4	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	41096	12240	8992	5463	3409	2640	2259	1680	1947	2534	1685	1017	1414	677	503	1229	457	324	306	498	288	320	555	207	308	139	267	151	151	121	175	101	88	89	151	63	56	54	109	66	67	37	17	46	31	25	25	22	23	17	45	11	14	16	11	7	12	6	23	4	4	14	11	3	0	3	3	0	1	6	0	3	2	0	1	9	2	3	1	2	0	2	1	1	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	24907	6434	5050	2947	1611	1320	1147	826	1127	1643	1011	543	878	364	229	799	225	129	154	293	141	179	337	130	180	73	165	85	87	63	129	47	48	38	99	39	29	30	82	43	47	22	11	32	20	11	15	10	18	11	19	4	5	10	7	3	4	4	19	1	1	13	6	1	0	1	1	0	1	5	0	1	2	0	0	9	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	40824	11719	9030	5319	3361	2623	2222	1654	1978	2349	1685	1015	1327	676	472	1240	448	366	309	473	254	347	456	209	251	155	253	105	132	100	167	100	65	116	160	62	32	58	68	70	66	48	25	38	29	25	20	22	27	18	24	14	4	20	7	8	14	5	10	7	5	8	7	2	3	4	1	2	5	3	4	0	1	3	3	6	3	0	4	0	8	0	0	0	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	24532	6110	5076	2771	1646	1292	1139	738	1146	1420	1070	541	753	337	208	773	258	173	142	292	140	210	299	127	148	83	147	51	72	49	103	46	39	66	109	34	15	30	40	44	45	21	14	23	18	10	12	17	21	8	8	8	4	4	5	5	7	1	4	5	3	1	4	2	1	2	0	2	3	3	4	0	1	3	0	6	2	0	2	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	38137	11275	8612	5123	3243	2563	2122	1664	1846	2194	1611	947	1261	622	489	1135	413	336	298	470	238	335	410	210	240	153	246	104	148	97	147	92	75	127	144	53	47	56	71	54	56	42	27	28	21	24	19	24	27	18	29	9	14	18	8	5	23	4	9	6	4	3	7	3	4	5	2	2	4	0	3	1	1	2	3	7	2	0	4	0	8	0	0	1	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	22587	5777	4761	2675	1497	1226	1041	727	1064	1287	992	483	737	305	223	726	224	153	134	300	131	202	272	126	140	77	141	48	82	48	81	44	45	75	104	32	21	30	39	34	37	22	11	12	14	8	10	14	19	9	15	5	10	5	5	2	15	0	2	5	2	1	5	2	1	2	0	1	3	0	2	0	1	2	0	6	2	0	2	0	7	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	35564	10807	8178	4904	3134	2521	1983	1643	1741	2087	1458	928	1176	597	516	961	412	340	278	424	256	311	344	210	257	150	196	109	154	95	126	89	74	110	111	57	44	43	73	70	55	40	26	28	27	24	20	21	31	16	30	8	21	22	9	5	18	5	8	5	4	5	6	2	6	4	2	2	1	0	3	2	1	2	4	3	2	0	4	0	3	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	20790	5391	4500	2545	1472	1184	978	724	985	1247	850	444	711	284	237	592	212	161	127	276	126	183	231	121	151	72	102	50	91	49	72	38	33	68	73	29	20	24	44	49	32	23	12	11	16	10	13	9	20	10	11	6	14	6	5	2	16	1	2	4	2	1	5	1	2	2	0	1	0	0	2	1	1	2	0	2	2	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	35465	10849	8193	4936	3120	2505	1973	1658	1826	2078	1492	913	1146	578	546	895	402	320	280	400	268	290	311	216	230	135	185	118	116	97	131	82	74	97	84	49	51	46	92	60	41	34	24	18	31	15	15	19	27	17	33	10	23	12	8	4	18	5	7	1	3	7	3	4	5	5	4	2	1	1	4	3	2	2	1	3	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	20667	5409	4509	2519	1470	1178	940	747	1040	1255	866	456	715	279	255	534	192	145	129	241	123	175	209	119	151	56	105	51	70	52	73	39	32	68	50	27	21	23	63	42	24	25	12	8	21	9	7	6	17	10	19	7	15	6	4	2	13	2	1	0	1	5	1	2	2	3	0	0	0	0	1	2	1	2	0	2	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	37630	11217	8407	5042	3229	2531	2032	1639	1935	2185	1608	1001	1218	606	535	1020	418	326	287	422	284	356	341	196	249	132	205	123	106	104	150	90	75	97	92	54	37	48	91	70	40	34	19	30	45	14	18	17	30	12	27	12	18	37	10	6	14	6	29	2	2	11	4	5	5	2	2	1	1	1	4	3	2	2	2	1	1	4	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	22375	5733	4700	2598	1527	1188	1008	803	1128	1324	976	520	747	290	240	614	214	150	129	249	130	207	195	96	157	61	121	63	67	53	84	44	32	72	52	27	17	24	61	54	25	23	13	16	26	7	11	4	22	4	18	7	11	26	4	3	9	2	20	1	0	9	2	3	2	2	0	0	1	0	2	2	0	2	0	1	1	3	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	40519	11845	8890	5262	3268	2618	2145	1712	2073	2351	1742	1030	1331	649	517	1204	441	345	299	459	273	370	413	221	267	147	231	130	112	104	161	106	69	111	109	58	36	52	101	77	50	31	24	45	61	16	20	18	29	8	25	14	19	43	11	6	6	6	30	3	3	9	4	4	2	2	3	2	1	1	5	1	2	2	3	2	2	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	24554	6289	5011	2757	1596	1244	1057	836	1189	1452	1072	551	803	311	244	724	226	168	147	268	129	218	239	111	180	69	124	64	68	52	76	55	36	73	68	35	14	26	72	55	28	20	13	28	29	8	11	10	22	3	15	8	16	30	4	3	2	3	22	1	0	9	2	2	2	1	0	0	1	0	2	1	0	2	2	1	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	41094	11918	9021	5322	3257	2634	2149	1781	2044	2465	1844	1053	1310	663	498	1223	478	353	325	472	276	385	433	210	271	143	222	128	125	98	177	113	81	147	119	69	41	46	97	74	56	22	29	46	69	19	24	19	24	10	14	12	17	44	13	5	8	10	33	3	5	9	8	5	3	2	2	2	1	3	3	1	2	2	3	3	3	3	1	1	0	0	1	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	24909	6388	5089	2826	1601	1270	1056	866	1145	1548	1124	562	793	304	231	770	240	175	159	290	140	222	250	102	175	73	121	65	76	48	78	60	53	95	78	46	12	27	75	51	22	12	18	31	34	6	14	10	14	2	9	6	13	31	5	3	2	8	25	2	2	9	5	3	1	1	1	0	1	2	2	1	0	1	2	2	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
