label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118
0.03	north1_all	80	32719	9394	16063	5658	4831	2753	2921	2176	1344	2743	929	962	1065	541	1131	576	723	457	300	399	530	233	189	411	289	124	133	152	202	140	88	124	51	133	40	67	68	38	41	30	34	15	85	17	21	35	7	27	27	16	21	14	11	3	14	15	13	3	17	13	7	8	5	8	10	2	2	1	3	4	0	3	2	3	0	18	0	0	1	1	1	8	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18599	4176	10361	3046	2601	1353	1630	1150	613	1725	448	502	619	247	697	302	413	260	134	224	350	119	103	266	179	52	59	90	141	70	47	80	22	83	21	31	36	21	27	19	18	6	56	5	16	20	2	14	18	9	17	5	6	1	5	11	11	2	2	8	3	5	4	4	7	1	1	1	3	2	0	1	2	3	0	17	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	32664	9464	15635	5548	4893	2758	2877	2222	1331	2805	984	970	1020	566	1185	549	689	471	303	373	540	231	194	410	275	135	124	149	193	120	86	129	59	125	43	80	62	45	42	27	35	20	77	21	29	47	11	32	25	16	22	13	11	5	11	9	10	3	16	13	8	3	4	6	9	2	1	2	0	3	0	2	0	3	0	18	0	0	1	1	1	8	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	18601	4236	9957	2956	2697	1353	1587	1205	591	1739	493	530	590	252	713	297	408	271	144	204	369	114	103	255	173	60	65	88	133	66	49	76	22	75	23	40	35	23	23	18	17	10	39	10	20	32	4	18	12	7	16	4	7	1	2	6	8	2	2	8	4	1	3	3	6	1	1	2	0	1	0	0	0	3	0	17	0	0	1	0	1	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	32857	9474	15256	5570	4833	2774	2789	2333	1326	2910	1013	934	1036	565	1228	587	713	466	314	409	542	253	196	434	311	147	145	161	168	117	80	137	62	130	50	74	60	53	35	29	32	23	75	19	30	53	16	29	30	16	23	11	11	13	24	14	21	1	18	10	10	3	2	2	2	2	2	4	0	3	0	4	2	3	0	0	2	0	1	0	10	0	0	0	0	0	1	2	1	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	18650	4261	9688	2948	2699	1353	1545	1315	601	1822	502	488	589	265	752	322	429	262	144	232	374	129	110	240	196	66	80	94	104	71	44	85	26	81	20	47	31	31	18	17	15	14	42	10	19	38	8	18	13	7	17	2	7	8	11	11	10	1	5	6	4	2	1	0	0	2	1	4	0	1	0	1	2	3	0	0	2	0	1	0	4	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	32628	9580	15449	5472	4658	2820	2776	2274	1317	3067	1008	908	976	574	1242	581	729	480	325	416	604	261	186	474	342	148	162	157	174	116	72	163	57	131	53	80	59	46	37	28	32	28	63	18	26	44	16	23	40	18	19	8	11	19	25	22	26	5	22	7	8	3	4	3	2	3	3	4	0	3	0	4	2	0	3	2	2	1	0	0	10	0	0	0	0	0	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	18706	4281	9903	2935	2617	1364	1568	1276	618	1998	480	464	544	273	729	324	454	275	143	241	409	134	93	275	213	61	92	93	114	82	40	109	24	76	20	50	24	25	15	16	15	20	27	10	16	30	9	15	20	9	12	2	6	14	17	15	15	4	11	6	3	3	3	0	1	2	1	4	0	2	0	1	2	0	0	2	2	0	0	0	4	0	0	0	0	0	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32734	9606	15747	5416	4570	2850	2747	2426	1326	3089	992	904	1042	555	1204	554	729	499	317	410	657	262	189	425	319	164	172	179	182	107	75	172	58	160	53	77	49	47	36	32	31	34	49	14	26	41	17	15	37	17	29	10	10	20	38	24	33	9	17	3	7	6	3	4	5	3	3	3	0	2	0	3	4	2	3	2	2	2	0	0	10	0	0	1	0	1	0	3	1	1	4	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north5_active	80	18714	4309	10069	2903	2541	1398	1546	1375	632	1977	465	463	620	246	729	297	453	287	149	235	437	124	92	258	203	74	91	105	110	63	41	122	32	108	20	50	13	25	20	21	14	24	25	8	14	23	12	9	20	9	20	3	5	14	29	17	22	6	13	2	2	5	2	3	5	2	1	3	0	1	0	1	4	0	0	2	2	0	0	0	4	0	0	0	0	0	0	2	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north6_all	80	31989	9643	15590	5266	4492	2761	2727	2383	1283	2882	969	897	1027	569	1156	551	737	495	302	374	634	226	185	399	314	153	158	175	189	124	72	179	58	147	56	66	53	41	35	39	25	40	44	13	22	35	16	10	29	15	29	12	9	19	28	40	28	10	15	1	1	10	4	4	5	4	1	1	1	4	0	2	4	3	3	2	0	3	0	0	5	0	0	1	0	1	0	1	0	1	1	2	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north6_active	80	18064	4291	9939	2830	2469	1331	1536	1308	607	1855	448	445	619	253	710	312	453	287	138	216	408	103	80	265	202	69	85	99	98	73	34	119	35	102	24	34	17	20	17	23	11	26	25	8	13	17	11	4	14	6	20	4	6	15	24	15	18	6	12	0	1	4	2	3	5	2	0	1	1	3	0	1	4	1	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north7_all	80	31739	9692	15259	5277	4573	2682	2702	2261	1294	2692	920	930	1028	553	1068	543	686	487	300	401	608	211	165	348	273	135	141	179	180	131	74	175	66	132	54	55	40	44	32	41	34	31	42	15	23	26	21	12	22	13	25	14	8	11	24	41	22	8	5	2	2	12	4	6	4	7	1	2	1	2	1	1	2	3	3	1	0	3	0	1	1	0	0	1	0	2	2	1	0	1	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north7_active	80	17849	4346	9721	2800	2473	1310	1466	1209	581	1758	463	453	618	241	647	295	408	282	141	232	381	89	64	216	162	65	74	107	93	78	34	102	34	95	22	30	18	23	15	22	13	18	29	10	11	7	14	5	11	4	13	3	5	8	21	16	17	2	2	0	2	6	2	5	4	5	0	0	1	2	1	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
