label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115
0.03	north1_all	80	32077	20372	7254	6494	4475	2953	2832	3027	1504	2068	2374	1675	791	781	600	1183	501	389	360	423	280	249	224	186	167	178	350	257	110	112	94	93	79	89	53	44	49	64	57	76	51	36	21	28	29	27	25	16	28	19	13	13	30	19	9	8	14	7	8	10	11	15	4	4	8	3	2	13	5	1	1	7	5	4	1	13	1	2	2	1	0	0	1	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0
0.03	north1_active	80	19830	15876	2517	4187	2590	1169	1566	2254	431	1550	1981	1321	264	379	269	971	163	117	146	274	66	99	53	47	52	96	306	207	43	51	16	32	27	55	25	13	12	43	38	62	24	17	4	8	13	15	21	9	17	8	4	10	27	13	2	4	6	3	4	4	10	15	1	3	3	1	2	10	2	1	1	7	0	4	0	13	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0
0.03	north2_all	80	33122	21409	7382	6836	4724	3031	2926	3114	1546	2114	2384	1751	764	771	620	1192	472	397	383	472	269	253	223	212	156	203	372	296	108	124	96	92	77	86	53	38	51	61	53	59	55	33	19	28	27	23	27	16	34	13	14	16	30	26	6	8	15	7	12	14	10	11	5	3	6	3	2	10	3	3	1	8	4	3	1	13	1	2	2	2	2	0	1	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	7	1	0	0	0	0	0	0
0.03	north2_active	80	21379	17075	2761	4592	2832	1302	1665	2422	490	1607	2030	1430	271	396	294	999	157	125	167	333	56	103	64	58	55	112	330	248	48	56	22	32	25	56	24	13	11	42	36	49	34	14	5	11	11	9	20	10	27	7	7	13	27	18	3	4	10	3	6	10	9	11	1	2	3	1	2	9	2	1	1	7	1	3	0	13	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0
0.03	north3_all	80	33163	21351	7391	6869	4826	3081	2975	3138	1564	2029	2290	1782	774	751	654	1131	490	397	420	445	270	242	230	205	167	195	376	262	99	125	91	81	78	94	51	51	53	60	58	90	69	34	24	24	33	23	32	18	39	11	11	27	34	22	8	4	18	7	11	18	5	12	3	5	4	4	1	8	1	3	2	9	3	3	1	12	0	1	4	2	2	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	21391	17124	2772	4589	2882	1350	1729	2463	516	1529	1906	1465	270	370	326	929	157	119	188	319	52	102	71	56	64	119	334	207	50	51	26	36	29	66	26	19	14	41	38	79	50	17	7	11	16	12	23	13	30	7	5	24	30	16	5	2	13	3	4	10	3	12	0	4	1	2	1	8	1	0	1	8	2	3	0	12	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33315	21276	7330	6911	4811	3015	2926	3087	1530	2039	2345	1717	791	774	677	1108	484	386	416	445	269	222	229	199	175	211	362	251	109	129	85	91	75	99	52	55	50	45	44	126	68	25	25	15	28	27	31	20	49	13	9	31	26	17	7	7	16	7	13	17	6	12	4	7	4	8	3	0	1	4	1	2	2	1	1	11	0	1	3	1	3	11	0	2	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	21515	17059	2711	4575	2916	1353	1676	2441	499	1463	1983	1405	259	394	321	911	155	120	202	312	44	102	67	57	75	128	320	200	51	52	28	47	25	73	25	20	13	23	26	115	47	13	7	8	14	16	23	14	41	8	6	26	19	13	5	1	12	2	4	11	3	10	0	4	1	6	1	0	1	1	0	1	2	1	0	11	0	0	2	1	1	11	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33583	21427	7251	6864	4797	2966	2849	3182	1560	2049	2407	1708	792	802	665	1085	466	392	424	462	268	240	204	191	170	212	373	265	122	124	89	104	76	107	56	59	39	58	56	176	71	27	26	15	25	36	26	21	33	10	7	33	22	12	6	6	13	7	9	12	6	7	3	5	2	10	3	0	4	3	1	2	2	4	2	11	0	2	3	2	1	11	1	2	0	0	0	1	0	1	0	0	0	5	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	21630	17192	2648	4551	2967	1316	1642	2494	504	1468	2054	1372	263	420	327	903	159	108	214	326	40	112	66	61	69	122	335	216	54	59	27	58	26	84	25	17	14	36	37	163	50	13	9	6	10	22	16	12	24	5	5	27	16	8	4	0	8	2	4	6	4	5	1	2	2	6	0	0	3	1	0	2	1	4	0	11	0	1	2	1	1	11	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	33533	21650	7262	6849	4850	2928	2800	3326	1552	2072	2402	1755	786	807	682	1092	463	406	391	450	277	241	205	181	170	205	343	255	117	114	92	101	79	110	59	66	32	58	50	145	64	35	26	24	20	30	32	22	25	17	8	22	33	10	5	8	8	9	5	7	4	7	4	3	6	8	4	0	6	3	1	4	3	6	2	11	0	2	1	3	1	11	1	1	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	21573	17425	2687	4521	3004	1309	1615	2582	509	1524	2068	1406	264	419	329	921	174	113	206	309	49	111	65	58	73	111	300	214	46	61	29	59	29	80	29	24	13	36	34	130	50	20	8	13	6	20	23	10	18	10	6	14	28	7	4	1	4	1	2	4	3	4	1	1	6	6	1	0	5	1	0	4	1	6	0	11	0	1	0	2	1	11	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	33330	21825	7425	6736	4773	2878	2746	3352	1575	2063	2367	1659	792	843	674	1029	464	410	377	448	281	248	204	180	169	227	406	298	104	105	82	103	83	106	45	58	36	61	61	111	55	37	22	30	26	29	26	16	22	14	14	13	33	5	8	8	4	9	5	5	4	5	3	2	6	9	4	2	7	3	3	5	2	6	3	0	1	1	1	3	2	11	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	21347	17548	2724	4442	2928	1220	1561	2609	527	1546	2038	1308	286	422	342	873	172	107	183	309	48	104	65	57	75	130	368	265	43	60	27	56	31	78	22	21	12	34	46	97	44	19	7	18	13	20	19	7	12	7	11	5	30	3	5	1	1	2	2	4	3	3	1	1	6	7	1	0	6	1	0	5	0	6	0	0	0	1	0	2	1	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	33357	21856	7343	6851	4777	2959	2713	3359	1531	2101	2241	1602	779	830	671	1029	468	378	375	420	303	245	205	173	161	211	397	276	105	108	86	95	83	102	47	63	42	70	50	106	45	35	21	30	31	25	20	11	24	11	21	24	37	7	7	7	5	9	5	4	2	3	4	4	4	4	3	2	8	3	4	5	2	3	4	3	1	1	0	2	1	1	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	21414	17640	2743	4523	2859	1259	1532	2599	502	1566	1916	1282	295	399	315	863	180	111	184	280	56	101	65	53	69	121	357	239	47	61	24	50	28	76	22	23	12	34	39	91	36	21	4	16	22	16	14	4	15	8	16	16	35	6	3	1	2	2	3	2	2	1	3	2	4	4	1	0	5	0	1	5	0	3	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	33604	21581	7351	6952	4850	2996	2779	3350	1541	2126	2129	1526	817	789	653	996	489	386	374	405	297	262	220	197	176	176	483	300	98	109	92	100	79	86	50	48	49	66	43	103	55	30	14	30	34	22	18	18	25	19	20	26	19	5	8	8	8	7	6	3	5	2	3	5	3	4	4	2	4	3	4	3	1	1	2	4	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
