label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	north13_all	80	30138	13633	8539	5519	11555	4088	2379	2382	2172	1291	1015	1241	1186	707	812	489	416	333	1020	499	413	216	186	139	132	117	94	79	76	73	82	39	82	43	29	33	84	20	14	30	17	67	12	9	12	24	9	12	2	10	4	6	4	1	3	2	2	4	4	2	1	0	0	5	1	0	0	0	1	2	1	4	0	0	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	8879	3086	3252	1138	10367	2533	726	1438	1531	510	339	794	923	347	619	258	109	95	951	409	326	117	81	27	47	27	40	21	27	42	54	8	62	15	6	9	78	5	7	27	10	56	6	1	6	18	4	9	1	7	1	2	1	1	3	1	0	0	2	2	0	0	0	5	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	30029	13578	8526	5659	11074	3905	2320	2352	2181	1297	1035	1183	1185	696	857	491	382	333	860	448	383	206	183	154	140	117	96	83	74	85	89	42	71	36	28	32	116	18	15	28	14	42	14	10	11	17	9	8	4	8	3	17	3	1	3	2	2	3	2	5	0	0	0	5	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north14_active	80	8277	2913	3059	1185	9812	2324	661	1364	1502	486	332	724	890	335	620	262	109	92	781	354	293	116	79	35	46	25	35	22	22	52	63	9	55	12	7	9	108	4	7	23	7	29	5	2	5	12	4	6	1	4	0	15	1	1	3	0	0	1	0	4	0	0	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	29761	13546	8528	5671	10229	3740	2373	2305	2095	1232	1074	1117	1193	692	827	496	368	311	744	395	375	208	172	150	124	106	95	81	68	68	88	44	70	35	27	31	84	18	13	35	11	29	16	10	4	18	8	9	5	6	3	17	3	1	4	3	1	4	1	9	3	0	0	6	0	0	0	0	0	2	1	1	1	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
0.03	north15_active	80	7635	2711	2840	1230	8956	2110	643	1275	1357	449	323	659	860	318	585	254	97	76	667	300	263	111	67	33	42	18	39	19	21	38	58	7	57	12	8	6	75	4	3	30	3	16	6	2	3	14	4	7	3	4	0	16	2	1	3	0	0	2	0	7	2	0	0	6	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	29653	13511	8365	5615	9447	3675	2352	2236	2093	1219	1074	1088	1154	668	867	513	351	305	726	357	351	192	160	137	110	97	91	82	65	64	77	44	58	36	27	32	68	18	14	35	11	23	17	7	2	19	7	8	6	10	2	17	2	0	4	4	1	5	1	7	3	0	0	2	1	0	0	0	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
0.03	north16_active	80	7107	2579	2643	1252	8149	2038	579	1209	1362	427	305	649	802	297	609	243	93	78	647	247	239	94	62	32	29	22	36	22	17	31	46	10	47	16	9	7	62	2	2	30	4	13	6	2	0	16	2	7	3	5	0	16	1	0	3	2	0	2	0	5	2	0	0	2	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	29618	13609	8306	5593	10102	3766	2374	2321	2177	1267	1045	1153	1232	697	934	522	369	333	781	337	361	214	172	123	118	94	85	79	70	63	91	40	89	41	25	25	59	23	18	46	14	16	18	10	4	14	7	8	8	11	4	5	3	0	6	5	1	3	2	4	3	1	0	1	1	0	0	0	0	0	0	1	1	5	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
0.03	north17_active	80	7634	2743	2790	1223	8804	2162	624	1304	1441	464	295	749	876	335	695	257	94	84	687	247	258	108	71	28	36	28	32	23	18	26	57	8	77	18	8	6	52	3	4	42	5	8	8	6	1	13	2	5	3	6	1	4	3	0	5	2	0	2	1	3	2	0	0	1	1	0	0	0	0	0	0	1	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
