label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	south25_active	80	30229	24995	7805	7862	845	1233	1223	1046	3253	476	369	598	163	1443	109	122	90	446	102	78	64	179	90	95	109	180	46	209	37	82	92	18	53	84	46	4	8	11	10	13	3	24	11	25	2	1	3	2	14	23	1	3	1	1	1	2	5	5	2	2	1	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	43696	29490	11805	10083	4224	3207	2704	2160	3710	1301	1022	1091	759	1588	536	459	390	544	282	249	213	300	186	169	177	208	103	194	75	110	98	49	70	79	39	26	26	21	24	24	18	21	14	34	8	3	8	7	16	21	4	5	5	3	5	2	7	6	6	5	1	1	2	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	29935	24790	7994	7828	876	1207	1194	1048	3231	469	356	627	169	1388	113	112	84	413	100	75	71	206	93	99	124	170	51	176	37	83	76	22	58	62	29	4	8	14	10	17	1	15	10	28	2	1	3	0	15	20	2	2	1	1	1	2	5	4	2	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	43764	29463	11825	9897	4147	3170	2717	2155	4044	1298	1053	1035	737	1493	564	451	383	566	298	248	211	289	207	180	180	213	88	174	71	107	107	57	82	91	59	24	25	28	22	22	18	17	14	27	7	4	11	6	18	20	3	4	5	4	5	1	4	2	3	3	1	2	0	2	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	29982	24816	8053	7644	853	1251	1210	1074	3541	445	367	597	158	1294	135	123	77	433	100	78	77	203	109	100	125	178	37	157	39	79	90	24	65	74	48	5	9	21	5	21	2	13	8	22	0	2	3	2	14	19	2	1	1	1	2	1	1	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	43992	29882	11882	9701	4105	3193	2656	2120	4072	1310	1051	1058	749	1517	550	447	383	601	280	246	209	328	200	189	209	222	91	177	78	93	134	56	88	77	70	26	20	30	16	21	14	11	12	22	8	4	8	8	6	5	4	3	2	4	5	3	3	3	0	1	1	3	0	0	0	1	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	30228	25263	8118	7459	856	1230	1201	1025	3570	469	391	620	165	1306	135	144	74	467	85	84	63	240	109	102	153	191	35	156	40	65	118	28	75	65	61	7	8	24	4	20	3	8	6	19	1	1	4	3	3	5	3	1	1	1	2	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	44058	29660	11749	9967	4041	3217	2661	2103	4131	1366	1045	1066	739	1443	530	455	394	577	275	252	209	308	204	216	197	213	93	204	71	98	127	55	110	80	83	24	21	31	18	16	15	15	15	25	12	5	11	7	5	4	3	23	1	3	2	3	3	3	0	2	1	3	0	1	0	1	1	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	south29_active	80	30205	25115	8003	7698	863	1258	1178	971	3619	522	422	615	156	1227	143	143	73	448	83	98	64	226	118	120	140	177	32	182	39	65	117	33	96	58	72	7	10	25	6	15	3	12	8	22	2	1	4	5	2	4	3	20	1	2	2	0	1	1	0	2	1	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	44091	30346	11710	9933	4137	3258	2674	2145	3807	1314	1052	1067	728	1521	499	483	377	576	272	250	198	269	180	208	204	206	100	189	70	99	148	62	110	111	72	29	19	22	17	12	14	14	18	22	13	4	12	13	1	3	2	24	1	4	3	4	5	3	1	2	2	2	1	1	0	1	1	0	3	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south30_active	80	30343	25711	8013	7731	889	1218	1137	989	3336	502	397	602	158	1308	121	137	79	444	83	100	56	191	103	111	144	162	34	170	37	65	133	39	96	90	61	7	7	17	7	8	2	10	8	20	3	1	6	10	0	2	1	20	0	2	2	0	2	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	43492	30073	11714	9639	4168	3275	2559	2194	3751	1358	1054	1129	719	1581	512	459	384	564	299	239	177	276	172	182	197	229	87	234	72	97	121	59	80	72	51	28	31	29	18	16	17	26	16	18	9	11	4	10	9	15	5	7	3	2	4	2	6	1	3	1	1	14	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	south31_active	80	29517	25488	7738	7485	935	1180	1102	1015	3269	483	379	600	162	1373	95	124	81	449	82	92	42	191	93	115	141	173	36	207	35	70	84	32	58	61	41	5	7	14	8	8	7	20	13	14	3	7	1	8	9	14	2	5	2	1	4	1	4	1	2	0	1	14	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south32_all	80	44123	30564	11962	9761	4181	3249	2590	2209	4038	1353	1056	1056	699	1640	520	438	359	524	283	232	183	276	162	164	176	196	70	202	79	96	97	65	81	99	46	32	31	23	16	15	17	22	11	29	6	14	7	7	18	18	6	8	5	5	4	3	5	1	2	1	1	11	0	1	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	south32_active	80	30121	25982	7995	7537	904	1187	1163	1039	3589	495	372	555	148	1438	97	137	69	419	79	80	45	190	73	105	131	143	29	179	37	72	78	27	55	90	36	10	7	9	7	8	5	17	10	25	1	10	2	4	18	15	3	4	2	3	4	2	4	1	1	0	1	10	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south33_all	80	43869	30489	11794	9971	4223	3285	2584	2216	3942	1328	1043	1068	710	1636	524	431	355	521	294	219	195	278	166	155	172	210	76	227	81	106	110	65	66	103	55	32	31	24	16	19	15	15	13	25	8	12	6	7	17	19	3	25	3	5	2	2	5	0	2	1	2	10	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south33_active	80	29907	25922	7908	7791	924	1223	1121	1004	3462	474	377	561	151	1422	106	132	86	416	91	74	49	199	72	102	127	154	31	207	37	77	86	28	45	89	47	9	6	10	7	14	4	10	12	22	2	9	3	4	17	16	2	21	0	3	2	1	4	0	1	0	2	9	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south34_all	80	44342	30311	11818	10057	4142	3245	2611	2190	4019	1315	1084	1062	691	1561	507	430	362	562	299	215	219	269	179	155	182	183	70	277	71	100	93	69	75	112	55	30	23	22	15	19	16	9	11	24	10	12	7	7	19	18	5	27	5	8	6	2	2	0	1	0	4	7	0	0	1	2	0	0	5	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	30289	25653	7984	7917	914	1230	1193	1012	3515	474	386	559	156	1346	117	144	92	426	100	66	64	188	87	95	136	138	24	250	35	75	66	33	49	97	48	10	6	11	5	14	4	3	8	22	2	6	3	5	18	15	3	22	1	6	5	2	2	0	1	0	4	6	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
