label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	north1_all	80	52995	21427	12437	5287	7648	3359	2282	3011	2633	1178	1590	1615	948	621	733	695	717	383	301	508	251	169	202	252	128	113	95	78	111	53	49	60	74	21	37	25	29	30	23	18	21	19	5	4	7	8	13	12	4	3	12	4	5	4	1	0	2	1	4	3	3	1	0	2	2	1	1	1	2	5	2	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	32443	12958	7430	2416	4783	1742	1062	1824	1598	556	952	1030	522	309	389	430	468	188	144	313	141	67	111	124	65	63	44	36	69	25	29	32	38	11	28	14	20	17	13	8	15	8	2	1	4	3	7	3	0	2	6	3	2	3	1	0	1	0	3	0	3	0	0	1	2	1	0	1	2	4	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	52487	21388	12471	5191	7625	3324	2241	3033	2609	1151	1568	1581	955	632	717	681	737	397	266	493	287	173	204	254	141	112	94	83	115	54	57	62	71	22	48	27	32	54	25	14	27	9	7	6	8	8	16	12	10	6	7	4	5	3	1	1	2	1	4	1	0	2	1	2	2	1	1	0	1	5	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	32104	12976	7301	2385	4773	1713	1047	1858	1631	538	970	1004	517	316	403	426	481	179	133	323	172	81	109	138	80	65	48	41	67	23	30	36	38	12	34	14	22	25	14	7	16	6	4	3	5	4	8	3	4	5	3	2	2	2	1	1	1	0	3	0	0	2	1	1	2	1	0	0	1	4	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	52490	21453	12366	5273	7655	3295	2207	2991	2555	1179	1534	1509	945	622	685	700	719	389	240	518	299	180	207	227	136	108	97	87	103	56	63	89	53	25	50	29	34	47	26	18	25	11	9	7	9	9	17	5	10	9	7	3	3	1	1	2	1	4	3	1	0	2	1	3	2	1	2	0	1	2	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	32188	12981	7321	2463	4785	1682	1055	1816	1560	551	955	958	505	303	392	416	471	181	112	338	184	86	119	128	73	57	51	48	53	18	33	45	30	13	28	11	21	21	16	10	11	8	7	2	5	5	6	3	4	7	3	1	2	0	1	2	1	3	3	0	0	2	1	2	2	1	1	0	1	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	52750	21362	12247	5220	7769	3301	2287	2979	2493	1181	1476	1575	884	594	699	702	752	385	256	439	329	176	201	229	137	107	99	99	91	62	59	101	75	24	42	36	28	50	24	17	18	11	13	11	11	5	17	8	9	11	3	2	2	2	1	2	1	4	5	0	3	2	1	4	2	0	1	1	1	0	2	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	32685	12887	7185	2442	4918	1683	1093	1829	1493	553	909	1009	497	274	422	395	517	179	120	278	194	91	127	151	74	50	55	54	40	26	32	58	54	11	22	15	16	21	15	9	6	8	7	3	7	2	8	6	5	8	2	1	1	1	1	2	1	4	3	0	0	2	1	4	2	0	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	52830	21577	12133	5191	7872	3282	2330	3026	2428	1228	1441	1575	865	587	665	677	719	372	273	386	299	183	206	241	117	120	99	104	92	53	54	97	72	31	34	34	35	41	22	13	17	13	10	11	6	7	13	7	5	9	5	2	1	2	4	2	0	4	5	2	3	1	0	4	0	0	1	1	2	0	1	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	32779	13027	7144	2429	4942	1635	1142	1850	1428	595	874	989	470	280	399	395	473	177	122	236	173	90	123	166	53	54	58	54	48	26	28	56	50	12	16	17	24	31	10	7	6	10	6	3	4	5	9	6	3	6	4	1	1	1	3	1	0	4	3	2	0	0	0	4	0	0	1	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
