label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49
0.03	north1_all	80	18379	6364	3735	3661	1328	713	541	388	296	257	133	158	116	55	44	44	33	36	18	11	18	10	15	3	6	3	1	2	3	3	1	1	2	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north1_active	80	13521	4073	2493	3077	802	192	160	189	129	159	37	107	78	13	25	25	11	19	12	5	13	8	9	1	5	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_all	80	19558	6722	4063	3984	1386	742	510	400	303	288	137	178	134	59	47	47	27	40	13	15	20	14	13	3	5	4	2	1	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_active	80	14787	4493	2829	3410	874	203	131	209	130	180	38	118	93	16	25	26	12	23	9	5	13	11	6	1	4	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_all	80	19818	6792	3989	4032	1349	747	527	406	292	313	151	178	133	62	55	40	31	48	19	15	23	20	13	4	9	3	2	0	4	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15119	4575	2816	3454	841	201	124	211	120	202	39	115	95	21	35	21	12	30	14	5	17	17	7	1	9	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	19560	6715	3942	3825	1329	770	506	381	302	318	145	170	140	63	56	37	31	50	20	15	21	19	9	5	15	3	2	2	3	3	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	14748	4491	2748	3274	827	197	119	205	135	206	36	111	103	19	37	20	8	29	13	6	14	18	6	2	15	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	19429	6715	3818	3723	1382	747	498	371	314	315	130	159	166	69	69	38	35	46	17	16	19	31	5	4	16	2	1	2	3	4	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	14635	4494	2613	3152	862	200	113	194	133	209	42	102	128	19	43	21	9	26	11	3	14	30	2	2	14	1	0	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	19602	6691	3836	3648	1420	719	477	397	301	309	121	143	166	62	59	43	33	30	25	16	14	27	8	4	16	3	3	4	1	4	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	14714	4477	2642	3099	900	190	99	219	120	199	40	88	138	18	34	29	10	13	14	2	9	26	3	1	13	0	1	1	0	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	19962	6824	3913	3721	1438	704	490	389	307	335	137	136	173	58	71	39	31	29	21	19	9	30	8	3	8	3	3	4	2	3	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	15182	4639	2740	3181	913	195	113	214	118	230	43	82	150	16	43	27	11	17	12	4	7	29	4	0	5	0	1	2	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	19945	6843	3946	3844	1429	701	521	414	325	311	148	166	133	55	62	35	31	21	29	26	15	23	10	3	7	7	4	5	1	2	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	15207	4613	2778	3286	911	195	111	221	131	213	42	105	108	17	38	23	11	13	15	8	11	22	5	0	5	1	1	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
