label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	8130	3339	6138	1129	1664	745	574	220	794	177	106	111	60	39	37	35	37	22	19	45	14	4	3	3	14	2	6	1	4	3	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	2871	702	5526	341	1364	517	387	72	724	109	46	75	34	16	11	9	27	14	10	42	9	3	0	2	10	0	3	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	8172	3384	6092	1115	1719	738	576	230	748	188	115	119	51	43	39	31	36	24	23	56	14	2	4	3	12	1	4	0	3	1	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	2936	704	5469	320	1427	515	387	73	685	122	51	81	26	17	9	10	26	14	15	55	11	1	1	2	9	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	8096	3371	6119	1076	1719	749	588	245	736	186	109	124	63	49	42	28	33	34	20	37	11	1	4	5	11	2	13	1	2	1	3	0	1	0	1	0	0	0	1	0	0	0	0	1	0
0.03	north3_active	80	2851	714	5517	319	1452	515	398	65	677	119	48	86	34	17	9	7	23	23	13	35	9	0	1	4	8	1	12	1	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	8201	3394	6179	1126	1785	756	565	250	728	183	112	120	76	60	38	25	34	34	22	45	11	2	4	5	8	3	20	1	1	2	3	0	0	0	1	0	0	0	1	0	0	1	1	1	0
0.03	north4_active	80	2869	718	5566	332	1518	524	388	68	664	120	49	84	35	25	9	4	23	26	16	42	9	1	1	4	5	2	18	1	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north5_all	80	8129	3413	6433	1163	1751	785	550	258	746	218	125	126	74	57	30	21	43	37	21	60	12	3	4	4	10	3	20	2	1	2	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0
0.03	north5_active	80	2855	749	5788	346	1462	564	386	68	687	146	61	87	37	21	8	4	25	31	17	55	8	2	0	4	6	2	19	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
