label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	south34_active	80	1989	2655	546	243	683	236	99	97	110	45	32	19	87	16	12	5	5	20	6	5	4	6	0	5	4	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	4237	4121	1056	558	1090	432	223	180	215	101	74	40	108	30	29	14	13	31	14	5	11	14	5	5	5	3	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	1961	2643	537	239	671	238	100	85	119	44	31	14	73	17	14	7	4	18	8	2	3	6	3	5	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	4250	4111	1071	575	1067	438	204	181	218	122	69	45	93	33	24	16	12	40	20	6	12	15	11	6	4	4	0	1	1	1	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	1961	2600	561	245	689	247	95	89	126	62	30	19	63	22	13	9	2	29	10	2	4	6	7	5	4	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	4217	4000	1048	576	987	409	200	177	212	113	71	46	102	30	25	12	14	41	23	5	9	15	10	4	2	4	0	2	4	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
0.03	south37_active	80	1930	2493	525	257	633	228	103	93	123	58	28	19	65	18	15	7	5	31	12	1	4	7	7	2	1	3	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	4185	3734	1034	602	925	405	208	187	197	121	58	52	100	29	22	16	12	42	22	8	6	12	10	5	4	3	0	2	4	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south38_active	80	1927	2287	519	274	594	225	107	107	117	67	22	22	66	17	12	4	5	33	13	1	3	9	6	2	1	2	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	4176	3600	1043	611	883	393	192	190	193	102	68	62	100	26	18	16	14	47	20	7	8	15	5	3	4	2	0	3	3	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south39_active	80	1894	2141	502	270	577	215	100	109	119	62	26	27	67	15	9	2	7	37	11	1	6	9	3	1	1	1	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	4164	3596	1014	602	865	420	209	173	193	102	61	54	106	24	25	15	15	30	17	8	5	14	7	2	2	3	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	1889	2140	473	264	520	229	105	93	119	62	25	24	73	11	11	2	7	23	9	2	5	10	5	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
