label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192
0.03	south26_all	80	553	1794	176	1037	729	85	474	350	427	294	309	272	103	240	200	164	123	128	149	45	83	96	64	10	79	36	15	27	59	76	63	24	63	42	36	30	32	49	32	28	7	12	22	7	18	0	11	18	3	3	10	6	1	2	8	1	2	0	1	10	0	1	2	2	1	11	3	3	4	11	2	2	4	9	0	0	0	6	0	0	2	0	0	0	0	3	0	2	4	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	6	0	3	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	284	1701	83	994	688	53	461	330	398	285	286	268	77	231	181	156	116	118	144	38	79	89	60	4	76	30	8	25	58	65	62	21	63	40	26	26	31	39	31	27	3	9	10	4	12	0	11	17	2	2	10	4	0	1	7	1	1	0	1	10	0	1	1	1	0	10	3	3	4	11	2	1	4	9	0	0	0	5	0	0	1	0	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	6	0	3	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	626	1680	169	913	635	82	455	257	284	279	222	207	87	196	175	210	75	124	143	70	131	119	111	14	100	53	14	37	78	59	73	51	38	59	36	32	45	48	39	39	10	3	26	3	52	5	42	20	5	5	17	19	0	0	26	6	2	0	2	38	2	1	2	1	1	6	4	3	4	2	2	6	7	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	1	0	2	3	1	0	0	0	6	2	7	0	2	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	373	1556	103	854	606	41	424	240	278	251	217	193	63	178	166	203	69	119	137	69	124	115	108	8	83	45	10	35	77	48	73	47	32	46	26	29	44	46	34	38	7	2	25	2	52	4	41	20	4	4	16	15	0	0	25	6	1	0	2	38	2	1	1	1	0	5	4	3	0	2	2	6	7	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	3	1	0	0	0	6	2	7	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	602	2505	205	867	698	106	521	445	307	348	234	327	91	286	167	225	135	135	120	75	173	117	92	4	71	64	24	41	50	76	86	40	101	42	33	51	39	80	42	35	16	4	12	3	33	6	42	8	1	8	13	15	1	1	18	4	1	5	0	12	6	10	10	1	1	2	23	1	8	0	16	2	10	21	3	8	1	7	1	2	2	11	1	0	0	0	1	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	1	0	0	1	12	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	355	2413	117	822	680	70	503	428	303	317	215	321	66	276	162	208	125	127	120	73	168	116	89	1	67	61	16	32	48	74	85	33	101	39	23	50	39	69	39	33	12	3	11	2	33	5	39	8	1	5	13	14	0	0	18	4	1	0	0	11	6	10	10	0	1	1	23	0	8	0	16	2	10	21	3	7	1	6	0	0	2	11	1	0	0	0	1	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	1	12	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	744	2511	216	1240	922	115	529	459	290	386	225	270	101	183	147	137	108	145	143	103	122	76	106	13	109	116	16	53	37	49	40	81	48	48	19	32	42	75	17	43	15	14	26	6	41	6	12	19	9	7	8	14	3	2	28	14	0	1	1	7	4	9	5	2	2	5	2	0	6	24	17	2	4	1	1	3	3	0	2	0	6	3	19	0	0	0	0	3	3	11	1	2	3	3	0	9	3	6	0	0	0	0	2	7	0	1	0	12	9	0	0	19	0	0	2	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	17	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	466	2448	132	1212	891	80	515	432	271	381	210	267	89	183	137	117	99	128	137	99	118	73	105	6	107	114	14	43	36	46	39	67	47	48	16	30	42	71	15	43	10	12	25	5	41	4	12	17	0	7	7	14	2	1	28	14	0	0	1	7	4	8	4	2	1	5	2	0	6	24	17	2	4	1	1	3	3	0	1	0	3	3	19	0	0	0	0	3	3	10	1	2	3	3	0	9	3	6	0	0	0	0	2	7	0	0	0	12	9	0	0	19	0	0	2	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	17	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	544	1718	166	673	561	92	440	289	213	212	196	285	59	240	132	80	67	110	179	94	61	68	143	14	52	34	26	32	68	32	47	54	14	44	23	23	22	40	26	39	11	5	7	0	18	0	1	15	2	8	9	7	1	3	4	2	0	4	1	8	11	16	0	0	0	4	20	4	0	3	1	4	19	4	4	0	1	5	1	0	1	0	14	0	0	1	0	0	7	0	0	11	3	0	0	0	1	0	0	13	0	3	0	0	1	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	344	1668	95	654	540	71	414	280	207	204	191	272	48	238	118	76	63	105	178	89	59	66	140	11	50	33	23	28	67	31	46	54	10	44	22	23	21	40	24	38	9	4	5	0	16	0	1	14	1	6	9	7	1	2	4	2	0	4	0	8	11	16	0	0	0	4	18	3	0	3	1	4	19	4	4	0	0	5	0	0	0	0	14	0	0	1	0	0	7	0	0	11	3	0	0	0	1	0	0	13	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
