label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191
0.03	north1_all	80	3392	1394	185	189	776	636	657	200	427	390	147	69	33	185	206	186	163	119	193	82	14	89	16	63	61	15	9	26	31	11	41	6	55	30	16	33	23	6	21	19	41	7	1	9	16	4	31	28	1	0	2	7	8	12	33	5	5	11	3	10	37	32	13	3	0	0	0	5	16	3	4	0	1	8	1	3	7	1	2	0	1	3	0	0	2	0	0	0	2	1	6	1	0	0	0	0	11	7	1	5	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3113	1256	92	102	749	605	643	153	420	370	126	35	21	173	203	181	155	112	178	79	5	85	8	61	56	8	5	23	25	7	36	1	47	28	8	30	20	4	9	19	35	3	0	7	13	1	28	28	1	0	1	6	5	12	33	5	5	9	2	10	35	32	13	1	0	0	0	4	16	3	3	0	0	8	1	2	7	1	2	0	1	3	0	0	1	0	0	0	2	1	6	1	0	0	0	0	11	7	1	5	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3542	1539	196	177	936	643	745	197	448	321	163	63	42	156	221	207	163	179	150	111	12	106	10	143	62	13	16	14	33	6	62	6	34	21	28	42	17	13	10	9	19	10	12	12	10	11	21	19	7	22	32	10	14	7	23	5	7	11	13	5	5	3	27	3	0	15	0	0	3	3	6	6	0	2	1	7	1	1	0	10	2	0	1	4	4	3	0	0	1	2	4	5	1	0	2	0	1	0	0	2	3	10	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3256	1358	121	103	910	603	728	164	429	308	150	34	23	142	214	202	153	174	146	102	8	105	3	139	60	6	9	11	29	3	60	4	31	20	24	42	13	9	7	8	19	6	10	5	8	8	18	19	7	21	31	8	13	7	11	3	6	11	11	5	5	3	26	3	0	15	0	0	3	2	4	6	0	2	1	7	1	0	0	10	2	0	0	4	4	2	0	0	1	0	4	5	1	0	2	0	1	0	0	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3442	1446	174	170	1047	610	479	190	489	419	208	50	24	213	238	191	189	197	149	90	16	116	9	76	91	11	14	19	27	4	72	6	47	36	17	29	7	5	8	14	61	8	8	3	40	9	26	32	19	10	26	24	18	39	4	16	15	8	6	5	8	4	2	8	0	16	2	1	18	0	1	18	0	9	3	4	0	0	0	1	6	6	1	0	14	0	0	0	1	10	0	5	25	0	0	0	5	0	1	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	5	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	8	0	0	1	0	0	0	0	0	0	3	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3120	1294	81	84	1013	562	462	161	472	407	192	27	14	192	233	182	181	191	144	84	8	111	5	69	86	9	7	16	21	3	71	3	44	33	13	27	5	5	5	13	59	8	4	2	38	8	26	31	19	7	25	22	13	37	2	16	12	8	1	2	7	4	2	8	0	16	0	1	17	0	0	17	0	9	3	4	0	0	0	1	6	1	0	0	13	0	0	0	1	10	0	5	25	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	5	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	8	0	0	1	0	0	0	0	0	0	3	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2831	1272	187	183	1022	570	529	149	421	403	144	59	31	196	231	251	133	142	204	103	21	89	13	62	66	13	9	35	20	3	32	6	41	17	12	51	17	13	1	11	39	13	5	13	39	12	5	15	9	6	22	3	4	21	10	13	11	28	4	4	14	9	16	2	0	4	0	2	13	0	0	3	1	2	0	17	1	1	8	0	2	0	2	0	1	1	1	5	4	1	1	2	3	1	0	0	1	4	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_active	80	2450	1050	102	94	999	520	506	121	410	387	127	37	15	179	226	248	123	136	200	92	11	86	9	59	60	9	2	24	15	1	29	0	41	11	8	50	12	11	1	10	34	9	2	12	38	10	4	14	7	5	21	2	2	20	10	13	10	28	3	4	14	8	16	2	0	4	0	2	13	0	0	3	0	2	0	17	1	0	8	0	2	0	0	0	1	1	0	5	4	1	1	2	3	1	0	0	1	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_all	80	2905	1252	185	191	954	523	631	167	417	442	124	54	23	150	184	227	137	151	91	85	18	106	13	107	74	15	20	26	21	4	39	6	17	30	11	76	8	15	5	15	36	4	5	13	47	5	30	35	7	9	30	4	4	25	11	30	10	12	5	3	5	4	19	5	1	12	1	4	8	2	3	11	4	11	0	4	1	0	0	10	2	0	3	5	1	0	0	2	0	0	0	0	1	5	3	1	3	12	0	1	0	3	0	2	2	0	0	4	0	0	0	4	0	0	0	3	0	0	2	7	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2551	1066	94	102	915	451	609	146	391	431	107	35	12	143	182	221	123	144	90	74	7	97	8	99	66	7	10	19	13	1	32	2	15	28	9	75	6	13	3	11	35	4	4	12	45	3	24	32	5	9	30	4	2	25	11	30	7	12	4	2	4	4	16	3	1	12	1	4	8	0	2	11	4	11	0	4	0	0	0	10	2	0	3	5	0	0	0	1	0	0	0	0	1	5	1	1	3	12	0	1	0	3	0	2	1	0	0	4	0	0	0	4	0	0	0	2	0	0	2	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
