label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	north1_all	80	23131	4726	4394	1391	2070	787	1334	635	295	457	218	408	338	231	101	110	72	102	44	43	45	35	25	26	49	15	19	11	23	15	23	9	6	6	3	2	2	2	2	0	2	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	15168	2553	2766	632	1285	386	858	340	121	279	114	254	236	148	55	67	34	66	16	21	24	20	13	20	29	11	8	5	17	9	16	5	4	5	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23184	4792	4271	1413	2094	800	1299	651	319	482	205	398	333	228	90	139	75	89	51	36	41	33	28	26	43	13	25	11	34	17	34	8	7	3	4	1	2	4	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15249	2571	2684	623	1299	395	799	354	138	306	103	249	231	134	49	85	36	56	22	20	24	19	14	18	32	8	10	4	23	10	30	5	5	2	3	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	23091	4826	4398	1471	2049	787	1295	637	338	501	192	417	313	207	108	140	61	100	52	35	42	33	32	23	52	24	26	8	26	13	29	8	6	1	3	1	2	4	6	0	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15117	2586	2721	660	1258	415	796	337	156	312	100	261	197	114	64	89	27	57	27	22	22	17	14	14	41	12	10	3	16	7	25	5	2	0	2	0	0	0	5	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	22955	4831	4545	1421	2150	786	1285	637	344	526	212	454	296	206	114	128	57	100	52	36	41	26	32	24	48	25	28	12	23	12	29	3	5	0	2	1	1	4	7	1	1	0	1	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	15071	2557	2775	651	1339	414	827	343	165	337	97	290	189	125	71	73	31	55	22	21	20	13	13	14	37	15	11	6	14	6	25	1	2	0	1	0	0	1	5	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	23153	4814	4581	1443	2152	826	1288	631	352	486	224	431	257	188	106	126	58	107	55	31	42	26	32	25	45	26	28	12	18	8	16	2	4	0	2	1	1	3	5	1	2	1	1	1	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	15156	2529	2833	653	1328	435	869	343	168	324	109	260	151	116	61	68	30	57	22	15	23	13	13	17	34	12	10	4	13	5	12	1	2	0	0	0	0	1	4	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	22663	4795	4562	1421	2103	859	1277	608	370	466	226	481	266	217	109	127	75	112	54	32	37	33	34	24	40	24	25	12	14	16	25	2	3	0	1	0	1	1	3	1	3	1	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	14885	2561	2826	642	1333	448	880	338	170	300	113	306	168	130	61	72	46	62	25	12	21	20	10	15	26	13	12	4	8	12	21	2	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	22756	4773	4473	1437	2024	880	1277	594	386	466	213	462	298	235	88	121	84	100	44	33	39	36	36	27	32	15	19	11	13	15	24	4	4	1	2	0	1	0	6	1	2	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	14898	2536	2769	636	1282	445	861	333	175	291	116	306	195	135	48	69	50	57	24	7	23	19	13	17	19	7	8	4	5	13	18	4	2	1	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	22986	4771	4479	1473	2065	830	1317	603	390	458	213	477	287	233	91	95	86	102	41	27	34	39	37	21	27	15	14	7	12	15	16	6	4	3	3	0	1	0	7	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	14932	2521	2830	667	1275	426	886	338	178	269	122	299	182	136	49	48	49	52	25	6	20	21	13	12	16	7	10	2	6	12	12	4	1	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	23344	4829	4560	1485	2099	819	1328	591	395	472	217	508	321	221	91	97	85	100	52	29	41	35	26	23	20	27	22	6	17	10	11	6	4	5	2	0	2	1	7	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	15252	2513	2885	670	1294	427	878	336	180	286	117	337	207	136	38	51	47	62	33	12	22	17	12	13	13	17	17	3	7	7	8	4	1	5	0	0	2	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	23271	4789	4536	1463	2160	793	1304	575	354	451	225	464	317	204	97	107	84	108	53	32	41	31	25	22	19	36	24	5	15	6	11	7	4	5	1	0	2	1	3	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	15049	2490	2859	655	1360	413	849	315	164	275	119	290	215	137	43	59	42	70	32	15	26	16	11	15	12	25	19	2	6	4	8	4	2	4	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	22967	4685	4542	1402	2049	874	1368	583	333	439	248	461	263	222	109	106	79	108	44	34	40	38	29	20	22	16	15	5	16	15	4	5	4	8	1	5	0	3	3	2	3	1	1	1	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
