label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52
0.03	north1_all	80	5061	1700	1528	589	817	812	200	166	319	134	80	130	44	43	45	51	25	22	10	13	4	12	1	4	2	7	5	0	0	3	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north1_active	80	2597	791	898	268	497	510	95	82	208	84	41	82	21	26	25	31	17	13	4	10	2	8	1	4	1	4	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_all	80	5061	1682	1541	577	884	807	221	191	337	143	73	114	36	41	55	47	32	22	11	13	6	9	4	4	4	5	7	0	1	2	0	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_active	80	2639	785	885	266	542	523	105	97	212	84	37	67	16	22	27	29	22	11	4	9	1	5	2	3	1	3	6	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north3_all	80	4934	1708	1570	545	909	774	206	184	358	158	79	115	40	47	54	48	41	22	9	17	9	11	5	6	4	4	7	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	2516	788	896	252	546	503	100	86	228	96	40	68	22	24	21	28	26	9	4	11	3	5	1	4	0	3	5	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	4952	1713	1568	582	865	759	202	185	381	166	86	109	42	41	58	42	34	16	10	13	10	12	9	6	6	2	5	1	1	1	0	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2545	776	885	267	518	478	92	81	240	93	43	62	26	18	30	30	17	6	5	9	4	8	3	3	2	1	3	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4895	1718	1532	585	819	755	223	190	395	150	81	106	45	43	48	40	30	15	12	15	8	12	7	5	4	3	4	1	0	1	0	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2489	754	863	257	500	459	105	76	249	93	40	62	21	21	28	26	13	5	8	9	3	8	3	1	2	2	3	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
