label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	21952	6234	2903	4809	1280	1138	1567	442	356	743	201	227	131	103	77	51	41	43	35	29	19	14	14	28	14	5	10	13	2	6	6	1	1	5	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	17386	3810	1107	4203	596	761	1343	121	164	653	71	177	24	20	48	28	16	12	21	10	10	3	10	25	11	0	9	13	0	3	5	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	22020	6224	2924	4742	1312	1181	1612	442	358	730	217	240	129	99	87	55	42	43	29	30	25	14	18	32	12	6	14	5	2	5	5	1	0	6	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	17504	3810	1123	4138	591	813	1384	121	164	640	83	185	25	19	56	31	19	10	14	13	11	5	13	28	9	0	13	5	0	3	4	0	0	3	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	22042	6331	3010	4612	1338	1243	1569	446	391	764	222	225	114	86	98	55	47	36	21	27	27	15	21	30	13	7	15	6	3	4	5	1	2	3	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	17453	3856	1154	4025	580	878	1367	105	174	677	85	168	26	19	63	30	17	8	9	14	11	6	16	27	10	1	12	6	1	2	4	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	21901	6371	3048	4460	1384	1233	1595	442	361	808	214	247	109	95	111	66	54	36	26	26	28	14	19	24	16	3	10	4	3	4	1	0	2	2	0	0	2	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north4_active	80	17264	3874	1190	3854	603	861	1368	106	155	711	87	177	30	26	74	34	20	6	13	15	14	6	14	21	9	1	7	4	2	3	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	21685	6433	2968	4609	1397	1200	1536	432	382	818	201	239	102	106	105	58	50	31	35	21	34	13	18	21	21	6	9	3	4	7	1	0	2	3	0	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	17067	3895	1149	3996	636	828	1320	110	160	713	88	166	29	32	70	31	16	7	23	7	23	4	15	19	14	1	7	3	2	5	0	0	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	21781	6412	2896	4739	1386	1190	1621	438	373	786	208	229	114	108	91	66	44	38	35	17	37	15	21	23	20	8	7	2	4	9	1	1	0	2	0	0	3	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	17144	3941	1098	4117	663	825	1406	118	148	689	91	161	32	28	60	39	16	10	23	6	22	4	18	21	13	2	7	2	2	7	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	21885	6424	2931	4765	1343	1169	1667	442	386	718	187	254	113	111	93	69	42	37	33	19	36	14	22	23	17	8	9	6	5	8	2	2	0	2	0	0	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	17282	3941	1114	4147	643	793	1456	130	156	622	80	179	27	35	57	38	16	9	22	5	20	4	19	20	11	1	8	5	2	7	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	22257	6486	2893	4732	1346	1167	1645	483	395	717	182	234	112	105	103	71	38	44	36	22	34	15	19	25	5	8	8	8	6	6	2	4	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	17560	3991	1096	4135	646	782	1431	136	152	621	66	175	26	29	66	42	15	9	20	7	15	4	13	21	3	1	6	6	3	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	22245	6479	2965	4618	1347	1159	1656	479	381	740	179	220	108	99	102	65	44	40	42	27	24	14	17	18	6	3	3	12	6	6	13	4	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	17573	3944	1141	4024	627	768	1431	129	156	646	61	160	21	26	66	37	16	9	24	8	14	5	11	13	3	0	1	8	3	6	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
