label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138
0.03	north1_all	80	8765	11133	2067	1787	2290	2145	1664	714	712	910	419	584	298	258	458	230	175	183	155	129	127	378	122	97	107	78	74	135	85	59	48	45	57	40	28	37	43	58	30	34	27	22	19	74	27	48	13	10	21	13	10	21	12	9	26	43	10	4	3	4	4	19	6	2	5	1	1	0	2	2	3	2	1	1	1	0	1	3	7	2	3	2	0	2	1	0	0	1	0	0	6	0	0	1	2	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5050	9974	478	956	1843	1795	1416	354	454	759	242	459	102	103	375	78	68	87	58	65	37	340	48	50	71	33	35	108	49	30	17	14	25	28	14	9	26	47	13	21	15	13	4	66	22	45	8	4	15	7	4	14	6	3	21	42	4	2	1	2	4	18	4	0	1	0	0	0	1	1	0	1	0	1	1	0	1	3	1	0	2	2	0	1	0	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8653	10981	2125	1786	2311	2099	1600	721	658	942	450	597	293	282	417	226	182	198	152	137	121	320	107	91	110	72	74	134	87	74	53	48	53	42	31	35	41	54	31	52	25	20	21	70	30	27	13	9	23	14	7	20	10	6	31	29	9	9	6	6	1	5	8	3	6	2	4	1	1	1	2	2	1	2	2	0	1	3	5	1	4	1	0	2	1	0	0	1	0	0	6	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4954	9873	462	931	1857	1738	1331	365	422	768	265	485	96	115	330	79	70	97	56	68	41	283	42	47	65	30	46	111	46	40	14	11	28	29	15	10	27	44	15	31	16	10	4	60	24	24	9	4	15	7	1	13	5	1	25	24	2	6	5	3	1	2	5	0	1	1	0	0	1	0	0	1	0	2	1	0	1	3	1	0	1	1	0	1	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8671	10912	2145	1844	2338	2128	1637	702	687	897	444	602	306	282	464	213	182	198	138	151	111	315	111	101	119	74	74	134	87	74	50	56	57	43	37	31	46	55	26	49	23	18	24	49	28	21	15	10	22	13	9	19	9	4	13	32	10	11	5	3	8	4	9	5	7	3	4	2	1	2	2	3	2	4	5	3	0	2	3	0	5	3	0	2	2	0	0	1	0	2	6	0	7	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5003	9835	455	957	1845	1768	1357	346	449	727	259	476	95	113	359	66	73	88	51	70	40	279	45	54	64	25	46	100	51	40	14	18	34	29	17	10	31	46	8	33	13	7	6	40	23	20	8	4	14	6	6	13	3	0	12	27	4	6	5	1	5	1	8	1	1	1	0	0	1	1	0	2	0	3	3	2	0	2	1	0	2	2	0	0	1	0	0	0	0	2	5	0	7	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8797	10857	2143	1838	2369	2036	1652	701	731	960	474	645	327	274	474	211	162	210	136	166	112	286	107	97	104	71	75	135	67	79	51	59	53	55	47	35	39	66	26	48	26	17	28	36	31	21	16	11	19	13	10	21	12	6	17	26	13	11	9	5	8	6	9	4	9	2	3	3	2	4	2	2	1	7	4	3	0	2	2	0	3	2	0	1	1	0	1	0	0	2	0	1	7	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5106	9784	474	969	1882	1686	1352	344	463	759	258	503	106	105	372	70	65	89	44	79	47	249	43	53	50	24	41	102	43	40	14	19	30	32	19	11	25	56	9	32	12	11	9	30	27	20	7	7	12	8	6	16	6	2	16	21	5	6	7	2	5	3	8	1	4	1	0	0	1	3	0	2	0	5	2	2	0	2	0	0	1	1	0	0	1	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8771	10948	2135	1851	2445	2009	1651	722	716	931	434	666	310	257	488	196	176	196	133	167	109	320	103	105	87	80	75	148	61	65	50	59	52	52	54	32	51	72	26	35	29	17	22	24	23	21	14	8	26	12	10	12	16	8	17	18	9	11	4	3	9	8	10	5	7	4	3	5	2	5	1	3	1	8	3	3	1	3	2	0	3	4	0	1	1	0	1	0	0	3	0	1	7	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5144	9832	477	994	1949	1687	1364	368	466	744	229	506	101	100	392	69	70	81	43	83	47	286	38	55	45	27	43	113	38	27	11	20	27	30	21	8	35	60	9	24	16	10	7	21	17	19	5	6	19	6	6	9	8	3	16	14	4	4	2	1	6	7	8	1	4	1	0	0	1	4	1	2	0	5	2	2	1	3	0	0	1	2	0	0	1	0	0	0	0	3	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
