label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144
0.03	north1_all	80	6394	3472	2463	1254	832	633	1083	358	460	335	472	409	215	188	221	141	148	270	166	166	145	71	85	115	61	46	42	72	73	61	84	41	45	42	26	39	30	34	34	23	24	19	5	6	20	13	11	11	10	8	16	12	12	5	15	9	5	5	6	4	4	4	4	4	9	0	3	8	12	3	1	5	4	3	7	5	1	3	3	1	1	2	3	5	0	3	2	1	0	4	0	1	3	2	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3501	2003	1478	681	398	303	660	170	225	159	278	258	103	94	122	61	82	186	99	100	85	43	38	70	28	22	16	36	44	33	57	21	29	23	10	19	15	18	19	8	11	8	4	3	12	8	7	5	4	2	11	6	9	3	11	6	2	3	2	1	3	2	3	3	6	0	3	6	7	1	1	2	3	2	6	3	0	2	2	0	1	1	2	3	0	1	1	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6457	3602	2643	1278	822	616	1157	386	482	355	512	483	203	178	225	149	145	278	171	179	137	100	82	118	75	48	47	73	76	53	88	42	48	36	29	36	24	42	37	20	27	12	11	8	21	15	14	11	14	12	15	9	11	5	12	7	7	4	5	6	4	5	4	5	9	0	3	7	8	5	3	5	7	3	2	4	0	4	2	1	0	1	1	2	1	2	0	1	0	4	0	2	2	3	1	0	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3567	2070	1631	722	425	297	728	180	262	174	305	307	85	83	124	74	74	188	85	113	77	56	41	79	33	22	20	34	45	30	59	21	32	23	10	19	11	22	21	7	15	2	8	5	13	6	10	4	7	4	13	4	4	3	8	3	2	3	2	1	3	3	3	2	6	0	3	4	4	3	1	5	5	3	2	3	0	2	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	2	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6719	3811	2807	1336	883	637	1319	392	507	350	579	525	210	185	243	162	154	269	189	196	129	92	83	104	72	47	48	66	79	42	108	48	49	38	37	40	30	42	38	19	27	11	14	8	17	21	14	10	19	12	14	15	9	6	9	6	7	4	6	6	8	7	5	12	7	5	3	7	5	7	2	10	9	4	2	2	0	4	2	2	0	2	1	1	1	5	0	2	0	2	2	1	1	3	1	0	3	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north3_active	80	3827	2217	1755	754	483	311	827	182	282	177	347	329	98	79	132	88	83	173	93	129	72	48	38	72	32	20	22	30	48	23	71	27	30	26	14	20	14	21	18	5	15	3	6	5	9	10	10	4	13	4	10	8	4	2	6	2	2	2	4	0	5	2	3	10	4	2	3	3	2	5	0	9	8	4	2	1	0	2	1	0	0	2	1	1	1	3	0	0	0	0	0	0	0	2	0	0	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north4_all	80	7015	4076	3019	1373	928	642	1331	401	500	353	654	560	216	175	245	194	178	282	186	189	145	92	80	120	71	61	51	60	81	52	115	45	55	37	32	32	27	57	43	19	25	14	23	8	14	16	15	16	19	9	21	12	12	9	6	6	7	4	6	5	7	8	4	12	2	7	3	6	5	7	4	11	9	4	1	2	0	3	2	2	0	2	2	1	1	3	0	2	0	2	2	1	1	3	2	0	3	1	2	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north4_active	80	4043	2456	1925	776	514	327	851	185	289	191	416	361	94	79	132	107	102	196	87	112	83	44	32	73	30	32	23	29	46	35	74	27	29	22	13	14	12	34	16	5	18	8	11	4	9	7	10	9	11	3	15	8	4	4	3	1	2	2	5	0	3	2	0	10	0	2	3	2	3	4	2	10	8	4	1	2	0	1	1	0	0	2	1	1	1	2	0	0	0	0	0	0	0	2	1	0	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north5_all	80	7176	4229	3036	1375	945	680	1342	399	511	360	668	517	230	182	255	212	200	340	182	176	154	86	68	119	69	69	54	65	91	61	125	42	53	40	27	26	35	58	36	20	37	17	30	9	12	18	16	14	17	6	30	11	11	9	8	8	12	4	8	4	7	6	4	12	3	7	4	5	5	5	2	10	6	5	2	3	1	4	0	2	0	1	2	1	1	5	1	2	0	0	2	2	1	2	1	0	3	0	2	0	3	2	0	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north5_active	80	4162	2637	1922	749	521	348	862	190	290	207	442	332	108	87	142	108	118	245	100	103	89	39	28	68	28	36	21	34	54	37	77	24	26	21	15	11	17	41	12	6	25	8	12	3	8	9	8	8	8	3	22	8	4	4	5	4	6	2	8	1	3	1	0	11	1	2	4	2	3	3	2	7	5	5	2	2	1	1	0	0	0	1	0	1	1	3	0	0	0	0	0	1	0	2	1	0	2	0	1	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
