label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152
0.03	north1_all	80	5520	2591	4432	1394	871	827	770	475	710	335	401	313	351	193	203	163	305	145	116	103	96	130	103	65	228	114	111	123	43	126	34	54	36	37	33	26	30	62	27	52	49	48	43	17	29	24	14	19	13	18	6	22	8	12	10	11	5	0	6	13	8	3	1	10	5	2	13	3	5	5	1	3	6	3	3	1	1	2	4	1	0	2	4	1	1	7	2	0	1	2	1	2	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2194	908	3864	835	218	499	498	107	508	150	229	156	254	42	86	37	245	76	33	32	18	94	62	14	198	86	91	100	15	109	14	34	10	17	8	6	16	56	5	42	40	39	39	4	24	14	5	5	11	4	3	19	5	11	6	8	2	0	2	2	3	1	0	9	0	2	12	2	2	5	0	0	4	2	0	1	1	2	4	0	0	2	2	1	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5623	2623	5147	1501	862	924	744	455	800	343	419	320	423	179	203	172	342	136	105	100	97	163	119	58	273	118	96	121	46	137	40	63	37	37	35	32	30	68	28	51	48	40	39	16	27	23	17	19	16	19	5	22	12	9	9	14	6	2	10	10	7	3	2	12	6	4	15	2	4	7	3	3	5	1	5	4	0	2	7	1	0	3	3	0	1	7	1	2	0	2	0	2	0	3	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2497	991	4615	956	224	585	481	105	604	157	258	165	340	47	76	41	287	76	28	36	18	126	76	9	252	94	78	97	16	119	17	38	13	16	10	4	18	64	7	41	40	32	35	5	23	11	5	6	11	4	3	20	7	7	5	10	3	0	3	0	3	1	1	11	0	4	14	1	1	6	1	0	4	1	2	1	0	2	7	0	0	3	1	0	0	7	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5674	2648	5695	1598	878	965	788	453	826	377	427	326	426	166	210	177	397	156	95	107	103	164	129	72	305	139	119	133	46	110	36	75	37	42	31	41	31	90	29	48	51	37	42	11	26	23	17	16	19	18	3	21	12	5	9	16	8	4	10	12	7	3	4	14	5	4	10	5	3	11	4	4	8	2	3	4	0	7	7	2	0	4	2	0	1	7	1	2	0	1	1	2	0	3	0	0	0	1	0	1	0	1	0	0	4	1	0	0	0	0	1	0	0	1	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2661	1080	5166	1065	261	626	523	119	636	175	276	178	341	46	82	42	337	90	26	44	15	134	90	19	284	121	98	104	16	98	17	55	13	20	11	6	16	84	7	40	42	29	33	7	24	12	7	6	10	4	3	20	7	3	3	9	4	1	3	1	3	1	2	14	1	4	10	1	1	8	2	2	7	2	2	1	0	7	7	1	0	3	0	0	0	7	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5762	2665	6151	1747	864	1018	818	479	798	388	440	324	486	169	205	160	382	166	92	111	101	183	133	82	314	129	131	123	44	160	40	74	42	47	34	39	31	93	31	54	56	36	37	15	28	20	16	15	19	12	6	14	13	12	7	15	6	4	7	9	4	2	6	10	4	6	11	3	5	9	5	4	5	1	6	4	2	6	8	3	1	2	2	0	1	4	1	2	0	0	2	1	0	0	1	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2726	1131	5622	1209	264	681	556	130	632	184	293	185	382	43	82	36	325	100	26	45	19	152	92	22	292	110	107	97	12	149	23	56	13	25	17	7	13	88	8	46	47	33	29	7	26	13	7	6	11	2	5	11	8	9	1	10	5	1	1	4	2	0	4	9	1	6	10	0	0	6	2	2	5	1	5	1	2	6	8	1	0	1	1	0	0	4	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5685	2609	6150	1692	895	1066	788	532	781	423	446	347	480	178	193	172	344	201	105	130	111	183	125	84	314	119	152	123	49	140	44	77	37	50	39	36	40	100	31	47	61	36	29	23	30	19	16	13	17	9	7	15	9	16	11	15	6	3	3	8	5	2	7	9	3	11	15	4	6	12	6	2	12	3	8	2	4	6	9	4	2	2	1	1	0	4	1	0	0	0	3	0	0	0	1	0	0	2	0	0	0	1	0	0	3	0	1	2	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2689	1090	5598	1171	275	728	535	141	618	212	291	223	379	41	90	40	288	122	28	48	26	148	87	25	292	97	125	100	14	129	23	62	13	26	20	7	19	92	8	40	55	29	21	13	27	15	10	5	9	0	4	11	3	13	2	10	5	2	0	5	3	0	3	8	2	8	14	0	1	9	1	2	12	2	7	0	4	6	9	1	0	1	1	1	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
