label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136
0.03	north1_all	80	1806	1705	950	406	451	463	208	171	153	111	193	203	92	89	151	72	46	43	161	144	27	29	36	48	21	23	32	18	23	21	16	17	31	43	12	7	10	4	10	9	6	17	6	2	25	4	4	20	9	3	4	0	14	2	3	2	7	2	7	1	4	1	4	3	0	0	1	2	0	0	2	0	1	0	1	1	0	3	1	3	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	806	1010	538	179	256	260	93	75	82	36	112	110	54	40	95	28	27	16	102	100	19	16	19	31	11	9	25	9	13	9	12	12	20	31	8	3	3	2	8	5	2	9	3	2	18	3	2	15	5	2	1	0	12	1	2	0	5	0	2	0	1	1	3	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	1832	1721	972	397	463	491	228	171	147	112	200	174	98	100	147	74	43	42	168	168	27	37	33	49	20	25	26	25	20	15	23	22	34	37	8	8	15	5	10	8	7	19	5	4	25	3	3	22	8	4	6	0	20	1	4	2	6	2	5	1	4	2	3	3	0	2	3	3	0	0	0	0	0	1	0	0	0	3	5	3	0	2	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	813	1048	536	181	274	287	105	73	77	41	119	111	65	47	93	29	24	18	111	127	17	20	18	28	12	13	19	12	12	5	16	15	25	26	4	3	8	1	8	5	3	11	4	2	16	1	2	17	5	2	2	0	16	1	2	1	4	0	2	0	1	1	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	2	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1784	1803	978	408	457	455	238	166	155	103	189	166	90	106	154	71	50	49	166	138	35	33	31	51	19	25	26	24	20	11	22	22	35	29	8	13	15	5	5	6	9	15	4	5	26	3	3	7	5	4	9	1	20	2	3	3	4	0	4	1	4	3	1	3	0	2	4	1	0	0	0	0	4	1	3	0	1	1	5	1	0	2	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	796	1115	544	199	274	257	109	77	84	47	117	113	61	56	95	30	28	21	105	105	17	19	17	32	10	12	19	13	12	8	14	15	26	21	3	4	8	1	3	2	4	9	3	2	17	1	1	3	4	3	3	0	16	2	1	1	3	0	1	0	1	2	0	1	0	0	2	0	0	0	0	0	4	1	2	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1810	1838	929	371	458	466	236	162	152	110	212	165	87	120	178	61	48	50	130	142	43	34	30	58	20	24	17	23	27	14	24	25	30	21	8	17	17	6	4	7	8	20	3	5	28	1	5	7	4	4	9	2	11	1	5	9	4	2	1	1	2	2	1	0	4	2	3	1	0	0	0	0	4	1	3	1	1	2	5	1	0	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	792	1124	522	185	271	268	107	77	77	53	139	102	57	65	116	27	26	24	77	104	22	17	20	35	8	12	11	12	17	10	15	15	22	12	1	8	10	3	2	2	6	13	2	1	14	0	2	4	1	3	3	1	9	1	2	6	3	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	4	1	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1795	1858	908	392	456	462	223	149	154	102	193	177	105	105	149	61	47	55	127	133	44	29	28	63	13	24	21	21	33	15	14	19	24	19	8	14	15	6	7	8	9	21	3	7	24	1	4	5	4	6	7	2	4	1	5	9	4	2	2	2	0	1	1	0	4	0	1	1	1	0	0	0	4	0	3	1	2	2	5	0	0	0	2	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	794	1114	515	195	272	277	103	67	75	48	126	116	54	55	102	28	31	24	55	93	22	13	21	38	3	14	11	8	19	11	7	8	18	9	1	7	9	4	5	3	6	12	2	1	14	0	1	2	0	4	3	1	2	1	3	5	3	0	1	1	0	1	0	0	4	0	0	0	0	0	0	0	4	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
