label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	59507	21519	11709	5840	3631	6084	1842	1443	1840	726	1207	446	793	522	179	156	156	87	69	63	52	39	62	18	13	4	12	5	9	5	6	8	2	1	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	43145	14114	7446	2683	947	5264	551	669	1488	258	1040	181	679	460	45	60	101	27	19	22	23	21	52	8	6	3	7	2	6	0	2	3	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	59184	21511	11703	5843	3528	6176	1862	1447	1878	741	1256	430	794	463	198	157	161	87	59	59	57	42	75	16	16	10	11	7	10	5	4	11	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	42914	14061	7472	2723	904	5385	543	666	1523	266	1087	171	687	397	44	62	99	23	16	20	28	21	62	6	7	4	7	1	8	2	1	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	59391	21309	11769	5929	3558	6009	1741	1405	1830	713	1222	429	783	472	209	138	149	88	66	64	57	32	73	15	21	12	9	10	10	5	5	12	2	0	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	42987	13896	7585	2761	902	5211	549	649	1494	248	1055	162	675	396	46	57	93	24	18	19	27	18	61	6	7	4	7	4	8	4	1	7	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	59709	21346	11730	5897	3508	6139	1751	1404	1853	708	1213	433	806	419	221	147	124	84	69	55	50	35	73	18	18	12	7	9	7	9	9	8	5	0	2	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	43359	13819	7490	2730	897	5331	544	634	1500	242	1040	173	700	334	47	68	67	28	22	12	23	19	62	6	6	4	3	4	7	5	6	6	3	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	59481	21442	11693	5955	3553	6115	1773	1395	1778	710	1164	455	768	431	222	148	106	100	79	58	57	41	65	18	13	19	11	9	9	10	9	5	5	0	3	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	43146	13943	7447	2746	903	5307	558	665	1443	232	982	186	665	345	55	68	59	36	22	8	28	25	53	5	4	10	3	4	6	5	7	4	2	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
