label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	32225	34582	8537	5922	3479	3619	3171	1136	1662	1077	554	681	546	383	291	185	130	68	61	96	75	43	27	21	35	13	8	5	8	2	6	3	4	3	2	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	14709	21939	4315	3158	1735	2153	2021	526	1008	665	299	401	370	245	155	98	70	42	28	58	48	25	15	8	22	9	3	4	4	1	1	1	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	32176	34223	8520	5867	3442	3722	3052	1125	1606	1037	586	580	535	384	259	195	127	70	68	134	51	42	25	24	31	14	11	4	7	1	7	2	5	2	1	1	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north2_active	80	14581	21694	4284	3075	1729	2181	1920	521	942	628	317	330	342	241	128	106	66	41	32	95	34	25	12	11	17	9	4	3	3	1	2	1	3	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	32452	32640	8295	5755	3418	3529	2897	1101	1558	1012	533	604	558	399	229	208	131	76	76	136	53	36	30	29	23	12	13	3	5	5	5	1	3	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north3_active	80	14601	20672	4105	2938	1685	2027	1784	494	917	572	283	328	326	240	119	112	61	36	35	90	33	18	15	14	12	6	5	1	2	4	3	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	32609	30866	8218	5567	3418	3292	2755	1078	1473	1031	535	574	535	391	236	203	131	78	78	129	49	33	32	28	15	10	12	4	4	5	4	0	2	0	2	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	2	1
0.03	north4_active	80	14702	19351	3980	2737	1591	1888	1651	489	841	577	289	331	283	244	132	111	55	31	37	81	26	15	14	14	7	4	7	2	2	4	3	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	32540	29578	8005	5313	3376	3184	2661	1097	1457	1012	494	597	557	360	268	195	133	79	69	107	59	36	30	32	19	5	13	6	4	5	4	0	3	0	1	0	1	2	3	1	2	0	0	0	0	0	0	0	0	0	0	1	2	1
0.03	north5_active	80	14709	18626	3755	2600	1545	1807	1575	483	853	555	258	336	303	220	153	102	56	29	34	61	25	17	11	17	12	0	8	3	2	4	3	0	2	0	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_all	80	32607	29756	7989	5347	3425	3108	2645	1106	1490	1006	520	572	532	358	275	207	105	71	59	107	59	35	23	25	19	9	10	7	4	4	5	0	1	2	1	1	1	2	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1
0.03	north6_active	80	14758	18744	3743	2614	1568	1768	1574	504	878	551	262	320	322	226	163	121	48	28	23	68	27	15	6	12	11	1	6	4	2	3	2	0	1	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_all	80	32543	31683	8276	5502	3453	3294	2834	1134	1508	1015	534	572	541	349	277	222	98	78	57	124	67	37	23	21	22	13	8	6	5	5	4	2	2	5	0	2	1	1	3	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north7_active	80	14671	20119	3867	2808	1643	1886	1723	540	909	560	255	326	326	220	148	128	50	32	25	76	30	14	11	10	12	4	4	3	3	2	1	1	2	4	0	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	32599	33443	8467	5664	3451	3376	2854	1160	1634	1009	572	611	535	350	289	231	96	72	71	114	73	27	26	24	16	15	11	8	8	5	4	2	5	6	0	3	2	0	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	14843	21170	4061	2928	1675	1899	1734	543	1017	576	271	351	319	216	150	145	54	37	38	65	47	9	11	12	9	5	4	4	4	2	2	1	5	5	0	1	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	32504	34824	8704	5829	3455	3464	2960	1131	1717	996	571	640	550	363	302	230	127	79	67	113	68	30	29	29	20	19	8	7	5	7	4	4	5	12	0	2	2	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north9_active	80	14735	22200	4263	3040	1700	1965	1815	545	1060	580	274	383	332	228	150	136	61	41	36	64	42	11	12	12	10	8	3	4	2	2	4	2	5	11	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	32451	35144	8633	5900	3414	3576	2843	1162	1728	1003	591	701	528	388	332	240	142	88	59	108	86	27	28	31	23	19	7	6	5	8	6	4	6	7	2	2	2	1	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	14805	22247	4348	3158	1673	2063	1704	542	1069	583	289	439	311	242	184	150	66	49	33	45	48	14	11	17	16	8	3	3	2	5	4	1	4	7	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	32421	34782	8633	5892	3633	3664	3083	1199	1668	1112	586	739	577	409	292	192	131	98	52	127	91	36	28	27	29	13	11	13	4	7	5	5	4	1	1	2	7	2	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north11_active	80	14649	21975	4335	3091	1833	2181	1874	571	1004	703	320	464	372	253	169	102	64	45	20	73	67	17	10	17	23	8	5	4	2	1	1	2	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_all	80	32365	34173	8539	5910	3506	3609	3087	1233	1641	1148	579	674	550	385	285	213	96	90	53	120	78	37	32	27	27	7	8	11	8	10	4	3	2	2	1	2	7	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	14525	21540	4240	3101	1748	2171	1862	579	967	726	326	419	349	236	161	120	45	37	23	57	50	16	13	16	18	5	4	5	4	2	1	2	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
