label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	5589	2414	3023	735	456	344	910	286	109	83	105	45	42	22	19	27	12	9	5	5	7	4	5	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2584	1202	2611	315	227	128	845	240	31	32	72	9	27	10	5	14	5	4	0	1	2	1	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5506	2355	2526	714	474	352	747	233	113	67	96	49	37	22	23	26	11	8	6	7	5	3	6	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2346	1088	2064	296	223	137	683	181	26	21	59	12	20	9	4	12	5	5	1	2	0	2	0	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5605	2324	2700	699	468	366	713	307	106	77	76	47	38	21	23	21	10	8	5	6	4	5	5	0	3	0	4	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2450	1116	2247	290	232	137	634	253	22	28	43	17	19	10	6	10	2	3	1	2	0	2	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5759	2406	3193	668	523	369	899	392	108	90	85	48	42	24	20	22	10	8	7	6	2	5	4	0	6	0	6	2	0	0	0	0	0	0	2	0	0	0	0
0.03	north4_active	80	2743	1267	2744	281	278	150	834	338	26	39	55	15	19	11	6	10	4	3	1	1	2	2	0	0	6	0	4	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north5_all	80	5759	2513	3729	692	523	360	1056	432	101	93	93	45	45	31	19	17	13	7	5	6	3	4	2	0	6	0	6	2	0	0	0	0	0	0	8	0	0	0	0
0.03	north5_active	80	2933	1396	3335	298	295	171	992	376	30	41	66	15	26	22	8	7	4	2	1	2	2	1	0	0	6	0	4	0	0	0	0	0	0	0	8	0	0	0	0
0.03	north6_all	80	5781	2591	3856	694	562	361	1148	467	108	98	98	43	45	33	20	17	13	6	6	5	4	2	2	0	5	1	4	1	0	0	0	0	0	0	8	0	0	0	0
0.03	north6_active	80	3013	1433	3481	315	309	178	1091	396	32	48	73	12	30	23	8	8	3	1	0	1	2	1	0	0	4	1	4	0	0	0	0	0	0	0	8	0	0	0	0
0.03	north7_all	80	5802	2554	3764	747	553	350	1289	426	103	92	100	39	40	33	17	17	12	6	4	5	5	2	1	1	3	1	1	0	0	0	0	0	0	1	6	0	0	0	0
0.03	north7_active	80	3025	1383	3413	337	317	180	1216	351	30	39	74	7	27	22	6	8	3	2	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	0
0.03	north8_all	80	5794	2535	3728	755	577	337	1262	416	117	85	90	33	44	27	16	19	9	7	4	3	4	2	1	1	4	1	1	0	0	0	0	0	0	1	6	0	0	0	0
0.03	north8_active	80	2977	1374	3348	337	332	166	1183	349	35	36	66	6	26	13	6	14	3	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	0
0.03	north9_all	80	5863	2540	3770	756	566	328	1282	391	123	81	99	43	39	25	12	24	11	7	7	6	3	1	1	1	4	3	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	3031	1419	3386	327	329	151	1209	336	39	38	72	10	19	8	4	16	5	3	4	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5798	2536	3627	737	573	317	1405	406	116	100	104	39	42	24	16	28	16	7	7	5	4	2	2	1	3	2	0	0	0	0	0	1	0	1	0	0	0	0	1
0.03	north10_active	80	2950	1432	3255	321	324	140	1348	356	41	52	74	10	23	8	6	21	6	2	4	2	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north11_all	80	5661	2441	3108	725	548	339	1209	436	125	98	91	35	30	33	24	20	11	10	5	7	8	7	2	0	4	2	4	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	2752	1269	2675	320	289	131	1132	380	34	45	63	9	18	14	5	16	2	3	4	1	2	4	1	0	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	5544	2346	2755	672	515	334	1035	372	115	91	80	42	32	23	20	17	11	15	5	4	9	6	2	0	8	1	3	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	2544	1163	2302	289	251	132	961	314	23	39	56	9	17	7	3	12	2	4	3	0	2	3	1	0	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	5399	2376	2746	660	502	330	788	336	107	79	85	43	29	22	18	23	16	14	3	3	7	2	1	0	4	0	3	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north13_active	80	2404	1220	2307	278	233	129	715	274	22	28	54	9	15	5	2	17	2	3	0	0	1	0	0	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_all	80	5557	2427	3172	702	557	332	998	431	112	75	97	50	35	24	22	24	15	16	6	4	4	1	1	1	4	0	1	1	0	0	0	0	1	0	0	1	0	1	0
0.03	north14_active	80	2617	1316	2755	317	285	147	928	370	31	26	67	11	17	10	1	18	0	2	2	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_all	80	5619	2540	3586	762	557	329	1194	444	121	78	90	51	34	32	18	18	13	11	7	3	2	5	2	1	4	0	1	1	0	0	0	0	1	0	0	1	0	1	0
0.03	north15_active	80	2808	1485	3196	369	275	160	1127	388	40	31	61	11	16	15	3	15	0	1	3	1	1	3	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	5827	2553	3768	772	578	321	1259	500	123	85	99	54	43	42	22	11	10	10	7	5	3	5	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0
0.03	north16_active	80	2998	1504	3363	383	301	156	1187	449	44	39	69	15	27	23	5	9	2	2	4	2	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	5937	2540	3767	776	545	308	1165	476	112	96	93	52	53	37	21	13	9	12	7	5	5	4	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north17_active	80	3075	1466	3365	369	277	151	1093	430	33	46	62	14	36	20	4	11	3	3	3	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	5974	2541	3815	734	538	325	1182	485	109	86	102	49	55	29	20	15	9	8	6	7	7	3	4	1	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north18_active	80	3090	1454	3388	349	285	162	1104	434	28	40	70	14	40	16	4	13	4	2	2	2	2	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	5950	2470	3847	770	533	345	1205	454	105	80	97	38	49	21	19	19	7	10	5	6	8	0	2	1	0	2	0	1	1	0	0	0	1	1	0	0	3	0	2
0.03	north19_active	80	3018	1390	3427	344	287	166	1130	405	29	34	64	10	34	10	1	15	2	2	1	2	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	3	0	2
0.03	north20_all	80	5956	2510	3777	792	541	351	1184	431	102	64	90	39	50	19	20	23	9	10	3	6	6	0	4	3	0	2	0	1	0	0	0	0	0	1	0	0	3	0	2
0.03	north20_active	80	3077	1432	3354	351	299	165	1117	377	31	30	65	12	32	9	3	14	3	1	2	4	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2
0.03	south21_all	80	5897	2591	3626	753	521	358	1189	486	103	72	103	40	56	37	18	17	8	6	8	4	3	2	1	2	3	1	3	1	1	0	1	0	0	0	0	0	1	0	0
0.03	south21_active	80	3060	1475	3244	330	287	179	1142	430	36	40	72	11	38	22	5	13	1	1	3	1	0	2	0	1	3	0	2	1	1	0	1	0	0	0	0	0	1	0	0
0.03	south22_all	80	5986	2586	3605	759	518	339	1208	467	99	84	91	40	46	37	18	23	9	4	10	4	4	2	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	3087	1455	3222	331	281	169	1154	412	33	46	61	10	26	23	5	18	2	1	5	1	1	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	6038	2562	3597	728	528	300	1317	500	106	89	94	43	40	36	19	33	12	3	11	5	6	2	4	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	3092	1407	3213	318	269	158	1260	434	34	46	66	10	23	21	4	24	3	1	8	1	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	6135	2570	3652	745	534	324	1252	512	110	93	96	47	35	35	18	26	12	5	12	6	5	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	3082	1449	3251	325	286	174	1192	446	34	42	66	9	21	16	3	17	4	2	10	1	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	6139	2553	3723	759	561	343	1356	531	107	101	90	51	39	30	22	25	10	4	11	4	6	1	2	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_active	80	3086	1438	3292	355	307	178	1293	467	31	46	60	14	24	12	2	15	3	1	10	1	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	6130	2549	3746	747	568	359	1364	520	115	89	84	53	30	30	19	15	7	4	6	4	4	3	1	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	3148	1481	3316	364	329	188	1300	459	40	34	59	18	20	15	2	6	3	1	4	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	6037	2495	3691	735	590	382	1360	492	108	88	86	47	36	27	20	17	5	4	6	4	4	5	1	1	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south27_active	80	3086	1419	3264	354	342	192	1287	431	38	32	66	17	22	15	1	9	1	0	4	3	1	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	5791	2404	3238	728	557	343	1169	420	123	89	94	45	27	35	15	21	9	5	5	3	2	5	1	1	3	2	1	1	1	1	1	0	0	0	0	1	0	0	0
0.03	south28_active	80	2856	1309	2821	336	309	156	1093	357	39	35	67	17	12	23	1	9	4	1	2	3	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south29_all	80	5675	2328	2793	744	541	326	964	353	140	96	77	38	29	36	10	19	11	6	9	3	2	4	2	1	1	2	1	2	1	1	0	0	1	0	0	1	0	0	0
0.03	south29_active	80	2641	1194	2352	319	295	152	880	289	43	36	51	12	14	23	1	12	6	1	4	2	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0
0.03	south30_all	80	5505	2245	2534	744	481	325	695	324	127	103	76	45	30	35	12	21	14	11	11	3	1	2	1	0	0	2	0	2	1	1	0	0	1	0	0	1	0	0	0
0.03	south30_active	80	2388	1089	2078	295	245	140	609	258	33	41	43	12	11	21	2	11	8	2	6	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	south31_all	80	5849	2507	3827	718	592	310	1236	506	97	106	88	50	62	34	20	31	14	9	9	3	6	1	3	0	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	2974	1433	3431	341	341	144	1165	451	30	42	65	15	27	22	9	19	4	1	9	1	3	1	1	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	5886	2606	3846	701	579	310	1243	472	88	112	79	46	55	32	22	29	15	10	11	4	7	2	4	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	3024	1476	3431	329	325	143	1177	415	27	49	60	14	27	21	9	18	5	2	10	1	4	2	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	5812	2560	3734	710	596	313	1146	501	81	101	105	50	53	37	17	22	13	13	13	3	4	3	2	0	1	0	10	2	2	0	0	0	3	0	0	0	0	0	0
0.03	south33_active	80	2940	1442	3338	328	317	145	1080	438	26	45	79	17	24	24	9	11	3	4	11	0	3	3	0	0	1	0	10	2	0	0	0	0	3	0	0	0	0	0	0
0.03	south34_all	80	5683	2575	3760	756	588	312	1106	527	101	95	91	44	38	29	17	15	11	14	9	6	4	3	4	2	1	1	10	2	2	0	0	0	3	1	0	0	0	0	0
0.03	south34_active	80	2888	1460	3362	355	292	133	1053	462	32	40	64	13	17	13	7	10	4	6	6	3	3	2	0	2	0	1	10	2	0	0	0	0	3	0	0	0	0	0	0
0.03	south35_all	80	5813	2489	3757	786	595	309	1094	578	104	80	91	40	40	27	19	15	15	11	12	5	2	2	6	2	1	1	10	2	2	1	0	0	3	1	0	0	0	0	0
0.03	south35_active	80	2956	1398	3350	378	306	147	1040	515	32	30	67	11	19	12	8	11	5	6	8	4	0	1	1	2	0	1	10	2	0	0	0	0	3	0	0	0	0	0	0
0.03	south36_all	80	5840	2476	3748	764	555	309	1190	527	112	72	92	46	44	26	20	10	14	8	9	5	2	1	6	2	1	1	3	0	2	1	0	1	0	2	0	0	0	0	0
