label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	79844	14842	8153	9367	7644	3038	1532	1730	890	1208	605	461	279	255	358	126	136	98	78	49	62	28	19	18	18	7	5	8	5	7	10	5	1	2	1	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	67920	4215	1955	7473	6568	1948	363	1275	368	985	353	327	89	134	304	48	96	58	49	16	50	9	3	2	17	3	1	4	2	7	10	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	80471	14671	8144	9362	7462	3080	1525	1688	919	1266	590	480	284	255	341	140	131	91	77	45	55	31	22	14	35	7	7	9	7	15	11	5	3	1	3	2	0	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	68535	4124	1979	7432	6399	1967	363	1270	390	1062	335	326	94	142	281	55	102	51	48	9	43	10	2	2	32	5	1	4	3	14	10	1	0	1	1	1	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	80124	14857	8278	9553	7376	3120	1510	1743	936	1402	531	523	282	234	398	144	157	87	99	48	59	41	19	16	46	5	6	6	3	15	12	1	2	1	2	5	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	68140	4062	2010	7614	6325	1985	360	1317	389	1198	304	358	99	124	345	58	115	44	77	9	46	13	7	4	43	2	1	3	1	14	8	1	0	1	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	79762	14920	8251	9444	7400	3077	1483	1718	926	1544	548	517	285	248	392	138	167	88	92	48	63	38	20	19	45	8	7	7	3	18	10	0	2	2	4	4	0	5	0	1	0	0	0	0	0	0	1	1	0	1	0	0
0.03	north4_active	80	67698	4051	1919	7506	6364	1961	344	1271	405	1341	320	348	112	128	340	58	117	42	70	14	51	15	8	6	42	2	2	5	1	17	6	0	0	2	1	4	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north5_all	80	79885	15037	8199	9430	7663	3062	1496	1734	926	1521	572	566	278	247	344	116	160	95	97	48	66	41	28	21	64	10	6	10	6	7	8	0	2	2	2	4	0	1	2	1	0	0	0	0	0	0	1	1	0	1	0	0
0.03	north5_active	80	67647	4083	1876	7479	6624	1928	354	1274	384	1320	345	390	123	134	296	42	112	45	79	19	50	15	16	7	61	2	3	6	1	7	5	0	0	2	1	4	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north6_all	80	79307	15083	8181	9207	7498	3039	1556	1696	887	1424	591	548	268	251	295	112	165	94	92	39	69	35	25	16	58	15	4	10	5	6	6	0	1	3	2	4	0	1	21	1	0	0	0	0	0	0	1	1	0	1	0	0
0.03	north6_active	80	67145	4157	1842	7301	6410	1933	388	1218	371	1217	355	375	116	130	252	44	119	48	67	19	48	18	12	5	53	9	2	6	0	6	4	0	0	2	1	4	0	1	21	1	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north7_all	80	80013	14929	8132	9051	7745	3017	1606	1774	905	1376	605	498	269	253	307	113	160	96	83	32	65	41	30	17	72	21	8	8	5	7	6	0	1	4	0	0	1	3	21	1	0	0	0	0	0	0	0	0	0	0	0	0
