label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76
0.03	north1_all	80	7657	4507	1631	1115	1887	680	711	632	298	281	461	151	157	128	125	115	65	90	90	106	71	81	40	33	25	26	11	13	17	23	20	13	3	12	5	11	4	11	9	8	3	6	7	12	3	2	5	4	2	4	1	1	0	0	1	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	4243	2728	815	560	1184	330	444	387	158	140	281	79	87	69	62	66	33	59	58	69	46	58	21	21	13	12	7	6	7	18	8	8	1	5	3	8	2	7	4	5	0	3	6	11	1	2	3	4	2	3	0	1	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	8064	4760	1691	1170	2070	710	784	681	284	285	489	156	158	136	138	122	71	96	98	128	60	93	36	30	26	22	20	15	19	16	28	9	4	12	8	11	7	14	13	9	2	8	9	7	5	0	1	6	3	3	0	1	0	3	1	0	0	2	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	4580	2887	854	591	1331	371	482	425	145	145	313	81	85	71	77	67	37	65	69	85	36	68	22	18	16	10	14	9	11	12	12	5	1	5	3	9	3	12	5	5	0	5	8	5	2	0	0	6	3	3	0	1	0	3	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	8494	5034	1715	1226	2179	750	855	716	285	272	515	145	160	125	146	135	75	104	111	155	52	103	25	28	26	18	24	18	16	14	30	8	4	17	10	11	9	10	9	12	2	8	6	3	4	1	0	7	1	1	5	7	0	4	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	4934	3089	879	647	1386	407	552	458	138	148	355	72	85	61	74	74	38	61	75	113	36	68	12	18	13	8	18	12	9	9	17	5	2	8	3	7	4	7	2	8	0	5	5	1	1	0	0	7	1	1	0	7	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	8898	5193	1731	1279	2335	746	899	737	310	271	523	145	172	135	151	146	73	117	120	170	61	91	24	21	24	22	18	20	19	10	33	7	6	19	6	14	8	11	9	11	3	9	5	1	4	2	0	3	1	0	6	6	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5279	3212	886	688	1537	420	576	451	148	143	376	73	96	74	80	78	35	69	81	122	47	50	14	14	13	9	14	13	9	5	19	4	3	11	1	10	4	7	2	7	1	7	5	0	2	0	0	3	1	0	1	6	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8809	5178	1773	1237	2331	770	893	721	313	271	574	146	172	126	155	152	89	131	105	156	75	83	33	29	18	17	21	17	13	14	30	7	6	20	6	12	7	9	5	8	5	4	4	3	4	2	1	4	0	5	6	7	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5207	3168	894	691	1552	444	577	422	149	154	398	65	90	60	80	81	43	76	72	108	57	44	19	19	6	5	13	7	5	6	21	4	4	11	2	10	4	6	1	6	1	3	4	1	2	0	0	3	0	5	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8720	5189	1740	1229	2335	744	962	714	315	297	538	154	165	129	172	154	80	139	106	130	108	79	36	38	14	30	21	15	13	18	32	7	7	10	4	9	8	9	6	5	6	4	3	3	3	2	1	1	0	9	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	5156	3238	869	678	1572	422	613	422	159	162	344	66	82	64	97	88	37	76	68	84	81	50	19	20	2	12	10	6	5	9	22	4	3	6	2	6	2	6	1	3	2	3	3	1	2	0	0	0	0	9	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	8749	5261	1802	1218	2372	741	983	765	302	288	572	151	160	122	167	139	80	139	95	149	119	78	46	41	19	36	32	14	11	19	34	9	7	7	7	7	10	8	11	8	5	3	7	4	2	3	1	2	0	11	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	5077	3355	885	656	1600	419	654	484	160	156	377	59	79	61	87	78	37	74	64	95	82	56	26	24	4	12	17	6	4	9	27	6	2	4	5	3	3	4	4	2	2	2	5	1	1	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	8526	5033	1774	1201	2240	706	967	733	290	277	504	153	164	105	173	125	80	142	99	137	119	70	48	41	25	39	31	13	12	16	28	12	7	8	6	10	11	5	16	11	4	2	8	3	2	2	2	3	0	12	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	4906	3221	870	643	1487	400	620	470	150	149	330	68	77	52	86	80	34	81	64	93	84	55	28	24	8	15	16	7	3	7	22	7	3	4	5	2	4	2	12	4	2	1	6	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	8213	4712	1733	1192	2076	699	890	705	294	268	486	145	157	109	175	134	73	109	95	157	94	85	49	44	27	34	32	11	13	14	25	11	4	6	7	8	10	3	16	11	1	8	10	3	3	2	1	2	1	6	1	0	2	1	1	0	2	4	0	1	2	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0
0.03	north9_active	80	4643	2945	834	598	1364	398	565	448	145	152	317	75	79	53	98	87	34	61	63	116	62	67	31	29	11	17	18	9	5	6	20	5	2	2	4	2	5	1	12	4	1	6	5	0	2	1	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north10_all	80	8020	4437	1737	1154	1916	671	841	661	285	280	466	150	166	97	165	137	73	97	98	145	77	87	39	42	23	29	24	15	9	10	11	13	6	11	6	9	7	5	13	7	2	8	6	3	2	1	1	2	1	6	0	2	2	1	1	1	2	5	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0
0.03	north10_active	80	4500	2695	833	584	1276	369	511	403	136	152	302	73	88	45	98	84	34	55	58	99	52	64	28	24	11	12	12	8	5	5	5	9	4	4	3	2	3	2	9	5	0	7	3	0	1	1	0	0	0	4	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north11_all	80	8333	4796	1702	1154	2016	724	819	675	312	255	487	159	206	117	165	139	83	124	97	118	73	73	26	22	19	27	31	12	8	12	11	8	10	6	4	9	6	11	6	4	1	4	5	2	2	2	0	1	0	1	3	1	6	0	0	1	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	4862	2957	846	597	1277	371	521	419	139	123	313	60	106	61	107	96	34	83	56	87	41	56	14	11	11	13	16	7	6	3	6	2	5	3	0	4	5	7	5	1	0	3	2	1	1	2	0	1	0	0	3	1	3	0	0	1	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8586	5065	1747	1218	2200	719	904	709	302	273	527	155	219	118	173	156	78	128	98	117	90	76	28	23	21	24	27	21	11	14	15	8	9	6	4	10	12	11	6	4	1	5	6	2	3	3	0	1	2	8	3	2	3	0	0	2	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north12_active	80	4987	3139	888	643	1438	387	565	442	147	140	349	56	118	61	117	98	34	86	51	84	59	55	11	13	13	15	14	10	8	5	11	2	5	3	1	5	7	8	5	1	0	4	1	1	2	2	0	1	2	7	3	2	3	0	0	2	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8708	5220	1798	1205	2290	744	914	731	285	292	568	163	234	120	160	158	77	124	101	119	87	64	39	28	23	24	25	23	9	10	13	15	11	6	6	9	12	9	6	3	4	6	7	3	1	3	0	0	3	8	0	2	2	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_active	80	5058	3220	934	619	1526	391	578	461	140	161	369	75	140	62	102	90	32	89	56	76	63	40	17	14	16	16	17	10	6	6	10	2	8	2	1	6	6	7	5	2	1	5	4	2	1	2	0	0	2	7	0	2	2	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8768	5213	1783	1182	2313	731	881	734	282	290	638	161	225	125	169	147	72	121	110	127	83	60	45	29	28	26	29	24	11	13	14	14	9	7	9	8	10	9	15	2	3	6	11	3	1	4	0	0	3	7	0	2	1	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0
0.03	north14_active	80	5090	3293	920	626	1556	392	554	475	141	170	423	74	132	67	98	80	39	87	61	82	62	27	20	15	15	19	18	12	6	6	10	2	7	3	2	6	5	8	13	1	1	5	7	2	1	3	0	0	2	7	0	2	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	8699	5197	1774	1179	2258	725	930	791	288	287	572	160	211	125	168	130	61	128	118	127	76	60	40	24	30	29	30	20	14	15	11	15	9	9	10	10	7	7	19	3	4	5	8	3	0	3	0	0	3	4	0	1	4	0	1	0	0	2	0	0	0	0	4	1	0	1	0	0	1	0	0	0	1	0	0	0	0
0.03	north15_active	80	5109	3290	915	609	1476	375	575	508	139	165	373	84	124	62	97	67	37	81	63	73	59	29	20	14	13	19	19	8	9	6	5	4	6	4	4	9	5	7	12	2	1	4	7	3	0	2	0	0	2	2	0	1	4	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0
