label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north1_all	80	48074	28435	10688	10342	7025	5171	3342	1508	2108	1048	1271	748	801	493	795	375	251	450	179	304	183	134	199	189	117	70	122	70	57	78	40	34	35	30	44	31	18	17	23	16	13	10	10	6	4	6	2	1	15	3	1	1	0	1	2	2	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	28964	17965	6158	6441	4289	3197	1971	728	1230	463	739	343	436	251	455	213	118	249	86	172	91	61	123	127	72	26	67	37	26	50	20	17	26	14	37	14	10	14	17	8	8	5	6	4	2	4	1	0	6	1	1	0	0	0	2	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	47863	28234	10637	10300	6964	5261	3345	1520	2241	1028	1195	747	874	491	821	380	257	431	196	287	200	132	189	193	114	74	105	70	58	68	36	34	50	31	30	34	15	18	17	11	14	11	12	6	2	6	4	3	13	2	1	1	0	1	3	2	1	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	28646	18196	6066	6428	4237	3296	2033	720	1290	443	686	352	474	253	505	215	118	246	95	170	104	55	117	128	67	27	52	37	25	39	18	17	31	17	22	18	7	15	14	5	8	7	6	3	1	5	3	2	2	1	1	0	0	0	2	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	48056	27802	10553	10304	6841	5134	3454	1539	2251	976	1168	763	858	494	803	386	254	413	186	281	188	126	187	184	106	71	97	73	56	65	33	38	62	22	32	29	18	20	18	8	15	11	11	4	6	7	6	3	5	2	1	1	2	3	2	2	1	0	1	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	28874	17851	5881	6373	4154	3249	2154	700	1296	430	673	367	463	243	490	205	112	234	86	169	97	44	119	120	56	32	45	39	24	35	18	18	27	12	18	20	9	15	13	2	9	6	6	1	3	5	5	3	2	1	0	0	0	0	1	1	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47845	27485	10311	10326	6804	5205	3437	1545	2224	935	1144	773	871	499	812	397	254	384	179	314	191	122	192	148	105	76	85	67	60	67	32	34	67	23	35	24	12	18	20	10	14	8	13	3	6	5	7	5	5	1	1	2	2	3	3	1	0	0	4	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	28652	17753	5623	6383	4197	3280	2126	702	1331	397	667	386	494	255	521	205	118	225	83	193	92	49	114	87	55	40	49	33	27	40	15	18	29	12	16	17	8	13	11	2	8	3	6	1	4	3	7	3	2	0	0	1	0	1	2	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	47843	27774	10257	10373	6885	5095	3411	1588	2206	964	1127	776	841	495	776	411	262	423	183	292	198	123	195	161	106	68	78	71	58	67	38	39	59	26	31	28	14	15	23	9	15	6	13	4	8	4	7	4	3	1	1	1	2	3	4	1	0	0	4	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	28695	17910	5605	6454	4261	3219	2046	729	1349	395	654	396	464	246	500	215	125	254	79	171	94	48	113	98	57	36	40	39	30	46	16	22	21	12	14	18	9	10	12	1	11	2	6	1	4	2	6	1	2	0	0	1	0	1	2	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	47905	28029	10259	10464	6948	5011	3371	1576	2198	978	1159	783	844	505	774	418	268	377	192	323	184	136	196	169	117	67	77	63	53	72	47	42	46	28	30	27	13	27	18	13	13	5	16	4	10	3	5	7	2	2	1	2	2	6	2	1	1	0	4	0	3	2	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
