label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	north1_all	80	55258	16799	15504	6895	5044	6130	4223	2034	2590	1403	916	801	627	622	854	843	304	426	227	261	214	183	116	120	96	101	73	74	51	50	87	27	47	21	23	22	20	18	9	14	5	6	6	1	3	7	5	2	3	4	6	8	10	1	2	15	2	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	43767	9665	12462	4176	3080	5161	3389	1010	2002	695	234	299	171	361	698	724	59	318	61	159	129	95	41	57	39	68	24	33	24	12	74	7	38	9	3	9	10	4	2	8	1	5	3	0	0	5	3	0	2	2	2	2	9	0	0	15	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	55284	16857	15720	6795	4975	6316	4006	2058	2620	1400	969	805	647	630	874	818	339	431	224	273	201	187	124	113	104	109	67	68	50	54	72	32	45	23	27	21	26	19	11	16	9	10	11	2	6	7	7	2	3	2	7	7	6	0	2	16	0	0	0	0	1	0	2	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	43865	9748	12720	4040	3062	5329	3238	989	2059	692	258	294	177	362	720	704	61	329	61	169	119	92	38	44	46	78	24	39	15	14	58	8	34	10	5	8	15	8	0	10	1	7	9	1	2	4	3	0	2	2	2	1	6	0	0	16	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	55405	16805	15304	6814	4947	6112	3944	2075	2705	1298	964	772	647	636	842	859	326	448	246	262	195	187	138	130	92	109	63	61	46	49	72	34	55	30	29	27	19	20	11	20	11	14	12	4	9	8	6	2	4	2	6	7	7	0	2	7	0	0	1	0	1	0	2	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	44055	9731	12260	4024	2985	5132	3155	990	2154	655	252	275	175	356	693	742	63	332	69	157	114	88	48	56	40	73	20	35	16	12	62	10	38	14	3	5	10	11	1	11	1	10	10	1	7	4	2	0	3	1	2	0	6	0	0	7	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	55409	16581	15254	6840	5048	6147	4104	2060	2738	1257	963	766	644	646	819	833	310	411	249	241	208	199	145	141	93	99	60	69	53	48	59	40	52	39	26	22	19	17	11	17	11	16	20	6	11	6	4	1	7	1	3	6	4	1	1	2	0	0	1	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	44122	9607	12270	4003	3000	5142	3277	959	2177	620	234	271	181	371	667	711	59	293	61	130	124	94	51	70	40	59	20	36	23	10	51	11	40	18	4	6	10	10	3	13	2	9	15	2	7	1	1	0	3	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	55662	16642	15563	6974	5039	6237	4162	1969	2687	1238	959	792	650	627	842	785	294	452	234	240	208	200	152	148	88	94	58	67	44	46	71	33	44	39	25	19	13	15	9	19	8	14	23	7	12	8	3	4	5	1	5	4	3	1	1	2	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	44261	9607	12529	4064	2978	5184	3341	918	2130	621	245	284	186	356	671	640	61	322	62	125	125	94	59	71	40	55	21	37	20	11	62	10	35	15	3	4	7	7	4	15	1	7	19	4	9	3	1	2	2	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	55647	16436	15941	6985	5020	6318	4204	1966	2600	1205	914	825	647	646	861	849	289	445	236	243	201	163	157	144	92	104	56	62	59	53	89	29	51	44	23	13	13	23	10	19	9	8	20	12	8	15	4	5	5	1	4	3	2	1	1	1	0	0	1	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	44352	9395	12944	4130	3012	5255	3387	928	2073	574	238	303	193	374	687	714	64	321	61	124	123	74	63	72	39	61	22	34	30	11	78	11	43	17	4	4	8	10	5	17	2	3	15	8	4	7	1	2	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	55570	16423	16113	6967	5008	6302	4240	1968	2551	1235	922	837	620	654	855	859	272	450	235	244	200	151	157	131	105	120	56	55	66	59	105	26	47	33	27	12	16	18	8	29	14	8	13	12	6	13	4	5	2	0	3	2	2	1	0	3	1	3	0	1	1	2	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	44237	9357	13111	4132	3064	5249	3414	915	2031	589	250	290	174	372	680	727	55	333	63	132	124	71	64	59	47	82	18	27	24	11	93	12	39	14	5	2	9	8	4	25	3	4	9	9	4	7	2	2	1	0	0	2	1	0	0	2	1	3	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	55471	16495	15831	7052	5031	6397	4138	1969	2595	1296	921	834	617	680	862	893	303	394	230	245	206	132	152	116	99	111	61	54	62	59	131	38	57	28	35	12	13	14	10	29	15	7	12	10	3	13	3	3	3	0	3	0	0	1	0	4	1	4	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	44135	9380	12864	4235	3085	5393	3287	919	2091	618	264	277	193	379	710	772	60	279	55	129	128	62	59	54	42	75	16	28	22	14	120	19	44	16	8	4	7	7	4	23	3	4	9	7	2	8	1	2	1	0	0	0	0	1	0	4	1	4	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	55500	16744	15748	6938	5079	6369	4087	2015	2612	1326	926	825	618	646	884	897	303	400	218	221	194	136	143	120	94	110	55	54	60	51	126	38	56	24	33	15	15	11	11	23	12	23	7	8	1	9	2	2	3	1	3	1	0	2	0	4	1	4	0	2	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	43952	9640	12795	4172	3111	5409	3175	941	2116	617	257	279	205	372	737	761	60	289	50	123	111	73	56	63	38	68	11	26	16	12	119	19	43	15	7	5	7	5	4	17	2	20	5	5	1	8	1	2	2	1	1	1	0	1	0	4	1	4	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	55801	16830	15618	6848	5092	6534	4080	2003	2703	1334	950	791	630	667	944	868	321	389	236	222	212	157	121	113	86	93	62	53	50	50	113	43	48	31	29	17	17	12	15	22	8	19	14	9	5	7	2	3	3	7	2	1	1	3	0	2	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	44217	9688	12655	4087	3065	5595	3164	953	2192	647	261	277	202	375	777	726	62	279	61	111	121	87	50	64	31	56	18	27	16	13	107	19	34	20	6	6	5	4	7	17	0	18	9	5	1	6	0	3	1	7	1	1	1	1	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	55159	16386	16100	6826	4965	6063	4297	1962	2718	1301	978	735	641	666	935	878	289	385	229	245	172	161	128	132	95	96	58	67	46	54	71	42	60	31	31	17	16	20	8	23	10	18	6	4	8	4	3	3	2	3	5	3	5	2	3	0	0	1	3	3	0	0	1	0	5	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	43947	9466	13040	4046	3027	5032	3388	913	2159	591	247	260	186	392	751	739	56	281	52	142	102	87	52	79	37	61	16	26	22	10	60	23	48	13	9	6	9	10	3	21	4	14	5	2	5	2	1	2	0	2	0	0	3	1	1	0	0	1	3	1	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
