label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	42132	23078	10813	7179	3910	4647	4469	2002	1785	1186	1145	1258	1348	665	422	383	560	247	286	258	244	140	121	121	176	117	78	61	63	75	85	38	35	38	15	25	20	8	24	8	15	7	14	4	9	5	2	9	4	1	1	2	1	7	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	24512	14080	6124	4014	1954	2848	2755	996	975	611	635	701	847	363	210	175	337	110	167	163	129	73	62	66	120	60	43	33	43	48	57	17	13	20	5	17	15	3	13	4	10	3	6	2	6	3	0	7	2	1	1	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	42370	22990	10764	7124	3844	4676	4570	1934	1764	1182	1190	1224	1358	675	440	395	538	258	285	290	248	143	128	124	168	108	76	53	66	74	71	34	43	42	13	20	22	15	27	6	10	4	8	5	9	4	3	10	5	1	2	5	1	3	2	0	8	1	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	24699	14017	6039	3994	1956	2867	2803	999	985	620	656	718	854	358	206	190	316	122	153	184	137	73	69	70	121	62	45	25	44	49	56	15	20	21	5	9	18	10	11	2	5	2	3	2	5	1	1	8	3	1	1	4	0	2	1	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	42262	23199	10611	7091	3827	4685	4618	1935	1732	1215	1197	1222	1296	650	450	354	514	254	308	269	247	136	130	131	162	110	89	57	73	71	81	28	39	41	16	24	19	19	34	8	10	6	13	9	9	3	2	8	10	1	1	5	1	3	2	0	7	2	1	1	0	2	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	24631	14199	5913	3953	1970	2878	2846	992	947	625	651	724	802	349	206	172	297	125	175	167	130	69	68	81	109	60	59	26	46	46	62	13	22	19	7	14	16	10	20	4	6	3	7	6	7	1	1	7	6	1	0	3	0	2	1	0	7	1	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	42123	23198	10565	6998	3971	4606	4596	1922	1700	1203	1243	1219	1267	639	450	360	496	249	318	266	245	149	130	147	222	100	84	53	92	58	76	28	31	46	17	21	19	22	39	8	10	5	13	13	8	5	3	6	9	0	3	5	1	2	1	0	10	4	2	1	0	2	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	24473	14192	5879	3887	2030	2790	2876	1016	928	640	702	740	785	333	211	166	286	127	184	169	135	84	63	85	137	49	54	27	63	33	50	14	17	19	10	11	13	11	23	4	6	3	9	12	6	3	2	5	5	0	0	3	0	1	0	0	9	3	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	42149	23365	10416	6917	3962	4558	4581	1949	1764	1218	1204	1193	1230	624	429	361	496	242	344	235	231	149	125	137	218	93	80	50	95	67	75	28	32	37	19	18	14	19	37	9	10	12	15	11	4	4	4	4	7	1	2	4	1	2	0	3	11	5	1	2	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north5_active	80	24467	14307	5763	3900	1986	2732	2814	1013	985	616	690	704	758	329	198	175	274	120	193	141	122	78	60	83	123	41	44	21	67	41	47	13	19	15	9	9	7	6	22	3	5	6	11	11	4	2	1	3	4	1	0	3	0	1	0	0	9	4	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
