label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	north1_all	80	4468	2409	1224	1412	429	300	260	180	116	108	53	45	53	35	15	22	7	15	8	5	3	3	3	1	3	0	1	0	1	0	0	3	2	0	0	0	0
0.03	north1_active	80	2177	1352	634	950	239	168	155	95	59	58	31	25	32	24	5	12	2	8	5	2	0	2	3	0	0	0	1	0	0	0	0	3	1	0	0	0	0
0.03	north2_all	80	4413	2432	1217	1446	457	300	259	173	114	104	58	49	48	29	14	20	7	14	5	6	2	0	5	0	3	1	0	0	1	0	0	3	2	0	0	0	0
0.03	north2_active	80	2105	1351	652	956	242	167	150	94	63	61	33	28	28	21	7	10	3	11	2	3	0	0	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0
0.03	north3_all	80	4395	2502	1197	1442	467	295	237	180	111	90	62	57	59	23	10	16	5	13	9	8	3	0	3	2	3	1	0	0	1	0	0	3	1	0	0	0	0
0.03	north3_active	80	2104	1405	660	955	250	174	139	90	62	60	34	29	41	18	7	6	3	10	1	3	2	0	1	2	0	0	0	0	0	0	0	3	1	0	0	0	0
0.03	north4_all	80	4403	2559	1198	1393	482	303	227	170	120	100	71	62	67	24	14	14	7	8	8	7	4	0	2	3	3	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2137	1406	671	880	261	174	126	91	70	66	43	33	47	14	8	6	4	5	1	3	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4413	2496	1190	1328	472	309	232	164	125	102	63	68	60	23	15	14	9	8	9	5	8	0	1	3	3	1	2	1	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	2166	1360	647	824	256	173	122	86	71	61	36	39	36	11	9	6	5	4	2	1	7	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4452	2463	1265	1368	483	331	242	153	128	106	64	53	60	24	18	10	13	7	4	3	8	1	1	2	3	1	2	1	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	2155	1337	699	893	246	184	128	90	76	60	36	33	32	8	8	4	7	2	1	0	6	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4439	2433	1278	1339	492	319	214	150	116	102	52	56	66	30	16	10	13	9	7	0	14	2	3	2	4	3	2	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2142	1348	695	902	272	176	111	91	65	62	26	33	37	12	7	5	8	6	4	0	10	0	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0
