label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	9159	2523	1998	826	600	1843	232	134	114	93	56	38	69	33	90	32	10	12	4	3	4	4	2	2	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0.03	north1_active	80	6754	1356	1454	423	355	1743	79	30	35	54	21	14	56	26	83	24	4	3	1	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	8488	2499	1836	789	597	1671	228	159	101	82	53	42	71	31	62	33	13	11	2	3	4	2	3	3	0	2	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0
0.03	north2_active	80	6064	1298	1317	380	337	1570	76	40	33	42	20	13	57	24	55	25	3	2	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	7779	2445	1659	791	551	1197	223	164	108	83	53	44	64	32	47	31	16	11	5	4	2	2	2	2	1	2	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0
0.03	north3_active	80	5138	1132	1106	335	257	1088	56	47	31	40	13	10	44	23	37	23	5	3	0	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	6935	2305	1510	750	519	857	240	157	116	83	53	44	56	33	42	23	17	6	5	5	1	3	3	2	1	2	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4102	940	919	265	222	733	54	45	27	32	11	8	39	23	34	11	8	1	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6410	2303	1391	742	524	688	248	158	121	78	61	49	41	29	34	23	15	7	6	6	2	2	2	2	4	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3489	826	770	244	196	565	56	39	27	30	12	13	27	21	28	11	6	1	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6410	2232	1397	730	502	673	247	151	132	88	62	46	38	29	37	22	11	6	5	6	5	4	2	1	5	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3427	823	761	246	209	540	61	36	30	39	16	13	23	19	27	13	5	0	1	0	1	1	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6578	2266	1413	722	499	709	233	150	105	91	60	51	38	32	43	21	12	5	6	4	6	2	2	2	4	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3635	854	807	271	211	573	62	39	27	41	18	17	24	17	33	13	5	0	2	0	2	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7073	2304	1470	733	523	754	217	146	115	93	58	51	51	50	49	21	9	6	11	3	5	5	4	2	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	4091	928	879	302	250	615	53	43	29	40	18	13	34	33	41	15	2	1	3	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7324	2335	1523	744	519	825	215	148	113	90	55	56	60	48	65	15	10	6	12	3	5	6	3	3	0	1	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north9_active	80	4459	1026	937	322	263	709	48	44	23	32	16	20	42	32	58	11	2	1	3	1	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	7609	2401	1576	742	517	943	226	156	110	85	49	49	58	45	67	12	10	9	11	6	7	6	4	1	0	0	0	1	3	1	0	0	0	1	0	1	0	0	0	0	0
0.03	north10_active	80	4783	1106	981	322	281	832	55	41	24	33	10	16	45	33	64	10	3	3	2	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_all	80	9087	2569	1931	798	560	1641	232	136	121	99	68	50	87	42	57	25	16	8	6	5	1	4	3	1	2	0	3	2	4	1	0	0	0	1	0	0	0	0	0	1	0
0.03	north11_active	80	6577	1362	1380	375	314	1546	72	25	29	43	18	13	74	30	52	22	5	5	3	3	0	2	2	0	1	0	2	1	4	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	8599	2538	1844	788	550	1448	228	149	120	83	62	49	78	32	57	34	12	6	6	4	4	4	2	1	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	1	0
0.03	north12_active	80	5969	1292	1303	359	295	1342	60	37	29	38	15	10	66	22	52	27	5	3	2	3	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_all	80	8286	2453	1681	821	529	1200	225	160	105	83	68	50	49	36	48	34	11	7	4	4	6	4	3	1	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0
0.03	north13_active	80	5478	1184	1123	374	277	1093	63	45	32	33	17	11	40	23	44	26	4	2	2	3	4	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
0.03	north14_all	80	7689	2389	1579	779	500	1025	232	158	104	81	65	50	56	34	42	30	13	6	4	8	6	3	2	0	1	3	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0
0.03	north14_active	80	4904	1092	1027	322	251	922	59	45	30	29	13	16	45	20	38	21	5	2	2	5	4	1	2	0	1	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north15_all	80	7386	2367	1540	772	500	965	219	165	110	82	68	50	65	28	33	19	17	7	9	12	3	5	2	1	1	4	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0
0.03	north15_active	80	4560	1054	958	304	235	870	55	55	27	25	14	19	55	18	31	14	8	2	3	7	2	1	2	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north16_all	80	6925	2303	1510	787	509	884	215	164	113	89	57	56	63	21	36	12	19	7	9	10	1	4	0	2	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	4120	939	878	295	227	784	55	61	19	26	13	23	53	14	33	9	9	2	2	6	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6828	2291	1494	769	520	878	205	154	116	86	44	50	73	32	57	11	21	7	10	7	2	6	3	2	1	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	4060	897	828	290	229	772	49	55	22	28	10	19	54	24	48	9	8	1	3	5	0	4	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	6976	2374	1582	789	536	843	212	157	102	93	40	43	63	34	50	12	16	8	7	4	3	5	3	1	2	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	4208	923	930	287	243	742	47	53	18	29	10	17	45	24	39	9	4	1	1	3	1	5	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	7291	2377	1589	759	552	976	212	152	101	89	49	40	59	37	48	21	12	6	8	1	4	5	3	1	3	1	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	4595	976	993	291	264	858	45	40	28	31	15	12	40	28	35	12	1	0	1	1	2	5	2	1	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7426	2339	1652	723	515	951	215	165	110	84	57	39	73	32	43	22	12	8	13	0	6	5	0	2	3	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	4774	1013	1054	281	255	838	43	43	29	27	19	13	60	24	35	12	2	1	3	0	4	4	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	9434	2570	2052	767	609	1837	233	142	116	109	65	37	139	64	102	49	11	11	10	3	1	6	1	2	3	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	6966	1328	1539	366	353	1747	83	28	26	63	26	15	132	53	92	37	4	5	1	2	0	4	0	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	9407	2637	2028	787	610	1837	227	149	98	95	63	37	146	59	113	49	10	15	11	3	0	7	0	2	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	6927	1387	1518	373	359	1741	78	27	16	47	25	12	136	49	100	39	2	5	3	2	0	4	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	9258	2681	2013	796	599	1885	209	145	91	99	59	36	100	66	113	43	10	17	7	5	3	6	0	3	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	6815	1428	1489	373	372	1789	67	32	26	43	24	13	93	54	102	35	2	5	3	2	1	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	9294	2726	1949	831	574	1824	210	142	94	104	56	37	82	48	124	39	8	13	5	7	5	7	1	2	1	1	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	6858	1460	1437	400	354	1723	69	30	29	43	23	14	77	39	117	32	1	3	3	2	1	4	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	9307	2641	1971	824	565	1789	211	131	106	95	71	43	69	44	112	29	9	8	1	9	7	7	1	4	2	1	1	1	3	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	6897	1420	1439	412	348	1687	76	31	38	43	31	21	65	35	108	23	1	2	0	5	2	4	1	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	9377	2635	1976	816	559	1738	211	134	102	104	59	47	69	52	108	22	8	9	4	9	7	5	2	2	3	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_active	80	6938	1441	1442	406	341	1632	71	28	37	48	24	22	62	42	106	15	1	3	1	5	1	3	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	9529	2631	2029	808	566	1729	198	133	111	99	57	51	57	56	88	25	13	8	8	8	3	3	3	3	3	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south27_active	80	7015	1445	1476	400	342	1623	65	30	36	43	23	23	48	47	86	16	1	4	2	5	1	2	2	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
