label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112
0.03	north1_all	80	23918	16734	6694	10942	5707	3434	3657	1925	1384	1640	1507	1066	727	1429	755	601	627	399	402	307	489	420	264	321	205	404	310	231	104	192	87	80	57	179	117	56	93	64	72	36	48	29	29	25	14	15	18	18	29	17	16	9	13	8	10	12	6	8	9	8	8	3	1	2	5	2	3	2	2	7	11	1	1	0	1	1	0	5	2	0	1	5	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11123	9651	3042	6831	3237	1862	2192	914	586	936	852	549	329	923	416	325	343	168	247	154	319	255	133	205	94	234	198	132	52	125	30	37	28	120	68	43	65	42	35	17	34	19	13	11	9	8	6	12	14	2	11	3	8	2	6	7	4	3	4	7	7	2	0	0	2	1	1	0	1	5	10	1	0	0	0	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23797	16598	6620	10784	5699	3519	3559	1852	1382	1625	1523	1013	743	1395	760	611	615	402	397	316	463	454	277	331	204	352	340	249	106	167	85	85	60	174	135	52	86	66	78	27	36	32	30	35	18	15	17	22	33	17	18	10	14	10	12	14	12	8	8	11	20	1	3	3	2	3	17	2	1	7	15	1	0	1	0	0	0	5	2	0	1	5	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	11040	9511	2999	6674	3272	1868	2141	893	566	924	833	522	341	832	410	329	340	183	236	150	304	278	146	214	90	205	206	159	57	112	26	44	26	121	78	37	73	45	53	13	22	20	11	13	9	9	6	12	15	5	13	5	8	5	7	9	6	4	3	8	19	1	1	1	0	1	1	0	1	4	14	1	0	1	0	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	23788	16516	6612	10591	5638	3520	3546	1870	1403	1587	1535	1017	739	1412	713	599	602	388	415	307	480	430	275	304	199	394	333	210	100	169	88	83	66	153	106	58	93	73	72	26	55	34	34	33	21	14	16	25	36	14	26	8	24	8	13	11	9	6	6	12	19	0	3	3	1	7	21	0	1	4	15	1	1	1	0	2	0	3	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	10954	9340	2982	6443	3221	1805	2108	909	588	898	830	537	342	854	394	316	340	189	237	140	310	263	158	186	93	258	196	136	47	118	32	43	29	106	56	39	64	51	55	12	44	20	15	10	7	9	7	13	19	5	20	5	18	6	7	8	4	5	2	8	18	0	1	1	0	5	5	0	1	2	14	1	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	23798	16258	6678	10514	5503	3548	3518	1812	1427	1548	1458	1041	756	1374	708	590	556	395	435	323	553	396	264	316	178	399	321	249	103	147	87	82	65	168	108	57	100	65	72	27	69	36	27	24	21	15	9	28	35	16	20	10	18	10	17	11	8	5	5	18	12	1	3	7	1	8	21	0	0	5	4	1	2	2	2	3	0	3	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
0.03	north4_active	80	10830	9135	2985	6532	3129	1803	2080	892	607	868	779	517	339	849	400	306	315	201	239	146	363	219	155	193	86	264	192	167	59	102	38	43	30	120	52	35	66	45	54	14	46	23	14	7	9	8	6	15	20	7	15	4	12	6	6	6	3	4	2	7	12	1	2	6	1	6	5	0	0	1	4	1	1	2	1	3	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north5_all	80	23790	16240	6785	10370	5519	3548	3524	1817	1391	1546	1466	1082	754	1343	722	569	563	390	425	314	537	354	243	277	161	410	276	226	101	156	85	69	65	171	115	62	105	63	69	34	69	28	36	18	22	14	9	25	25	13	20	10	22	11	15	9	6	7	6	16	13	6	2	8	1	6	21	2	0	5	4	1	2	2	2	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north5_active	80	10787	9132	3051	6498	3178	1787	2084	860	613	899	786	571	333	815	425	306	322	198	225	144	354	195	135	156	87	264	153	153	57	116	41	37	34	121	51	38	52	37	50	18	44	15	23	6	11	6	7	11	19	5	14	4	14	6	5	5	2	5	2	7	12	3	2	7	1	5	6	1	0	2	3	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
