label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114
0.03	north1_all	80	36432	13545	19774	5416	4911	7587	3469	1978	2422	1389	1863	987	904	689	724	918	519	526	401	386	311	289	282	209	272	169	161	133	119	111	89	117	70	59	74	49	63	48	48	38	27	25	58	26	52	40	31	26	14	11	15	20	13	16	10	3	9	8	6	7	14	5	1	6	1	8	3	6	1	1	4	2	3	0	3	0	1	1	0	0	2	0	3	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north1_active	80	22923	5706	17452	1140	2729	6613	2395	549	1695	530	1368	293	366	187	355	710	177	328	147	191	151	108	156	89	176	42	62	31	37	74	34	80	19	20	54	16	43	15	17	10	6	6	43	12	42	33	20	16	5	3	8	11	9	4	4	3	8	1	1	2	8	3	1	2	0	8	0	5	1	1	3	1	2	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	35560	13322	19626	5394	4844	7226	3435	1947	2443	1440	1798	993	885	712	722	945	535	549	417	382	311	282	263	216	237	176	145	122	120	135	92	115	82	54	86	52	61	57	41	34	27	20	45	27	43	41	16	25	16	14	15	20	12	18	9	5	10	8	6	7	7	4	3	6	1	6	4	2	1	3	4	1	3	0	0	1	1	2	0	0	3	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	0	0	0	0	1	0
0.03	north2_active	80	21991	5398	17224	1143	2623	6199	2308	523	1714	539	1276	278	342	189	342	734	164	338	143	187	146	105	140	89	155	43	59	28	32	82	31	71	24	15	60	15	39	19	10	9	8	7	36	12	32	35	7	15	5	6	7	11	7	7	2	5	10	0	2	2	2	2	2	3	0	5	2	2	1	2	3	1	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north3_all	80	34588	13256	18599	5375	4724	6825	3366	1977	2418	1459	1676	1013	867	729	701	904	543	528	409	386	312	256	247	223	265	173	143	126	112	127	94	110	82	53	82	53	59	50	39	35	32	24	52	33	46	26	17	21	12	14	18	20	8	13	9	7	12	5	7	4	4	4	3	3	1	2	4	0	1	4	1	0	0	0	0	3	0	2	0	2	2	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	20611	5124	16122	1207	2552	5782	2145	526	1648	510	1120	259	337	187	321	695	157	319	141	180	142	79	117	87	190	43	51	30	34	75	33	63	22	15	51	15	38	18	11	9	15	9	43	12	36	21	7	11	3	4	7	9	5	5	2	3	11	1	1	2	1	2	2	2	1	1	2	0	1	2	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	33509	13059	18141	5422	4521	6425	3364	1983	2365	1419	1627	987	888	753	676	838	538	519	380	355	303	244	234	239	279	169	141	119	115	136	87	96	79	64	81	51	59	41	44	30	34	32	38	38	29	23	23	9	10	15	15	18	12	11	8	11	15	5	7	3	5	5	8	2	2	3	2	0	2	5	0	1	0	0	0	3	1	2	1	2	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	19156	4756	15530	1320	2287	5325	2057	506	1542	481	1069	237	321	176	293	630	165	300	131	157	140	69	97	83	201	44	46	33	31	71	27	36	18	21	56	12	38	14	12	10	15	11	30	13	21	17	16	5	2	4	7	7	5	5	2	7	13	1	2	1	5	4	7	2	1	2	2	0	1	3	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	32661	12880	17320	5421	4513	6089	3305	1964	2316	1387	1571	961	876	741	658	820	514	513	374	354	285	240	239	239	319	158	145	117	107	117	87	106	80	74	64	49	67	39	44	32	31	40	41	43	34	26	23	10	12	11	12	14	8	7	15	13	11	5	5	5	8	6	7	1	4	4	3	0	2	4	0	1	1	1	0	2	3	2	1	3	1	1	0	0	0	0	0	4	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	17986	4579	14601	1373	2283	4989	2014	463	1460	444	990	217	324	159	271	573	140	282	122	149	123	62	108	81	236	47	41	31	29	55	26	44	17	23	38	12	42	12	13	7	13	15	25	12	30	19	17	7	2	0	6	5	3	3	3	8	8	2	1	3	6	3	7	1	2	2	2	0	1	2	0	0	1	0	0	2	2	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
