label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116
0.03	north1_all	80	28893	12443	7494	5629	7034	6975	6911	2029	1602	2613	1190	2102	924	1224	652	1050	627	443	472	749	311	335	327	215	563	197	145	169	165	87	73	232	78	117	182	81	47	59	120	40	70	27	20	23	24	23	32	19	16	17	11	9	17	28	6	4	15	5	17	4	11	4	4	10	2	3	4	3	3	1	5	2	6	2	1	1	1	1	3	0	0	0	3	2	0	0	0	0	0	0	2	0	3	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north1_active	80	12182	3548	2036	2066	5348	5969	6148	543	372	2008	468	1764	419	912	235	842	371	185	280	631	66	192	211	101	514	122	47	112	122	23	33	194	34	93	160	48	32	44	104	20	53	8	4	5	9	18	24	13	13	5	5	5	9	17	3	2	12	3	11	1	10	1	4	8	0	0	3	1	2	0	2	1	6	0	1	1	0	0	3	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north2_all	80	28886	12399	7576	5560	6934	7009	6709	1990	1617	2614	1191	2104	953	1243	613	974	572	449	478	787	305	289	319	214	514	197	141	186	184	96	79	169	75	110	182	76	59	56	114	29	72	28	22	28	21	22	18	15	25	18	8	7	20	16	6	7	13	6	17	6	16	1	5	9	4	5	5	3	3	2	3	3	10	4	1	1	1	1	3	0	0	0	3	1	0	0	0	0	0	0	2	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north2_active	80	12004	3453	2053	1971	5267	5965	5931	514	356	2029	471	1744	436	910	210	789	317	174	284	661	69	161	194	96	459	117	43	128	124	30	34	140	30	87	161	47	39	36	103	12	56	8	6	8	6	17	12	11	19	4	2	3	9	7	1	2	11	4	12	1	12	0	5	6	1	0	3	1	2	1	2	1	10	2	1	1	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north3_all	80	28525	12536	7638	5525	6477	6556	6308	2039	1636	2369	1205	1980	947	1126	614	936	548	419	466	683	306	266	302	184	461	195	134	191	193	96	80	136	78	102	143	75	59	68	115	30	59	28	25	24	26	29	18	10	19	18	8	10	16	18	5	9	15	4	13	5	15	1	5	5	3	4	8	2	4	2	4	1	10	3	0	1	1	1	1	1	0	0	4	1	0	0	1	1	0	0	2	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north3_active	80	11108	3189	1966	1812	4756	5464	5513	494	356	1807	448	1599	409	790	201	706	286	166	253	563	69	142	174	74	409	111	41	135	121	26	32	107	30	76	119	41	35	48	98	8	44	8	8	5	5	15	10	5	14	4	1	4	7	11	1	4	13	3	9	1	11	1	5	2	1	0	4	1	2	1	3	0	10	2	0	1	0	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
0.03	north4_all	80	28267	12512	7605	5411	6021	6317	5782	2014	1667	2239	1235	1921	922	1075	607	875	529	443	439	639	291	257	305	190	406	189	143	168	193	106	82	123	83	110	147	64	61	62	98	26	58	28	27	22	24	38	20	17	19	18	5	13	11	15	7	12	12	7	10	6	8	2	8	6	3	9	8	4	3	1	3	1	7	2	0	1	2	0	0	1	0	0	3	1	1	0	1	1	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north4_active	80	10340	2945	1811	1657	4251	5179	4931	433	385	1691	443	1532	386	732	182	641	257	173	230	525	72	138	171	78	354	107	42	120	112	28	29	91	26	85	123	33	36	38	76	6	44	7	7	4	5	21	12	9	12	1	1	8	4	8	1	5	12	4	8	2	4	1	8	5	1	5	5	0	2	1	2	0	7	2	0	1	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north5_all	80	27969	12451	7726	5346	5702	5782	5364	2009	1665	2141	1156	1758	918	971	630	845	538	461	413	565	279	260	281	186	407	202	154	150	174	98	85	117	73	115	131	63	44	65	85	28	45	29	22	19	27	36	20	16	13	12	3	14	6	17	6	14	16	8	6	5	1	3	6	4	2	12	5	5	3	2	3	0	12	1	0	0	6	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9511	2714	1644	1516	3869	4609	4514	379	373	1553	370	1371	339	628	187	586	254	175	207	450	62	124	166	75	348	105	46	100	108	18	24	85	23	86	110	30	26	34	60	9	22	6	6	3	8	18	12	8	5	2	1	10	1	11	1	6	13	5	4	2	1	1	6	4	0	11	3	1	2	1	2	0	12	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
