label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north1_all	80	48010	11416	15025	6486	3998	4580	2837	1696	1114	862	744	1294	965	501	373	294	224	159	165	188	152	112	79	59	39	20	73	31	22	10	24	14	17	12	10	14	21	6	1	0	10	5	3	4	4	1	2	0	0	1	1	0	0	3	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	29207	5360	9374	3635	2133	2826	1668	933	564	428	381	793	600	270	189	143	120	89	92	116	98	80	34	35	14	9	43	13	9	6	10	6	7	7	3	12	4	5	0	0	10	2	2	3	2	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	50590	11661	15670	6768	4106	4805	2965	1726	1159	877	798	1390	1006	544	383	291	228	164	164	223	168	134	89	59	50	18	73	34	21	11	23	17	17	15	7	17	20	4	4	1	10	6	4	4	3	1	1	0	3	1	4	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	31209	5540	9717	3921	2264	2982	1769	937	598	440	411	889	673	317	195	149	124	90	98	144	116	94	42	32	21	9	48	16	8	7	12	10	7	10	1	13	2	3	0	0	9	3	2	3	2	0	1	0	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	50765	11766	15811	6593	4092	4810	2925	1743	1140	882	774	1323	1003	573	374	294	230	155	147	246	183	128	81	58	62	25	71	33	24	14	20	15	14	19	12	13	7	7	5	2	5	5	2	3	1	1	1	0	4	0	4	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	31205	5609	9895	3736	2275	2990	1712	946	595	455	382	879	713	336	202	150	131	82	87	159	126	85	39	31	27	11	45	20	11	10	11	7	6	13	4	9	5	4	0	1	2	2	0	2	1	0	1	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	50524	11578	15860	6654	3945	4915	2833	1746	1199	904	775	1390	989	553	378	288	217	148	145	230	197	108	94	44	59	29	75	33	28	14	17	20	8	20	14	11	7	11	4	4	5	3	2	3	0	1	0	0	4	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	31125	5493	9938	3762	2174	3077	1654	963	628	462	396	989	662	324	198	152	120	81	73	154	138	65	49	19	30	12	48	21	16	10	8	9	4	15	5	7	4	9	0	2	2	3	0	2	0	0	0	0	4	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	50356	11590	15706	6669	4041	4780	2824	1775	1199	936	764	1326	1043	550	360	277	215	156	141	218	184	91	112	42	54	33	62	28	28	16	22	19	9	21	15	7	7	11	2	3	5	3	2	2	0	1	0	0	1	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	30772	5444	9826	3823	2207	2962	1647	1015	620	484	406	894	672	320	203	138	116	80	61	144	114	63	68	21	24	12	37	20	19	9	13	9	5	15	7	5	5	8	0	2	2	1	0	2	0	0	0	0	1	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	49906	11602	15926	6633	4026	4770	2930	1807	1163	864	737	1309	1011	538	347	265	217	172	147	164	166	95	126	48	46	36	64	38	36	17	23	16	9	18	11	4	11	8	3	3	3	3	2	2	1	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	30605	5426	9876	3848	2209	2984	1746	1017	611	436	392	901	606	314	190	139	118	90	61	106	97	53	75	19	20	12	42	26	22	8	14	7	4	11	8	1	9	7	1	2	2	1	0	2	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	49875	11559	15730	6650	4134	4738	2918	1822	1112	858	789	1222	991	536	358	250	221	187	133	139	136	115	120	48	40	38	50	37	34	21	25	18	11	12	15	4	14	4	3	2	2	3	3	1	1	2	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	30629	5416	9729	3843	2304	2913	1743	1015	564	433	424	803	627	317	197	120	120	101	58	71	79	67	71	20	17	13	28	25	19	11	14	11	3	5	13	2	12	2	2	1	0	0	0	1	1	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	50124	11515	15833	6539	4173	4828	2881	1832	1094	827	789	1187	979	528	391	253	242	211	126	143	147	132	119	51	43	37	63	47	35	21	27	15	15	11	14	3	18	4	3	2	1	2	2	2	1	1	1	1	2	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	30774	5406	9877	3778	2324	2958	1686	1044	546	402	416	766	577	293	205	125	118	118	66	69	88	78	74	17	17	15	37	28	18	9	9	11	5	5	11	1	17	0	2	2	0	0	0	1	1	1	1	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	50195	11411	16098	6556	4232	4861	2854	1784	1147	826	801	1171	939	499	408	269	234	200	122	167	164	134	99	55	28	42	62	36	31	19	42	17	15	10	13	5	11	3	2	2	1	5	5	1	0	1	1	1	2	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	30609	5356	10266	3755	2322	3022	1673	980	577	405	435	762	604	295	209	140	114	117	61	80	105	75	60	23	11	19	36	17	12	10	18	10	7	5	11	5	9	0	2	2	0	4	3	0	0	1	1	1	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	50591	11507	16055	6499	4202	5015	2827	1734	1166	799	827	1229	939	491	415	287	213	192	127	193	168	131	107	62	35	40	55	40	32	26	38	11	13	17	8	6	9	4	2	1	3	6	5	1	2	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	30759	5351	10252	3707	2273	3241	1614	967	599	401	451	807	595	295	210	157	101	106	68	110	98	65	64	24	13	17	32	20	17	11	18	5	7	11	5	6	8	1	2	1	3	4	3	0	2	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	47623	11574	15209	6386	3852	4504	2672	1620	1166	805	771	1115	901	564	400	265	227	175	130	201	199	124	99	65	43	28	80	32	33	19	18	18	11	9	14	14	13	6	5	3	3	2	8	0	5	1	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	28926	5287	9350	3647	2043	2763	1511	899	575	383	448	682	560	344	227	133	126	94	63	124	103	69	65	33	23	13	46	18	14	8	7	5	4	6	13	10	9	2	2	3	1	1	8	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	49408	11773	16038	6486	3981	4731	2799	1714	1173	837	762	1221	911	568	352	268	214	198	147	185	183	110	108	77	43	32	78	32	25	19	20	16	8	10	20	17	9	5	4	4	2	3	9	0	3	1	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	30092	5463	10046	3695	2134	2899	1598	988	598	421	446	739	565	341	192	161	102	112	75	123	97	65	75	41	28	14	46	16	13	9	10	5	4	7	17	12	5	2	2	4	1	2	9	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	50408	11859	16217	6466	4073	4870	2862	1790	1198	873	758	1189	930	549	331	277	199	200	155	169	174	107	108	72	31	31	69	36	19	23	26	19	10	10	21	13	8	7	5	2	3	3	8	0	3	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
