label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149
0.03	north1_all	80	26418	21498	18876	7212	4460	7690	6407	2517	2291	2138	1369	2467	2460	956	841	797	1497	1235	625	1096	527	974	340	325	469	438	248	298	219	448	188	218	249	120	122	194	105	102	123	84	112	109	65	99	95	66	47	48	44	50	43	23	33	33	22	30	40	42	38	14	25	31	24	25	9	17	11	7	9	17	8	4	5	9	6	3	3	6	1	3	2	6	5	7	3	5	4	1	1	1	1	3	2	1	2	3	0	2	1	5	2	4	3	0	1	1	0	2	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9129	16865	16361	4468	1891	6595	5538	1244	1375	1331	452	2020	2126	199	269	392	1283	1042	302	961	291	853	114	123	373	331	80	179	103	387	103	149	184	30	53	149	26	50	75	24	61	68	20	70	73	30	20	22	14	38	21	12	14	7	7	13	31	33	33	3	6	21	17	15	5	10	6	5	6	13	1	4	0	6	3	1	1	4	1	2	0	5	1	4	1	4	2	1	0	0	1	1	2	0	1	2	0	0	1	0	0	4	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26515	21621	19347	7195	4504	7785	6338	2521	2333	2160	1376	2485	2420	937	803	790	1487	1188	648	1040	550	962	342	331	449	412	244	300	238	480	180	214	223	123	124	186	109	99	116	75	100	101	64	102	88	68	47	46	41	54	46	23	28	24	22	26	38	45	40	17	24	41	23	22	12	15	13	14	8	17	9	11	10	7	6	4	4	7	2	4	2	5	4	5	3	3	2	2	2	0	3	3	9	1	2	4	0	2	2	5	1	2	2	0	1	1	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9127	16999	16795	4467	1837	6657	5471	1271	1397	1354	449	2032	2080	201	268	394	1275	991	326	905	314	841	119	118	350	308	75	171	129	417	96	153	157	32	56	139	28	48	67	20	60	62	18	71	70	33	19	22	12	46	19	10	12	8	8	11	29	35	34	3	8	31	16	12	7	9	7	12	6	12	0	9	1	5	4	1	0	2	1	1	0	4	1	2	0	3	1	0	0	0	1	1	9	0	1	3	0	0	1	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26442	21419	19336	7245	4502	7735	6441	2580	2399	2206	1392	2480	2572	925	768	774	1493	1165	628	1048	521	928	349	324	467	404	242	309	226	559	197	213	201	113	123	179	105	80	104	83	99	89	61	98	98	72	48	47	26	63	48	35	26	21	22	27	53	43	45	20	17	39	25	26	12	14	14	15	10	9	9	15	8	6	2	4	4	9	5	8	2	5	1	4	2	5	3	2	2	0	2	2	11	2	2	7	0	2	3	3	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9117	16756	16773	4441	1866	6618	5564	1284	1445	1401	463	2002	2248	200	266	380	1282	962	313	907	307	800	116	127	354	308	74	172	126	501	109	151	140	31	51	138	24	39	65	21	54	57	15	66	79	36	27	20	5	54	19	18	12	7	5	10	46	35	37	7	6	32	18	14	7	12	7	13	8	4	1	13	2	5	1	2	0	3	2	4	0	4	0	1	0	4	2	0	0	0	0	0	10	1	2	6	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26440	21576	19221	7342	4520	7697	6586	2623	2364	2194	1425	2433	2542	894	800	757	1577	1200	600	1027	527	908	346	344	541	376	251	304	248	461	207	199	209	108	126	181	111	84	99	77	98	74	64	75	101	70	57	51	29	70	41	37	25	24	20	29	66	32	52	18	20	39	24	21	14	13	17	18	12	8	8	17	8	8	5	4	3	9	5	12	4	6	1	2	3	5	3	2	1	0	2	2	9	2	1	8	0	4	5	1	0	1	2	0	2	0	2	1	0	1	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9083	16865	16596	4575	1928	6607	5727	1302	1401	1410	479	1960	2224	185	283	370	1368	985	304	866	316	774	120	136	430	285	77	177	134	405	118	134	145	30	41	138	29	41	56	22	52	40	23	53	86	40	33	21	9	59	19	20	11	8	6	11	60	25	44	8	9	32	21	12	8	11	9	15	8	4	2	14	2	5	1	2	0	3	2	7	0	6	0	1	1	3	2	0	0	0	0	0	8	1	1	7	0	1	3	1	0	1	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26136	21371	18796	7274	4445	7420	6720	2555	2326	2152	1434	2337	2684	919	823	744	1560	1209	573	1038	497	954	335	344	587	381	239	283	242	457	238	195	202	118	129	173	103	80	97	74	89	70	62	68	105	65	54	50	37	79	42	38	32	25	17	31	80	35	42	14	23	23	22	16	13	14	16	17	10	12	8	17	8	11	7	6	1	5	4	11	3	3	1	4	2	5	1	0	1	3	1	0	3	1	1	4	1	3	11	1	0	1	2	0	1	0	3	1	0	0	7	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8889	16590	16166	4499	1888	6334	5892	1246	1362	1338	474	1855	2357	213	272	349	1339	992	298	875	288	819	95	143	464	272	79	175	123	405	146	127	144	38	43	133	31	30	54	17	48	43	22	45	88	40	27	26	11	65	16	21	13	6	5	13	73	31	37	5	7	17	20	11	7	10	10	11	7	10	3	13	2	8	1	4	0	2	1	6	0	3	0	2	1	3	1	0	0	1	0	0	2	1	1	4	0	1	10	1	0	1	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
