label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159
0.03	north1_all	80	36605	14778	8397	10399	6132	5574	2706	3451	3463	2770	1498	2224	1017	911	969	915	659	564	858	557	544	444	350	437	394	473	349	316	189	237	209	137	131	134	132	117	99	137	93	94	95	72	71	97	62	87	54	49	40	33	28	46	27	24	41	27	29	25	26	26	14	10	36	12	18	12	13	19	11	9	9	12	10	15	3	9	11	4	6	1	2	3	4	9	3	12	8	0	2	1	2	2	17	3	4	1	3	6	5	0	2	3	0	0	1	0	0	0	1	1	1	1	1	0	0	5	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	24967	8499	3565	8435	4195	4295	705	2537	2767	2083	623	1770	240	197	566	538	157	150	622	345	345	255	104	266	257	393	231	215	80	146	128	54	59	30	66	78	25	80	47	19	56	23	23	61	41	74	18	23	10	3	16	41	6	7	31	9	22	9	8	20	6	3	30	3	12	1	9	10	3	0	3	3	5	5	0	2	7	1	2	0	0	1	1	2	2	10	7	0	2	0	0	1	16	3	2	1	3	6	5	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	35395	14591	8252	10061	5875	5484	2698	3466	3306	2656	1494	2093	1032	920	966	888	686	578	806	554	561	463	339	456	346	410	325	304	175	224	242	140	133	121	137	101	115	135	94	98	96	74	67	93	62	78	49	51	48	40	37	49	32	25	35	29	24	26	28	23	18	11	29	12	19	20	10	14	10	6	9	12	9	19	3	9	11	3	5	0	3	4	3	9	3	5	10	2	1	1	1	4	6	1	3	1	3	4	2	0	1	1	0	0	3	0	1	0	0	1	2	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	23542	8037	3294	8033	3892	4177	648	2463	2588	1928	601	1637	239	210	524	499	149	140	577	324	332	247	95	267	219	329	208	212	74	136	137	49	50	27	69	73	31	71	45	24	52	24	17	59	44	65	14	23	10	7	22	44	11	6	28	12	13	8	8	16	11	2	24	3	14	3	7	7	3	0	4	3	4	10	0	2	8	1	2	0	0	2	1	2	2	3	9	1	1	0	0	2	5	1	2	1	3	4	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35729	14576	8224	10210	5858	5386	2680	3468	3250	2592	1492	2109	1006	919	953	872	684	576	762	583	555	490	334	460	336	400	363	330	188	219	233	144	131	120	153	124	123	125	96	97	103	87	66	82	62	84	46	46	55	41	38	52	32	30	41	26	34	21	25	24	18	12	23	20	17	17	12	14	7	6	12	8	10	21	5	7	5	4	5	0	4	5	2	7	7	6	5	2	2	0	2	4	5	1	2	1	8	11	0	1	1	1	0	1	3	0	1	3	0	1	1	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	23660	8002	3247	8130	3926	4091	639	2441	2519	1910	639	1682	233	229	512	494	150	132	547	350	323	258	86	253	214	313	238	233	79	130	126	45	49	26	78	84	34	70	52	26	62	29	15	50	40	65	10	22	11	9	21	44	11	6	30	10	18	10	6	15	10	3	21	5	12	2	7	7	2	1	5	1	5	10	1	2	3	1	1	0	0	2	0	2	7	4	4	1	1	0	1	1	4	1	2	1	8	11	0	0	0	1	0	0	2	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37490	15250	8386	10790	6211	5814	2657	3735	3331	2859	1467	2247	1031	897	1026	917	666	569	756	634	611	484	362	419	361	508	408	345	202	231	231	143	144	117	151	132	116	107	103	96	99	88	78	74	54	98	45	46	52	43	39	57	26	24	42	28	35	22	26	29	20	17	26	18	26	14	7	9	13	10	12	10	12	16	8	7	5	5	6	1	4	4	1	5	6	4	9	2	3	0	1	4	2	4	0	1	5	11	0	1	0	1	0	1	3	1	2	3	0	2	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	25752	8909	3542	8780	4364	4555	687	2749	2660	2214	642	1835	241	244	592	568	154	136	559	389	386	257	110	222	245	415	290	239	94	160	119	46	57	25	86	93	33	65	57	23	66	36	23	40	33	77	11	18	12	9	23	43	8	6	26	11	19	9	7	19	13	7	25	6	23	2	3	7	4	3	8	1	11	9	2	3	2	1	2	0	1	1	0	3	6	3	9	1	2	0	1	1	2	4	0	1	5	11	0	0	0	1	0	0	1	1	1	3	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	38877	15682	8523	11331	6294	6086	2658	3855	3556	3049	1495	2494	1060	892	1075	902	651	574	799	659	683	489	356	424	391	563	417	368	206	226	215	150	156	125	142	148	100	96	116	97	96	88	78	78	60	106	47	47	39	49	37	46	29	29	35	30	45	20	19	32	18	17	22	16	23	8	4	16	11	12	13	9	15	17	8	2	8	6	4	2	3	6	0	6	9	4	11	1	3	2	2	3	2	3	0	0	7	7	0	4	0	1	0	1	3	2	1	3	0	2	2	0	0	0	0	6	0	0	0	1	2	4	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	27558	9482	3852	9387	4527	4884	757	2924	2898	2457	707	2092	278	251	653	593	172	161	614	427	453	292	129	227	277	473	304	256	96	155	117	56	62	24	79	102	35	55	64	27	69	37	30	45	39	88	11	19	12	12	21	33	7	9	19	10	23	10	4	20	10	5	19	6	17	1	2	12	3	3	7	2	14	15	3	1	5	2	1	1	1	2	0	5	8	2	10	1	2	1	2	1	2	3	0	0	6	7	0	2	0	1	0	0	1	2	0	3	0	1	1	0	0	0	0	6	0	0	0	1	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
