label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157
0.03	north1_all	80	26442	15009	8440	7658	7700	4087	2231	4032	1672	1536	2829	1174	1054	1793	1011	1110	576	624	1029	489	742	670	322	475	532	220	254	220	227	180	205	283	210	107	100	174	81	62	175	66	69	106	107	99	47	55	112	32	40	55	54	49	58	33	35	26	18	23	18	25	11	26	12	15	23	15	9	7	27	16	21	8	14	5	2	10	5	14	3	3	9	5	1	0	4	5	8	4	1	3	0	0	1	4	3	2	2	0	3	3	2	1	0	2	2	1	1	0	0	3	5	1	1	1	2	5	0	2	1	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	13569	8449	4446	4422	4804	2247	1016	2393	782	763	1815	587	509	1047	571	678	277	323	633	248	464	395	170	295	314	101	119	117	119	89	113	164	122	39	44	83	37	26	104	32	33	66	59	48	26	22	92	16	21	32	39	32	38	14	22	11	7	13	10	18	4	19	7	7	14	9	7	5	14	10	14	4	7	4	1	5	2	12	2	2	8	2	0	0	2	2	3	3	1	2	0	0	0	4	2	1	1	0	2	1	0	1	0	1	2	1	1	0	0	3	4	0	0	0	1	5	0	0	1	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26230	14863	8475	7808	7612	3995	2199	4063	1692	1528	2752	1156	1011	1773	1006	1109	558	655	1079	493	681	693	302	444	513	208	265	211	221	178	189	343	230	121	81	175	85	73	171	62	63	103	110	102	44	50	99	31	44	58	54	53	60	33	39	21	18	27	22	22	15	35	9	13	22	18	9	6	23	14	10	8	13	7	3	8	4	15	5	5	9	5	3	3	3	4	6	3	1	5	0	0	1	8	3	1	1	0	3	4	3	1	0	1	4	0	0	0	0	3	4	1	0	0	1	6	0	2	0	1	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	13374	8284	4467	4510	4696	2217	1001	2516	787	755	1789	598	490	1016	569	683	259	339	688	258	420	421	161	272	294	94	129	113	116	91	117	226	137	47	35	80	36	35	98	31	29	62	59	65	24	22	77	15	23	37	43	33	41	17	25	11	7	13	10	13	9	24	7	5	10	11	5	3	11	7	5	5	7	2	1	3	1	12	3	3	8	2	1	3	1	2	4	3	1	4	0	0	0	8	2	0	1	0	2	1	1	1	0	0	4	0	0	0	0	3	4	0	0	0	1	5	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26011	15019	8506	7878	7620	4050	2265	4023	1742	1478	2625	1121	989	1628	982	1086	552	623	1157	525	712	738	297	418	586	200	275	209	232	170	196	358	219	107	79	164	85	84	157	59	64	103	109	103	39	45	76	32	48	61	52	47	58	37	33	22	20	23	24	18	16	36	13	13	20	24	7	11	16	13	7	6	4	7	4	5	5	14	9	7	9	4	2	5	4	1	5	4	1	7	1	1	2	7	1	1	2	0	3	2	1	1	1	0	3	0	0	0	0	1	4	1	0	0	1	6	1	1	1	1	0	0	0	1	2	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13258	8437	4493	4514	4721	2238	999	2528	805	729	1639	599	495	938	556	660	255	309	768	277	458	463	160	247	352	89	136	112	132	81	120	258	135	44	37	77	40	42	82	26	26	63	56	80	21	20	57	16	21	32	36	33	31	20	21	9	10	10	8	12	10	25	7	5	11	15	3	7	9	6	5	5	1	2	1	2	2	11	6	4	7	2	1	5	1	0	2	3	1	5	0	0	1	7	0	0	1	0	2	0	1	1	1	0	3	0	0	0	0	1	4	0	0	0	1	5	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26124	14933	8642	7869	7559	4023	2352	4133	1739	1481	2560	1147	971	1652	1029	1067	581	631	1142	517	729	769	306	406	573	206	249	203	235	149	223	348	207	103	93	137	78	94	149	59	68	99	124	93	42	41	61	33	47	58	59	44	46	36	24	19	20	21	21	22	14	35	13	10	19	27	7	12	21	9	6	6	6	8	7	1	20	6	11	5	7	4	2	6	2	2	12	6	1	7	1	2	2	7	2	1	1	0	1	3	1	1	1	0	2	0	1	0	0	2	4	1	0	0	0	2	1	1	1	1	0	0	0	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north4_active	80	13411	8334	4642	4461	4647	2206	1023	2641	814	719	1588	602	501	999	559	625	276	324	722	288	470	497	157	250	363	83	120	103	128	62	130	253	128	55	48	68	34	50	84	25	25	60	65	70	26	16	45	17	17	27	36	30	20	20	14	9	13	8	8	14	9	25	6	5	9	16	2	9	11	4	5	4	3	1	3	0	16	4	7	3	5	1	1	5	0	1	9	3	1	5	0	1	1	7	2	0	0	0	1	1	1	1	1	0	2	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	26275	15059	8632	7800	7565	4030	2335	4029	1776	1504	2539	1157	1029	1695	1051	1011	575	600	1108	525	724	766	327	423	666	205	230	199	257	151	228	289	187	109	93	139	91	83	134	70	74	105	119	113	43	55	84	32	42	54	58	42	35	33	23	16	22	23	20	22	14	17	10	10	21	22	7	10	19	8	6	6	9	10	9	0	19	1	12	3	15	5	0	10	2	1	11	5	1	4	2	2	1	5	2	1	1	1	2	3	0	0	1	3	0	0	1	0	0	2	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north5_active	80	13487	8407	4589	4411	4623	2261	1029	2479	850	730	1601	580	538	1042	550	585	261	317	706	309	463	487	161	252	447	81	116	101	147	61	128	195	110	57	48	80	43	47	71	29	29	58	69	64	25	23	54	17	12	23	36	27	9	18	11	8	16	8	9	14	9	9	4	5	11	14	3	8	10	3	4	2	5	2	3	0	16	1	8	1	13	3	0	9	1	1	9	2	0	3	0	1	1	4	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
